"Report date","Week #","Week ","MN","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19"
"32886.0","1.0","32879.0","12979.0","","Week 1","3002.0","5351.0","7549.0","115773.0","","1.0","3002.0","5351.0","7549.0","115773.0"
"32893.0","2.0","32886.0","5767.0","","Week 2","2763.0","4917.0","7819.0","109095.0","","2.0","5765.0","10268.0","15368.0","224868.0"
"32900.0","3.0","32893.0","5115.0","","Week 3","3120.0","5977.0","8145.0","110260.0","","3.0","8885.0","16245.0","23513.0","335128.0"
"32907.0","4.0","32900.0","5289.0","","Week 4","2816.0","5177.0","7967.0","93133.0","","4.0","11701.0","21422.0","31480.0","428261.0"
"32914.0","5.0","32907.0","4679.0","","Week 5","2741.0","5069.0","6332.0","74829.0","","5.0","14442.0","26491.0","37812.0","503090.0"
"32921.0","6.0","32914.0","4441.0","","Week 6","2631.0","4373.0","5788.0","48595.0","","6.0","17073.0","30864.0","43600.0","551685.0"
"32928.0","7.0","32921.0","4342.0","","Week 7","2830.0","4635.0","5379.0","41492.0","","7.0","19903.0","35499.0","48979.0","593177.0"
"32935.0","8.0","32928.0","4207.0","","Week 8","2955.0","4844.0","5114.0","37669.0","","8.0","22858.0","40343.0","54093.0","630846.0"
"32942.0","9.0","32935.0","4932.0","","Week 9","2793.0","5585.0","4938.0","28893.0","","9.0","25651.0","45928.0","59031.0","659739.0"
"32949.0","10.0","32942.0","4230.0","","Week 10","2869.0","6393.0","5023.0","27211.0","","10.0","28520.0","52321.0","64054.0","686950.0"
"32956.0","11.0","32949.0","4192.0","","Week 11","2957.0","5737.0","4596.0","22466.0","","11.0","31477.0","58058.0","68650.0","709416.0"
"32963.0","12.0","32956.0","3314.0","","Week 12","3361.0","6939.0","4825.0","","","12.0","34838.0","64997.0","73475.0",""
"32970.0","13.0","32963.0","5049.0","","Week 13","4083.0","5306.0","4477.0","","","13.0","38921.0","70303.0","77952.0",""
"32977.0","14.0","32970.0","3656.0","","Week 14","3900.0","6104.0","4733.0","","","14.0","42821.0","76407.0","82685.0",""
"32984.0","15.0","32977.0","3902.0","","Week 15","3990.0","5112.0","4575.0","","","15.0","46811.0","81519.0","87260.0",""
"32991.0","16.0","32984.0","3057.0","","Week 16","5013.0","6608.0","5181.0","","","16.0","51824.0","88127.0","92441.0",""
"32998.0","17.0","32991.0","3594.0","","Week 17","5831.0","6304.0","5046.0","","","17.0","57655.0","94431.0","97487.0",""
"33005.0","18.0","32998.0","3220.0","","Week 18","5716.0","5005.0","4417.0","","","18.0","63371.0","99436.0","101904.0",""
"33012.0","19.0","33005.0","3537.0","","Week 19","6427.0","3848.0","4055.0","","","19.0","69798.0","103284.0","105959.0",""
"33019.0","20.0","33012.0","3378.0","","Week 20","11133.0","4331.0","4318.0","","","20.0","80931.0","107615.0","110277.0",""
"33026.0","21.0","33019.0","3307.0","","Week 21","8934.0","4345.0","4073.0","","","21.0","89865.0","111960.0","114350.0",""
"33033.0","22.0","33026.0","4377.0","","Week 22","6821.0","3876.0","3697.0","","","22.0","96686.0","115836.0","118047.0",""
"33040.0","23.0","33033.0","3764.0","","Week 23","8746.0","3902.0","4072.0","","","23.0","105432.0","119738.0","122119.0",""
"33047.0","24.0","33040.0","3223.0","","Week 24","10722.0","4290.0","4509.0","","","24.0","116154.0","124028.0","126628.0",""
"33054.0","25.0","33047.0","3297.0","","Week 25","6915.0","3971.0","5758.0","","","25.0","123069.0","127999.0","132386.0",""
"33061.0","26.0","33054.0","5465.0","","Week 26","10987.0","4038.0","4860.0","","","26.0","134056.0","132037.0","137246.0",""
"33068.0","27.0","33061.0","3650.0","","Week 27","6834.0","4058.0","4541.0","","","27.0","140890.0","136095.0","141787.0",""
"33075.0","28.0","33068.0","3002.0","","Week 28","6479.0","5298.0","5049.0","","","28.0","147369.0","141393.0","146836.0",""
"33082.0","29.0","33075.0","2763.0","","Week 29","6136.0","5923.0","4981.0","","","29.0","153505.0","147316.0","151817.0",""
"33089.0","30.0","33082.0","3120.0","","Week 30","6671.0","5417.0","6272.0","","","30.0","160176.0","152733.0","158089.0",""
"33096.0","31.0","33089.0","2816.0","","Week 31","5623.0","5777.0","4924.0","","","31.0","165799.0","158510.0","163013.0",""
"33103.0","32.0","33096.0","2741.0","","Week 32","5188.0","5539.0","3982.0","","","32.0","170987.0","164049.0","166995.0",""
"33110.0","33.0","33103.0","2631.0","","Week 33","5151.0","6676.0","4026.0","","","33.0","176138.0","170725.0","171021.0",""
"33117.0","34.0","33110.0","2830.0","","Week 34","7176.0","7358.0","4224.0","","","34.0","183314.0","178083.0","175245.0",""
"33124.0","35.0","33117.0","2955.0","","Week 35","5284.0","7302.0","4004.0","","","35.0","188598.0","185385.0","179249.0",""
"33131.0","36.0","33124.0","2793.0","","Week 36","6591.0","8761.0","4132.0","","","36.0","195189.0","194146.0","183381.0",""
"33138.0","37.0","33131.0","2869.0","","Week 37","4432.0","12379.0","3863.0","","","37.0","199621.0","206525.0","187244.0",""
"33145.0","38.0","33138.0","2957.0","","Week 38","4178.0","","4225.0","","","38.0","203799.0","","191469.0",""
"33152.0","39.0","33145.0","3361.0","","Week 39","","","4329.0","","","39.0","","","195798.0",""
"33159.0","40.0","33152.0","4083.0","","Week 40","","","4070.0","","","40.0","","","199868.0",""
"33166.0","41.0","33159.0","3900.0","","Week 41","","","4186.0","","","41.0","","","204054.0",""
"33173.0","42.0","33166.0","3990.0","","Week 42","","","4781.0","","","42.0","","","208835.0",""
"33180.0","43.0","33173.0","5013.0","","Week 43","","","5390.0","","","43.0","","","214225.0",""
"33187.0","44.0","33180.0","5831.0","","Week 44","","","5633.0","","","44.0","","","219858.0",""
"33194.0","45.0","33187.0","5716.0","","Week 45","","","6160.0","","","45.0","","","226018.0",""
"33201.0","46.0","33194.0","6427.0","","Week 46","","","6961.0","","","46.0","","","232979.0",""
"33208.0","47.0","33201.0","11133.0","","Week 47","","","9909.0","","","47.0","","","242888.0",""
"33215.0","48.0","33208.0","8934.0","","Week 48","","","10899.0","","","48.0","","","253787.0",""
"33222.0","49.0","33215.0","6821.0","","Week 49","","","11756.0","","","49.0","","","265543.0",""
"33229.0","50.0","33222.0","8746.0","","Week 50","","","10916.0","","","50.0","","","276459.0",""
"33236.0","51.0","33229.0","10722.0","","Week 51","","","15195.0","","","51.0","","","291654.0",""
"33243.0","52.0","33236.0","6915.0","","Week 52","","","11544.0","","","52.0","","","303198.0",""
"33250.0","1.0","33243.0","10987.0","","Week 53","","","12555.0","","","53.0","","","315753.0",""
"33257.0","2.0","33250.0","6834.0","","Week 54","","","12010.0","","","54.0","","","327763.0",""
"33264.0","3.0","33257.0","6479.0","","Week 55","","","11807.0","","","55.0","","","339570.0",""
"33271.0","4.0","33264.0","6136.0","","Week 56","","","13601.0","","","56.0","","","353171.0",""
"33278.0","5.0","33271.0","6671.0","","Week 57","","","11510.0","","","57.0","","","364681.0",""
"33285.0","6.0","33278.0","5623.0","","Week 58","","","9956.0","","","58.0","","","374637.0",""
"33292.0","7.0","33285.0","5188.0","","Week 59","","","9752.0","","","59.0","","","384389.0",""
"33299.0","8.0","33292.0","5151.0","","Week 60","","","10979.0","","","60.0","","","395368.0",""
"33306.0","9.0","33299.0","7176.0","","Week 61","","","10275.0","","","61.0","","","405643.0",""
"33313.0","10.0","33306.0","5284.0","","Week 62","","","9246.0","","","62.0","","","414889.0",""
"33320.0","11.0","33313.0","6591.0","","Week 63","","","8994.0","","","63.0","","","423883.0",""
"33327.0","12.0","33320.0","4432.0","","Week 64","","","10096.0","","","64.0","","","433979.0",""
"33334.0","13.0","33327.0","4178.0","","Week 65","","","9474.0","","","65.0","","","443453.0",""
"33341.0","14.0","33334.0","5420.0","","Week 66","","","9805.0","","","66.0","","","453258.0",""
"33348.0","15.0","33341.0","5489.0","","Week 67","","","8246.0","","","67.0","","","461504.0",""
"33355.0","16.0","33348.0","3745.0","","Week 68","","","9846.0","","","68.0","","","471350.0",""
"33362.0","17.0","33355.0","4268.0","","Week 69","","","8633.0","","","69.0","","","479983.0",""
"33369.0","18.0","33362.0","4450.0","","Week 70","","","7725.0","","","70.0","","","487708.0",""
"33376.0","19.0","33369.0","3541.0","","Week 71","","","8100.0","","","71.0","","","495808.0",""
"33383.0","20.0","33376.0","3411.0","","Week 72","","","8241.0","","","72.0","","","504049.0",""
"33390.0","21.0","33383.0","4156.0","","Week 73","","","8641.0","","","73.0","","","512690.0",""
"33397.0","22.0","33390.0","4920.0","","Week 74","","","8662.0","","","74.0","","","521352.0",""
"33404.0","23.0","33397.0","4067.0","","Week 75","","","8588.0","","","75.0","","","529940.0",""
"33411.0","24.0","33404.0","3585.0","","Week 76","","","7766.0","","","76.0","","","537706.0",""
"33418.0","25.0","33411.0","4005.0","","Week 77","","","9828.0","","","77.0","","","547534.0",""
"33425.0","26.0","33418.0","5063.0","","Week 78","","","8617.0","","","78.0","","","556151.0",""
"33432.0","27.0","33425.0","5117.0","","Week 79","","","8352.0","","","79.0","","","564503.0",""
"33439.0","28.0","33432.0","3718.0","","Week 80","","","7905.0","","","80.0","","","572408.0",""
"33446.0","29.0","33439.0","3501.0","","Week 81","","","9081.0","","","81.0","","","581489.0",""
"33453.0","30.0","33446.0","3395.0","","","","","","","","","","","",""
"33460.0","31.0","33453.0","3736.0","","","","","","","","","","","",""
"33467.0","32.0","33460.0","3277.0","","","","","","","","","","","",""
"33474.0","33.0","33467.0","3227.0","","","","","","","","","","","",""
"33481.0","34.0","33474.0","3016.0","","","","","","","","","","","",""
"33488.0","35.0","33481.0","3272.0","","","","","","","","","","","",""
"33495.0","36.0","33488.0","3402.0","","","","","","","","","","","",""
"33502.0","37.0","33495.0","2931.0","","","","","","","","","","","",""
"33509.0","38.0","33502.0","2791.0","","","","","","","","","","","",""
"33516.0","39.0","33509.0","3409.0","","","","","","","","","","","",""
"33523.0","40.0","33516.0","6207.0","","","","","","","","","","","",""
"33530.0","41.0","33523.0","3718.0","","","","","","","","","","","",""
"33537.0","42.0","33530.0","4196.0","","","","","","","","","","","",""
"33544.0","43.0","33537.0","5172.0","","","","","","","","","","","",""
"33551.0","44.0","33544.0","12593.0","","","","","","","","","","","",""
"33558.0","45.0","33551.0","6897.0","","","","","","","","","","","",""
"33565.0","46.0","33558.0","6944.0","","","","","","","","","","","",""
"33572.0","47.0","33565.0","6765.0","","","","","","","","","","","",""
"33579.0","48.0","33572.0","9309.0","","","","","","","","","","","",""
"33586.0","49.0","33579.0","7788.0","","","","","","","","","","","",""
"33593.0","50.0","33586.0","7534.0","","","","","","","","","","","",""
"33600.0","51.0","33593.0","9489.0","","","","","","","","","","","",""
"33607.0","52.0","33600.0","6892.0","","","","","","","","","","","",""
"33614.0","1.0","33607.0","9766.0","","","","","","","","","","","",""
"33621.0","2.0","33614.0","7363.0","","","","","","","","","","","",""
"33628.0","3.0","33621.0","5441.0","","","","","","","","","","","",""
"33635.0","4.0","33628.0","5630.0","","","","","","","","","","","",""
"33642.0","5.0","33635.0","5928.0","","","","","","","","","","","",""
"33649.0","6.0","33642.0","4788.0","","","","","","","","","","","",""
"33656.0","7.0","33649.0","5574.0","","","","","","","","","","","",""
"33663.0","8.0","33656.0","4417.0","","","","","","","","","","","",""
"33670.0","9.0","33663.0","4745.0","","","","","","","","","","","",""
"33677.0","10.0","33670.0","4610.0","","","","","","","","","","","",""
"33684.0","11.0","33677.0","4413.0","","","","","","","","","","","",""
"33691.0","12.0","33684.0","3895.0","","","","","","","","","","","",""
"33698.0","13.0","33691.0","4008.0","","","","","","","","","","","",""
"33705.0","14.0","33698.0","4731.0","","","","","","","","","","","",""
"33712.0","15.0","33705.0","3984.0","","","","","","","","","","","",""
"33719.0","16.0","33712.0","4587.0","","","","","","","","","","","",""
"33726.0","17.0","33719.0","3897.0","","","","","","","","","","","",""
"33733.0","18.0","33726.0","3773.0","","","","","","","","","","","",""
"33740.0","19.0","33733.0","3691.0","","","","","","","","","","","",""
"33747.0","20.0","33740.0","3359.0","","","","","","","","","","","",""
"33754.0","21.0","33747.0","3216.0","","","","","","","","","","","",""
"33761.0","22.0","33754.0","4712.0","","","","","","","","","","","",""
"33768.0","23.0","33761.0","3800.0","","","","","","","","","","","",""
"33775.0","24.0","33768.0","5329.0","","","","","","","","","","","",""
"33782.0","25.0","33775.0","3178.0","","","","","","","","","","","",""
"33789.0","26.0","33782.0","4397.0","","","","","","","","","","","",""
"33796.0","27.0","33789.0","4810.0","","","","","","","","","","","",""
"33803.0","28.0","33796.0","3680.0","","","","","","","","","","","",""
"33810.0","29.0","33803.0","3887.0","","","","","","","","","","","",""
"33817.0","30.0","33810.0","3212.0","","","","","","","","","","","",""
"33824.0","31.0","33817.0","3274.0","","","","","","","","","","","",""
"33831.0","32.0","33824.0","3099.0","","","","","","","","","","","",""
"33838.0","33.0","33831.0","2959.0","","","","","","","","","","","",""
"33845.0","34.0","33838.0","2898.0","","","","","","","","","","","",""
"33852.0","35.0","33845.0","2784.0","","","","","","","","","","","",""
"33859.0","36.0","33852.0","2498.0","","","","","","","","","","","",""
"33866.0","37.0","33859.0","3224.0","","","","","","","","","","","",""
"33873.0","38.0","33866.0","2523.0","","","","","","","","","","","",""
"33880.0","39.0","33873.0","2600.0","","","","","","","","","","","",""
"33887.0","40.0","33880.0","4091.0","","","","","","","","","","","",""
"33894.0","41.0","33887.0","3176.0","","","","","","","","","","","",""
"33901.0","42.0","33894.0","3501.0","","","","","","","","","","","",""
"33908.0","43.0","33901.0","3374.0","","","","","","","","","","","",""
"33915.0","44.0","33908.0","8405.0","","","","","","","","","","","",""
"33922.0","45.0","33915.0","5003.0","","","","","","","","","","","",""
"33929.0","46.0","33922.0","6224.0","","","","","","","","","","","",""
"33936.0","47.0","33929.0","5844.0","","","","","","","","","","","",""
"33943.0","48.0","33936.0","7411.0","","","","","","","","","","","",""
"33950.0","49.0","33943.0","6074.0","","","","","","","","","","","",""
"33957.0","50.0","33950.0","6115.0","","","","","","","","","","","",""
"33964.0","51.0","33957.0","6920.0","","","","","","","","","","","",""
"33971.0","52.0","33964.0","6663.0","","","","","","","","","","","",""
"33978.0","1.0","33971.0","9882.0","","","","","","","","","","","",""
"33985.0","2.0","33978.0","6292.0","","","","","","","","","","","",""
"33992.0","3.0","33985.0","4459.0","","","","","","","","","","","",""
"33999.0","4.0","33992.0","5371.0","","","","","","","","","","","",""
"34006.0","5.0","33999.0","5154.0","","","","","","","","","","","",""
"34013.0","6.0","34006.0","4176.0","","","","","","","","","","","",""
"34020.0","7.0","34013.0","3829.0","","","","","","","","","","","",""
"34027.0","8.0","34020.0","4383.0","","","","","","","","","","","",""
"34034.0","9.0","34027.0","5516.0","","","","","","","","","","","",""
"34041.0","10.0","34034.0","3841.0","","","","","","","","","","","",""
"34048.0","11.0","34041.0","3890.0","","","","","","","","","","","",""
"34055.0","12.0","34048.0","3492.0","","","","","","","","","","","",""
"34062.0","13.0","34055.0","3697.0","","","","","","","","","","","",""
"34069.0","14.0","34062.0","4547.0","","","","","","","","","","","",""
"34076.0","15.0","34069.0","3569.0","","","","","","","","","","","",""
"34083.0","16.0","34076.0","3073.0","","","","","","","","","","","",""
"34090.0","17.0","34083.0","2605.0","","","","","","","","","","","",""
"34097.0","18.0","34090.0","3011.0","","","","","","","","","","","",""
"34104.0","19.0","34097.0","2895.0","","","","","","","","","","","",""
"34111.0","20.0","34104.0","2860.0","","","","","","","","","","","",""
"34118.0","21.0","34111.0","2795.0","","","","","","","","","","","",""
"34125.0","22.0","34118.0","3401.0","","","","","","","","","","","",""
"34132.0","23.0","34125.0","3295.0","","","","","","","","","","","",""
"34139.0","24.0","34132.0","3089.0","","","","","","","","","","","",""
"34146.0","25.0","34139.0","2804.0","","","","","","","","","","","",""
"34153.0","26.0","34146.0","3114.0","","","","","","","","","","","",""
"34160.0","27.0","34153.0","4525.0","","","","","","","","","","","",""
"34167.0","28.0","34160.0","3702.0","","","","","","","","","","","",""
"34174.0","29.0","34167.0","2788.0","","","","","","","","","","","",""
"34181.0","30.0","34174.0","2847.0","","","","","","","","","","","",""
"34188.0","31.0","34181.0","3213.0","","","","","","","","","","","",""
"34195.0","32.0","34188.0","2380.0","","","","","","","","","","","",""
"34202.0","33.0","34195.0","2478.0","","","","","","","","","","","",""
"34209.0","34.0","34202.0","2315.0","","","","","","","","","","","",""
"34216.0","35.0","34209.0","2642.0","","","","","","","","","","","",""
"34223.0","36.0","34216.0","2498.0","","","","","","","","","","","",""
"34230.0","37.0","34223.0","2673.0","","","","","","","","","","","",""
"34237.0","38.0","34230.0","2958.0","","","","","","","","","","","",""
"34244.0","39.0","34237.0","2512.0","","","","","","","","","","","",""
"34251.0","40.0","34244.0","3929.0","","","","","","","","","","","",""
"34258.0","41.0","34251.0","3031.0","","","","","","","","","","","",""
"34265.0","42.0","34258.0","3487.0","","","","","","","","","","","",""
"34272.0","43.0","34265.0","3643.0","","","","","","","","","","","",""
"34279.0","44.0","34272.0","5062.0","","","","","","","","","","","",""
"34286.0","45.0","34279.0","4767.0","","","","","","","","","","","",""
"34293.0","46.0","34286.0","6226.0","","","","","","","","","","","",""
"34300.0","47.0","34293.0","6269.0","","","","","","","","","","","",""
"34307.0","48.0","34300.0","7977.0","","","","","","","","","","","",""
"34314.0","49.0","34307.0","6461.0","","","","","","","","","","","",""
"34321.0","50.0","34314.0","5815.0","","","","","","","","","","","",""
"34328.0","51.0","34321.0","7585.0","","","","","","","","","","","",""
"34335.0","52.0","34328.0","7406.0","","","","","","","","","","","",""
"34342.0","1.0","34335.0","9075.0","","","","","","","","","","","",""
"34349.0","2.0","34342.0","6752.0","","","","","","","","","","","",""
"34356.0","3.0","34349.0","5183.0","","","","","","","","","","","",""
"34363.0","4.0","34356.0","4739.0","","","","","","","","","","","",""
"34370.0","5.0","34363.0","4454.0","","","","","","","","","","","",""
"34377.0","6.0","34370.0","4680.0","","","","","","","","","","","",""
"34384.0","7.0","34377.0","3891.0","","","","","","","","","","","",""
"34391.0","8.0","34384.0","3187.0","","","","","","","","","","","",""
"34398.0","9.0","34391.0","4313.0","","","","","","","","","","","",""
"34405.0","10.0","34398.0","3508.0","","","","","","","","","","","",""
"34412.0","11.0","34405.0","3709.0","","","","","","","","","","","",""
"34419.0","12.0","34412.0","3388.0","","","","","","","","","","","",""
"34426.0","13.0","34419.0","3420.0","","","","","","","","","","","",""
"34433.0","14.0","34426.0","4928.0","","","","","","","","","","","",""
"34440.0","15.0","34433.0","3850.0","","","","","","","","","","","",""
"34447.0","16.0","34440.0","2976.0","","","","","","","","","","","",""
"34454.0","17.0","34447.0","3556.0","","","","","","","","","","","",""
"34461.0","18.0","34454.0","4133.0","","","","","","","","","","","",""
"34468.0","19.0","34461.0","3080.0","","","","","","","","","","","",""
"34475.0","20.0","34468.0","3040.0","","","","","","","","","","","",""
"34482.0","21.0","34475.0","3057.0","","","","","","","","","","","",""
"34489.0","22.0","34482.0","3262.0","","","","","","","","","","","",""
"34496.0","23.0","34489.0","3325.0","","","","","","","","","","","",""
"34503.0","24.0","34496.0","3540.0","","","","","","","","","","","",""
"34510.0","25.0","34503.0","2829.0","","","","","","","","","","","",""
"34517.0","26.0","34510.0","3155.0","","","","","","","","","","","",""
"34524.0","27.0","34517.0","4682.0","","","","","","","","","","","",""
"34531.0","28.0","34524.0","3397.0","","","","","","","","","","","",""
"34538.0","29.0","34531.0","2698.0","","","","","","","","","","","",""
"34545.0","30.0","34538.0","2349.0","","","","","","","","","","","",""
"34552.0","31.0","34545.0","2792.0","","","","","","","","","","","",""
"34559.0","32.0","34552.0","2392.0","","","","","","","","","","","",""
"34566.0","33.0","34559.0","2395.0","","","","","","","","","","","",""
"34573.0","34.0","34566.0","2054.0","","","","","","","","","","","",""
"34580.0","35.0","34573.0","2160.0","","","","","","","","","","","",""
"34587.0","36.0","34580.0","2295.0","","","","","","","","","","","",""
"34594.0","37.0","34587.0","2372.0","","","","","","","","","","","",""
"34601.0","38.0","34594.0","2122.0","","","","","","","","","","","",""
"34608.0","39.0","34601.0","2333.0","","","","","","","","","","","",""
"34615.0","40.0","34608.0","3398.0","","","","","","","","","","","",""
"34622.0","41.0","34615.0","2821.0","","","","","","","","","","","",""
"34629.0","42.0","34622.0","3007.0","","","","","","","","","","","",""
"34636.0","43.0","34629.0","2843.0","","","","","","","","","","","",""
"34643.0","44.0","34636.0","3709.0","","","","","","","","","","","",""
"34650.0","45.0","34643.0","3597.0","","","","","","","","","","","",""
"34657.0","46.0","34650.0","5111.0","","","","","","","","","","","",""
"34664.0","47.0","34657.0","6698.0","","","","","","","","","","","",""
"34671.0","48.0","34664.0","8565.0","","","","","","","","","","","",""
"34678.0","49.0","34671.0","6730.0","","","","","","","","","","","",""
"34685.0","50.0","34678.0","5994.0","","","","","","","","","","","",""
"34692.0","51.0","34685.0","7504.0","","","","","","","","","","","",""
"34699.0","52.0","34692.0","6956.0","","","","","","","","","","","",""
"34706.0","53.0","34699.0","10107.0","","","","","","","","","","","",""
"34713.0","1.0","34706.0","8106.0","","","","","","","","","","","",""
"34720.0","2.0","34713.0","4652.0","","","","","","","","","","","",""
"34727.0","3.0","34720.0","4408.0","","","","","","","","","","","",""
"34734.0","4.0","34727.0","4223.0","","","","","","","","","","","",""
"34741.0","5.0","34734.0","3926.0","","","","","","","","","","","",""
"34748.0","6.0","34741.0","3957.0","","","","","","","","","","","",""
"34755.0","7.0","34748.0","3554.0","","","","","","","","","","","",""
"34762.0","8.0","34755.0","4220.0","","","","","","","","","","","",""
"34769.0","9.0","34762.0","3857.0","","","","","","","","","","","",""
"34776.0","10.0","34769.0","3940.0","","","","","","","","","","","",""
"34783.0","11.0","34776.0","3762.0","","","","","","","","","","","",""
"34790.0","12.0","34783.0","3228.0","","","","","","","","","","","",""
"34797.0","13.0","34790.0","4548.0","","","","","","","","","","","",""
"34804.0","14.0","34797.0","3797.0","","","","","","","","","","","",""
"34811.0","15.0","34804.0","3373.0","","","","","","","","","","","",""
"34818.0","16.0","34811.0","3220.0","","","","","","","","","","","",""
"34825.0","17.0","34818.0","3061.0","","","","","","","","","","","",""
"34832.0","18.0","34825.0","3130.0","","","","","","","","","","","",""
"34839.0","19.0","34832.0","3158.0","","","","","","","","","","","",""
"34846.0","20.0","34839.0","3049.0","","","","","","","","","","","",""
"34853.0","21.0","34846.0","2903.0","","","","","","","","","","","",""
"34860.0","22.0","34853.0","3884.0","","","","","","","","","","","",""
"34867.0","23.0","34860.0","3830.0","","","","","","","","","","","",""
"34874.0","24.0","34867.0","2904.0","","","","","","","","","","","",""
"34881.0","25.0","34874.0","3310.0","","","","","","","","","","","",""
"34888.0","26.0","34881.0","5453.0","","","","","","","","","","","",""
"34895.0","27.0","34888.0","4260.0","","","","","","","","","","","",""
"34902.0","28.0","34895.0","2734.0","","","","","","","","","","","",""
"34909.0","29.0","34902.0","2797.0","","","","","","","","","","","",""
"34916.0","30.0","34909.0","2930.0","","","","","","","","","","","",""
"34923.0","31.0","34916.0","2370.0","","","","","","","","","","","",""
"34930.0","32.0","34923.0","2374.0","","","","","","","","","","","",""
"34937.0","33.0","34930.0","2175.0","","","","","","","","","","","",""
"34944.0","34.0","34937.0","2279.0","","","","","","","","","","","",""
"34951.0","35.0","34944.0","2501.0","","","","","","","","","","","",""
"34958.0","36.0","34951.0","2657.0","","","","","","","","","","","",""
"34965.0","37.0","34958.0","3945.0","","","","","","","","","","","",""
"34972.0","38.0","34965.0","2461.0","","","","","","","","","","","",""
"34979.0","39.0","34972.0","3394.0","","","","","","","","","","","",""
"34986.0","40.0","34979.0","2802.0","","","","","","","","","","","",""
"34993.0","41.0","34986.0","2918.0","","","","","","","","","","","",""
"35000.0","42.0","34993.0","3263.0","","","","","","","","","","","",""
