"Report date","Week #","Week ","UT","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19"
"32886.0","1.0","32879.0","2566.0","","Week 1","1011.0","1588.0","2148.0","19690.0","","1.0","1011.0","1588.0","2148.0","19690.0"
"32893.0","2.0","32886.0","1432.0","","Week 2","714.0","1286.0","1835.0","28532.0","","2.0","1725.0","2874.0","3983.0","48222.0"
"32900.0","3.0","32893.0","1330.0","","Week 3","823.0","1912.0","1985.0","33040.0","","3.0","2548.0","4786.0","5968.0","81262.0"
"32907.0","4.0","32900.0","1516.0","","Week 4","915.0","1771.0","2447.0","24515.0","","4.0","3463.0","6557.0","8415.0","105777.0"
"32914.0","5.0","32907.0","1409.0","","Week 5","788.0","1787.0","2026.0","19649.0","","5.0","4251.0","8344.0","10441.0","125426.0"
"32921.0","6.0","32914.0","1229.0","","Week 6","974.0","1651.0","1679.0","11738.0","","6.0","5225.0","9995.0","12120.0","137164.0"
"32928.0","7.0","32921.0","1023.0","","Week 7","784.0","1620.0","1901.0","8992.0","","7.0","6009.0","11615.0","14021.0","146156.0"
"32935.0","8.0","32928.0","1148.0","","Week 8","809.0","1508.0","1850.0","7076.0","","8.0","6818.0","13123.0","15871.0","153232.0"
"32942.0","9.0","32935.0","1125.0","","Week 9","868.0","1459.0","1615.0","6228.0","","9.0","7686.0","14582.0","17486.0","159460.0"
"32949.0","10.0","32942.0","1237.0","","Week 10","805.0","1373.0","1538.0","5405.0","","10.0","8491.0","15955.0","19024.0","164865.0"
"32956.0","11.0","32949.0","984.0","","Week 11","905.0","1431.0","1483.0","4948.0","","11.0","9396.0","17386.0","20507.0","169813.0"
"32963.0","12.0","32956.0","895.0","","Week 12","964.0","1675.0","1439.0","5382.0","","12.0","10360.0","19061.0","21946.0","175195.0"
"32970.0","13.0","32963.0","1393.0","","Week 13","1651.0","1469.0","1254.0","4803.0","","13.0","12011.0","20530.0","23200.0","179998.0"
"32977.0","14.0","32970.0","1252.0","","Week 14","1155.0","1524.0","1117.0","4915.0","","14.0","13166.0","22054.0","24317.0","184913.0"
"32984.0","15.0","32977.0","1003.0","","Week 15","1280.0","1562.0","1276.0","4965.0","","15.0","14446.0","23616.0","25593.0","189878.0"
"32991.0","16.0","32984.0","1259.0","","Week 16","1385.0","1836.0","1484.0","4802.0","","16.0","15831.0","25452.0","27077.0","194680.0"
"32998.0","17.0","32991.0","1023.0","","Week 17","1590.0","1635.0","1632.0","4792.0","","17.0","17421.0","27087.0","28709.0","199472.0"
"33005.0","18.0","32998.0","983.0","","Week 18","1568.0","1445.0","1555.0","4483.0","","18.0","18989.0","28532.0","30264.0","203955.0"
"33012.0","19.0","33005.0","994.0","","Week 19","1743.0","1470.0","1479.0","3709.0","","19.0","20732.0","30002.0","31743.0","207664.0"
"33019.0","20.0","33012.0","853.0","","Week 20","1604.0","1537.0","1480.0","3098.0","","20.0","22336.0","31539.0","33223.0","210762.0"
"33026.0","21.0","33019.0","842.0","","Week 21","1521.0","1447.0","1399.0","2881.0","","21.0","23857.0","32986.0","34622.0","213643.0"
