"Report date","Week #","Week ","WY","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19"
"32886.0","1.0","32879.0","1099.0","","Week 1","307.0","286.0","518.0","3653.0","","1.0","307.0","286.0","518.0","3653.0"
"32893.0","2.0","32886.0","718.0","","Week 2","382.0","255.0","648.0","6396.0","","2.0","689.0","541.0","1166.0","10049.0"
"32900.0","3.0","32893.0","820.0","","Week 3","376.0","433.0","452.0","6543.0","","3.0","1065.0","974.0","1618.0","16592.0"
"32907.0","4.0","32900.0","746.0","","Week 4","312.0","383.0","719.0","5794.0","","4.0","1377.0","1357.0","2337.0","22386.0"
"32914.0","5.0","32907.0","646.0","","Week 5","330.0","334.0","552.0","4381.0","","5.0","1707.0","1691.0","2889.0","26767.0"
"32921.0","6.0","32914.0","851.0","","Week 6","351.0","224.0","622.0","3497.0","","6.0","2058.0","1915.0","3511.0","30264.0"
"32928.0","7.0","32921.0","627.0","","Week 7","338.0","249.0","446.0","2854.0","","7.0","2396.0","2164.0","3957.0","33118.0"
"32935.0","8.0","32928.0","664.0","","Week 8","338.0","266.0","468.0","3297.0","","8.0","2734.0","2430.0","4425.0","36415.0"
"32942.0","9.0","32935.0","701.0","","Week 9","334.0","205.0","409.0","2303.0","","9.0","3068.0","2635.0","4834.0","38718.0"
"32949.0","10.0","32942.0","613.0","","Week 10","375.0","232.0","319.0","2800.0","","10.0","3443.0","2867.0","5153.0","41518.0"
"32956.0","11.0","32949.0","485.0","","Week 11","366.0","174.0","324.0","2421.0","","11.0","3809.0","3041.0","5477.0","43939.0"
"32963.0","12.0","32956.0","480.0","","Week 12","454.0","339.0","407.0","2013.0","","12.0","4263.0","3380.0","5884.0","45952.0"
"32970.0","13.0","32963.0","611.0","","Week 13","475.0","264.0","433.0","1539.0","","13.0","4738.0","3644.0","6317.0","47491.0"
"32977.0","14.0","32970.0","611.0","","Week 14","278.0","205.0","403.0","1402.0","","14.0","5016.0","3849.0","6720.0","48893.0"
"32984.0","15.0","32977.0","529.0","","Week 15","337.0","181.0","361.0","1418.0","","15.0","5353.0","4030.0","7081.0","50311.0"
"32991.0","16.0","32984.0","458.0","","Week 16","575.0","227.0","407.0","1100.0","","16.0","5928.0","4257.0","7488.0","51411.0"
"32998.0","17.0","32991.0","481.0","","Week 17","908.0","199.0","556.0","","","17.0","6836.0","4456.0","8044.0",""
"33005.0","18.0","32998.0","402.0","","Week 18","602.0","177.0","372.0","","","18.0","7438.0","4633.0","8416.0",""
"33012.0","19.0","33005.0","379.0","","Week 19","496.0","168.0","303.0","","","19.0","7934.0","4801.0","8719.0",""
"33019.0","20.0","33012.0","372.0","","Week 20","907.0","182.0","289.0","","","20.0","8841.0","4983.0","9008.0",""
"33026.0","21.0","33019.0","332.0","","Week 21","761.0","165.0","292.0","","","21.0","9602.0","5148.0","9300.0",""
"33033.0","22.0","33026.0","362.0","","Week 22","756.0","175.0","318.0","","","22.0","10358.0","5323.0","9618.0",""
"33040.0","23.0","33033.0","376.0","","Week 23","988.0","180.0","309.0","","","23.0","11346.0","5503.0","9927.0",""
"33047.0","24.0","33040.0","410.0","","Week 24","748.0","171.0","456.0","","","24.0","12094.0","5674.0","10383.0",""
"33054.0","25.0","33047.0","317.0","","Week 25","428.0","177.0","358.0","","","25.0","12522.0","5851.0","10741.0",""
