"Report date","Week #","Week ","WY","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19"
"33061.0","26.0","33054.0","469.0","","Week 26","1294.0","194.0","316.0","","","26.0","13816.0","6045.0","11057.0",""
"33068.0","27.0","33061.0","377.0","","Week 27","805.0","236.0","269.0","","","27.0","14621.0","6281.0","11326.0",""
"33075.0","28.0","33068.0","307.0","","Week 28","720.0","253.0","259.0","","","28.0","15341.0","6534.0","11585.0",""
"33082.0","29.0","33075.0","382.0","","Week 29","803.0","271.0","245.0","","","29.0","16144.0","6805.0","11830.0",""
"33089.0","30.0","33082.0","376.0","","Week 30","852.0","334.0","341.0","","","30.0","16996.0","7139.0","12171.0",""
"33096.0","31.0","33089.0","312.0","","Week 31","702.0","368.0","280.0","","","31.0","17698.0","7507.0","12451.0",""
"33103.0","32.0","33096.0","330.0","","Week 32","738.0","393.0","284.0","","","32.0","18436.0","7900.0","12735.0",""
"33110.0","33.0","33103.0","351.0","","Week 33","657.0","406.0","277.0","","","33.0","19093.0","8306.0","13012.0",""
"33117.0","34.0","33110.0","338.0","","Week 34","657.0","494.0","287.0","","","34.0","19750.0","8800.0","13299.0",""
"33124.0","35.0","33117.0","338.0","","Week 35","643.0","512.0","225.0","","","35.0","20393.0","9312.0","13524.0",""
"33131.0","36.0","33124.0","334.0","","Week 36","572.0","452.0","258.0","","","36.0","20965.0","9764.0","13782.0",""
"33138.0","37.0","33131.0","375.0","","Week 37","560.0","771.0","271.0","","","37.0","21525.0","10535.0","14053.0",""
"33145.0","38.0","33138.0","366.0","","Week 38","586.0","","301.0","","","38.0","22111.0","","14354.0",""
"33152.0","39.0","33145.0","454.0","","Week 39","","","340.0","","","39.0","","","14694.0",""
"33159.0","40.0","33152.0","475.0","","Week 40","","","289.0","","","40.0","","","14983.0",""
"33166.0","41.0","33159.0","278.0","","Week 41","","","306.0","","","41.0","","","15289.0",""
"33173.0","42.0","33166.0","337.0","","Week 42","","","375.0","","","42.0","","","15664.0",""
"33180.0","43.0","33173.0","575.0","","Week 43","","","513.0","","","43.0","","","16177.0",""
"33187.0","44.0","33180.0","908.0","","Week 44","","","301.0","","","44.0","","","16478.0",""
"33194.0","45.0","33187.0","602.0","","Week 45","","","509.0","","","45.0","","","16987.0",""
"33201.0","46.0","33194.0","496.0","","Week 46","","","536.0","","","46.0","","","17523.0",""
"33208.0","47.0","33201.0","907.0","","Week 47","","","750.0","","","47.0","","","18273.0",""
"33215.0","48.0","33208.0","761.0","","Week 48","","","660.0","","","48.0","","","18933.0",""
"33222.0","49.0","33215.0","756.0","","Week 49","","","688.0","","","49.0","","","19621.0",""
"33229.0","50.0","33222.0","988.0","","Week 50","","","597.0","","","50.0","","","20218.0",""
"33236.0","51.0","33229.0","748.0","","Week 51","","","896.0","","","51.0","","","21114.0",""
"33243.0","52.0","33236.0","428.0","","Week 52","","","920.0","","","52.0","","","22034.0",""
"33250.0","1.0","33243.0","1294.0","","Week 53","","","1165.0","","","53.0","","","23199.0",""
"33257.0","2.0","33250.0","805.0","","Week 54","","","779.0","","","54.0","","","23978.0",""
"33264.0","3.0","33257.0","720.0","","Week 55","","","859.0","","","55.0","","","24837.0",""
"33271.0","4.0","33264.0","803.0","","Week 56","","","1293.0","","","56.0","","","26130.0",""
"33278.0","5.0","33271.0","852.0","","Week 57","","","1041.0","","","57.0","","","27171.0",""
"33285.0","6.0","33278.0","702.0","","Week 58","","","904.0","","","58.0","","","28075.0",""
"33292.0","7.0","33285.0","738.0","","Week 59","","","987.0","","","59.0","","","29062.0",""
"33299.0","8.0","33292.0","657.0","","Week 60","","","955.0","","","60.0","","","30017.0",""
"33306.0","9.0","33299.0","657.0","","Week 61","","","975.0","","","61.0","","","30992.0",""
"33313.0","10.0","33306.0","643.0","","Week 62","","","932.0","","","62.0","","","31924.0",""
"33320.0","11.0","33313.0","572.0","","Week 63","","","965.0","","","63.0","","","32889.0",""
"33327.0","12.0","33320.0","560.0","","Week 64","","","1028.0","","","64.0","","","33917.0",""
"33334.0","13.0","33327.0","586.0","","Week 65","","","1067.0","","","65.0","","","34984.0",""
"33341.0","14.0","33334.0","722.0","","Week 66","","","1037.0","","","66.0","","","36021.0",""
"33348.0","15.0","33341.0","697.0","","Week 67","","","1077.0","","","67.0","","","37098.0",""
"33355.0","16.0","33348.0","577.0","","Week 68","","","1203.0","","","68.0","","","38301.0",""
"33362.0","17.0","33355.0","525.0","","Week 69","","","1478.0","","","69.0","","","39779.0",""
"33369.0","18.0","33362.0","516.0","","Week 70","","","947.0","","","70.0","","","40726.0",""
"33376.0","19.0","33369.0","508.0","","Week 71","","","780.0","","","71.0","","","41506.0",""
"33383.0","20.0","33376.0","428.0","","Week 72","","","835.0","","","72.0","","","42341.0",""
"33390.0","21.0","33383.0","362.0","","Week 73","","","819.0","","","73.0","","","43160.0",""
"33397.0","22.0","33390.0","488.0","","Week 74","","","759.0","","","74.0","","","43919.0",""
"33404.0","23.0","33397.0","457.0","","Week 75","","","672.0","","","75.0","","","44591.0",""
"33411.0","24.0","33404.0","489.0","","Week 76","","","719.0","","","76.0","","","45310.0",""
"33418.0","25.0","33411.0","444.0","","Week 77","","","908.0","","","77.0","","","46218.0",""
"33425.0","26.0","33418.0","460.0","","Week 78","","","874.0","","","78.0","","","47092.0",""
"33432.0","27.0","33425.0","527.0","","Week 79","","","706.0","","","79.0","","","47798.0",""
"33439.0","28.0","33432.0","418.0","","Week 80","","","633.0","","","80.0","","","48431.0",""
"33446.0","29.0","33439.0","366.0","","Week 81","","","552.0","","","81.0","","","48983.0",""
"33453.0","30.0","33446.0","380.0","","","","","","","","","","","",""
"33460.0","31.0","33453.0","386.0","","","","","","","","","","","",""
"33467.0","32.0","33460.0","397.0","","","","","","","","","","","",""
"33474.0","33.0","33467.0","391.0","","","","","","","","","","","",""
"33481.0","34.0","33474.0","452.0","","","","","","","","","","","",""
"33488.0","35.0","33481.0","422.0","","","","","","","","","","","",""
"33495.0","36.0","33488.0","447.0","","","","","","","","","","","",""
"33502.0","37.0","33495.0","427.0","","","","","","","","","","","",""
"33509.0","38.0","33502.0","462.0","","","","","","","","","","","",""
"33516.0","39.0","33509.0","494.0","","","","","","","","","","","",""
"33523.0","40.0","33516.0","613.0","","","","","","","","","","","",""
"33530.0","41.0","33523.0","588.0","","","","","","","","","","","",""
"33537.0","42.0","33530.0","745.0","","","","","","","","","","","",""
"33544.0","43.0","33537.0","1326.0","","","","","","","","","","","",""
"33551.0","44.0","33544.0","968.0","","","","","","","","","","","",""
"33558.0","45.0","33551.0","728.0","","","","","","","","","","","",""
"33565.0","46.0","33558.0","961.0","","","","","","","","","","","",""
"33572.0","47.0","33565.0","672.0","","","","","","","","","","","",""
"33579.0","48.0","33572.0","1121.0","","","","","","","","","","","",""
"33586.0","49.0","33579.0","868.0","","","","","","","","","","","",""
"33593.0","50.0","33586.0","852.0","","","","","","","","","","","",""
"33600.0","51.0","33593.0","889.0","","","","","","","","","","","",""
"33607.0","52.0","33600.0","857.0","","","","","","","","","","","",""
"33614.0","1.0","33607.0","1351.0","","","","","","","","","","","",""
"33621.0","2.0","33614.0","962.0","","","","","","","","","","","",""
"33628.0","3.0","33621.0","766.0","","","","","","","","","","","",""
"33635.0","4.0","33628.0","807.0","","","","","","","","","","","",""
"33642.0","5.0","33635.0","813.0","","","","","","","","","","","",""
"33649.0","6.0","33642.0","773.0","","","","","","","","","","","",""
"33656.0","7.0","33649.0","632.0","","","","","","","","","","","",""
"33663.0","8.0","33656.0","703.0","","","","","","","","","","","",""
"33670.0","9.0","33663.0","717.0","","","","","","","","","","","",""
"33677.0","10.0","33670.0","781.0","","","","","","","","","","","",""
"33684.0","11.0","33677.0","635.0","","","","","","","","","","","",""
"33691.0","12.0","33684.0","565.0","","","","","","","","","","","",""
"33698.0","13.0","33691.0","672.0","","","","","","","","","","","",""
"33705.0","14.0","33698.0","806.0","","","","","","","","","","","",""
"33712.0","15.0","33705.0","610.0","","","","","","","","","","","",""
"33719.0","16.0","33712.0","607.0","","","","","","","","","","","",""
"33726.0","17.0","33719.0","531.0","","","","","","","","","","","",""
"33733.0","18.0","33726.0","546.0","","","","","","","","","","","",""
"33740.0","19.0","33733.0","577.0","","","","","","","","","","","",""
"33747.0","20.0","33740.0","512.0","","","","","","","","","","","",""
"33754.0","21.0","33747.0","409.0","","","","","","","","","","","",""
"33761.0","22.0","33754.0","664.0","","","","","","","","","","","",""
"33768.0","23.0","33761.0","601.0","","","","","","","","","","","",""
"33775.0","24.0","33768.0","554.0","","","","","","","","","","","",""
"33782.0","25.0","33775.0","434.0","","","","","","","","","","","",""
"33789.0","26.0","33782.0","466.0","","","","","","","","","","","",""
"33796.0","27.0","33789.0","651.0","","","","","","","","","","","",""
"33803.0","28.0","33796.0","450.0","","","","","","","","","","","",""
"33810.0","29.0","33803.0","414.0","","","","","","","","","","","",""
"33817.0","30.0","33810.0","422.0","","","","","","","","","","","",""
"33824.0","31.0","33817.0","413.0","","","","","","","","","","","",""
"33831.0","32.0","33824.0","371.0","","","","","","","","","","","",""
"33838.0","33.0","33831.0","420.0","","","","","","","","","","","",""
"33845.0","34.0","33838.0","466.0","","","","","","","","","","","",""
"33852.0","35.0","33845.0","439.0","","","","","","","","","","","",""
"33859.0","36.0","33852.0","392.0","","","","","","","","","","","",""
"33866.0","37.0","33859.0","384.0","","","","","","","","","","","",""
"33873.0","38.0","33866.0","343.0","","","","","","","","","","","",""
"33880.0","39.0","33873.0","405.0","","","","","","","","","","","",""
"33887.0","40.0","33880.0","669.0","","","","","","","","","","","",""
"33894.0","41.0","33887.0","553.0","","","","","","","","","","","",""
"33901.0","42.0","33894.0","523.0","","","","","","","","","","","",""
"33908.0","43.0","33901.0","555.0","","","","","","","","","","","",""
"33915.0","44.0","33908.0","883.0","","","","","","","","","","","",""
"33922.0","45.0","33915.0","636.0","","","","","","","","","","","",""
"33929.0","46.0","33922.0","648.0","","","","","","","","","","","",""
"33936.0","47.0","33929.0","702.0","","","","","","","","","","","",""
"33943.0","48.0","33936.0","966.0","","","","","","","","","","","",""
"33950.0","49.0","33943.0","746.0","","","","","","","","","","","",""
"33957.0","50.0","33950.0","694.0","","","","","","","","","","","",""
"33964.0","51.0","33957.0","688.0","","","","","","","","","","","",""
"33971.0","52.0","33964.0","626.0","","","","","","","","","","","",""
"33978.0","1.0","33971.0","1142.0","","","","","","","","","","","",""
"33985.0","2.0","33978.0","882.0","","","","","","","","","","","",""
"33992.0","3.0","33985.0","653.0","","","","","","","","","","","",""
"33999.0","4.0","33992.0","664.0","","","","","","","","","","","",""
"34006.0","5.0","33999.0","791.0","","","","","","","","","","","",""
"34013.0","6.0","34006.0","693.0","","","","","","","","","","","",""
"34020.0","7.0","34013.0","694.0","","","","","","","","","","","",""
"34027.0","8.0","34020.0","721.0","","","","","","","","","","","",""
"34034.0","9.0","34027.0","620.0","","","","","","","","","","","",""
"34041.0","10.0","34034.0","473.0","","","","","","","","","","","",""
"34048.0","11.0","34041.0","536.0","","","","","","","","","","","",""
"34055.0","12.0","34048.0","488.0","","","","","","","","","","","",""
"34062.0","13.0","34055.0","438.0","","","","","","","","","","","",""
"34069.0","14.0","34062.0","679.0","","","","","","","","","","","",""
"34076.0","15.0","34069.0","556.0","","","","","","","","","","","",""
"34083.0","16.0","34076.0","485.0","","","","","","","","","","","",""
"34090.0","17.0","34083.0","409.0","","","","","","","","","","","",""
"34097.0","18.0","34090.0","433.0","","","","","","","","","","","",""
"34104.0","19.0","34097.0","309.0","","","","","","","","","","","",""
"34111.0","20.0","34104.0","386.0","","","","","","","","","","","",""
"34118.0","21.0","34111.0","363.0","","","","","","","","","","","",""
"34125.0","22.0","34118.0","290.0","","","","","","","","","","","",""
"34132.0","23.0","34125.0","352.0","","","","","","","","","","","",""
"34139.0","24.0","34132.0","248.0","","","","","","","","","","","",""
"34146.0","25.0","34139.0","341.0","","","","","","","","","","","",""
"34153.0","26.0","34146.0","261.0","","","","","","","","","","","",""
"34160.0","27.0","34153.0","383.0","","","","","","","","","","","",""
"34167.0","28.0","34160.0","376.0","","","","","","","","","","","",""
"34174.0","29.0","34167.0","334.0","","","","","","","","","","","",""
"34181.0","30.0","34174.0","259.0","","","","","","","","","","","",""
"34188.0","31.0","34181.0","274.0","","","","","","","","","","","",""
"34195.0","32.0","34188.0","299.0","","","","","","","","","","","",""
"34202.0","33.0","34195.0","368.0","","","","","","","","","","","",""
"34209.0","34.0","34202.0","273.0","","","","","","","","","","","",""
"34216.0","35.0","34209.0","321.0","","","","","","","","","","","",""
"34223.0","36.0","34216.0","331.0","","","","","","","","","","","",""
"34230.0","37.0","34223.0","303.0","","","","","","","","","","","",""
"34237.0","38.0","34230.0","281.0","","","","","","","","","","","",""
"34244.0","39.0","34237.0","284.0","","","","","","","","","","","",""
"34251.0","40.0","34244.0","470.0","","","","","","","","","","","",""
"34258.0","41.0","34251.0","466.0","","","","","","","","","","","",""
"34265.0","42.0","34258.0","499.0","","","","","","","","","","","",""
"34272.0","43.0","34265.0","526.0","","","","","","","","","","","",""
"34279.0","44.0","34272.0","688.0","","","","","","","","","","","",""
"34286.0","45.0","34279.0","577.0","","","","","","","","","","","",""
"34293.0","46.0","34286.0","688.0","","","","","","","","","","","",""
"34300.0","47.0","34293.0","652.0","","","","","","","","","","","",""
"34307.0","48.0","34300.0","872.0","","","","","","","","","","","",""
"34314.0","49.0","34307.0","718.0","","","","","","","","","","","",""
"34321.0","50.0","34314.0","565.0","","","","","","","","","","","",""
"34328.0","51.0","34321.0","584.0","","","","","","","","","","","",""
"34335.0","52.0","34328.0","616.0","","","","","","","","","","","",""
"34342.0","1.0","34335.0","1243.0","","","","","","","","","","","",""
"34349.0","2.0","34342.0","809.0","","","","","","","","","","","",""
"34356.0","3.0","34349.0","736.0","","","","","","","","","","","",""
"34363.0","4.0","34356.0","684.0","","","","","","","","","","","",""
"34370.0","5.0","34363.0","706.0","","","","","","","","","","","",""
"34377.0","6.0","34370.0","760.0","","","","","","","","","","","",""
"34384.0","7.0","34377.0","564.0","","","","","","","","","","","",""
"34391.0","8.0","34384.0","542.0","","","","","","","","","","","",""
"34398.0","9.0","34391.0","647.0","","","","","","","","","","","",""
"34405.0","10.0","34398.0","535.0","","","","","","","","","","","",""
"34412.0","11.0","34405.0","443.0","","","","","","","","","","","",""
"34419.0","12.0","34412.0","442.0","","","","","","","","","","","",""
"34426.0","13.0","34419.0","395.0","","","","","","","","","","","",""
"34433.0","14.0","34426.0","633.0","","","","","","","","","","","",""
"34440.0","15.0","34433.0","612.0","","","","","","","","","","","",""
"34447.0","16.0","34440.0","557.0","","","","","","","","","","","",""
"34454.0","17.0","34447.0","544.0","","","","","","","","","","","",""
"34461.0","18.0","34454.0","543.0","","","","","","","","","","","",""
"34468.0","19.0","34461.0","455.0","","","","","","","","","","","",""
"34475.0","20.0","34468.0","388.0","","","","","","","","","","","",""
"34482.0","21.0","34475.0","357.0","","","","","","","","","","","",""
"34489.0","22.0","34482.0","334.0","","","","","","","","","","","",""
"34496.0","23.0","34489.0","376.0","","","","","","","","","","","",""
"34503.0","24.0","34496.0","375.0","","","","","","","","","","","",""
"34510.0","25.0","34503.0","320.0","","","","","","","","","","","",""
"34517.0","26.0","34510.0","397.0","","","","","","","","","","","",""
"34524.0","27.0","34517.0","493.0","","","","","","","","","","","",""
"34531.0","28.0","34524.0","388.0","","","","","","","","","","","",""
"34538.0","29.0","34531.0","331.0","","","","","","","","","","","",""
"34545.0","30.0","34538.0","271.0","","","","","","","","","","","",""
"34552.0","31.0","34545.0","359.0","","","","","","","","","","","",""
"34559.0","32.0","34552.0","304.0","","","","","","","","","","","",""
"34566.0","33.0","34559.0","304.0","","","","","","","","","","","",""
"34573.0","34.0","34566.0","316.0","","","","","","","","","","","",""
"34580.0","35.0","34573.0","323.0","","","","","","","","","","","",""
"34587.0","36.0","34580.0","284.0","","","","","","","","","","","",""
"34594.0","37.0","34587.0","293.0","","","","","","","","","","","",""
"34601.0","38.0","34594.0","309.0","","","","","","","","","","","",""
"34608.0","39.0","34601.0","290.0","","","","","","","","","","","",""
"34615.0","40.0","34608.0","628.0","","","","","","","","","","","",""
"34622.0","41.0","34615.0","489.0","","","","","","","","","","","",""
"34629.0","42.0","34622.0","611.0","","","","","","","","","","","",""
"34636.0","43.0","34629.0","462.0","","","","","","","","","","","",""
"34643.0","44.0","34636.0","584.0","","","","","","","","","","","",""
"34650.0","45.0","34643.0","607.0","","","","","","","","","","","",""
"34657.0","46.0","34650.0","743.0","","","","","","","","","","","",""
"34664.0","47.0","34657.0","515.0","","","","","","","","","","","",""
"34671.0","48.0","34664.0","764.0","","","","","","","","","","","",""
"34678.0","49.0","34671.0","761.0","","","","","","","","","","","",""
"34685.0","50.0","34678.0","631.0","","","","","","","","","","","",""
"34692.0","51.0","34685.0","710.0","","","","","","","","","","","",""
"34699.0","52.0","34692.0","598.0","","","","","","","","","","","",""
"34706.0","53.0","34699.0","1081.0","","","","","","","","","","","",""
"34713.0","1.0","34706.0","1065.0","","","","","","","","","","","",""
"34720.0","2.0","34713.0","688.0","","","","","","","","","","","",""
"34727.0","3.0","34720.0","748.0","","","","","","","","","","","",""
"34734.0","4.0","34727.0","799.0","","","","","","","","","","","",""
"34741.0","5.0","34734.0","687.0","","","","","","","","","","","",""
"34748.0","6.0","34741.0","692.0","","","","","","","","","","","",""
"34755.0","7.0","34748.0","550.0","","","","","","","","","","","",""
"34762.0","8.0","34755.0","693.0","","","","","","","","","","","",""
"34769.0","9.0","34762.0","553.0","","","","","","","","","","","",""
"34776.0","10.0","34769.0","521.0","","","","","","","","","","","",""
"34783.0","11.0","34776.0","442.0","","","","","","","","","","","",""
"34790.0","12.0","34783.0","464.0","","","","","","","","","","","",""
"34797.0","13.0","34790.0","623.0","","","","","","","","","","","",""
"34804.0","14.0","34797.0","462.0","","","","","","","","","","","",""
"34811.0","15.0","34804.0","489.0","","","","","","","","","","","",""
"34818.0","16.0","34811.0","384.0","","","","","","","","","","","",""
"34825.0","17.0","34818.0","525.0","","","","","","","","","","","",""
"34832.0","18.0","34825.0","468.0","","","","","","","","","","","",""
"34839.0","19.0","34832.0","396.0","","","","","","","","","","","",""
"34846.0","20.0","34839.0","479.0","","","","","","","","","","","",""
"34853.0","21.0","34846.0","416.0","","","","","","","","","","","",""
"34860.0","22.0","34853.0","355.0","","","","","","","","","","","",""
"34867.0","23.0","34860.0","341.0","","","","","","","","","","","",""
"34874.0","24.0","34867.0","308.0","","","","","","","","","","","",""
"34881.0","25.0","34874.0","275.0","","","","","","","","","","","",""
"34888.0","26.0","34881.0","434.0","","","","","","","","","","","",""
"34895.0","27.0","34888.0","410.0","","","","","","","","","","","",""
"34902.0","28.0","34895.0","357.0","","","","","","","","","","","",""
"34909.0","29.0","34902.0","314.0","","","","","","","","","","","",""
"34916.0","30.0","34909.0","313.0","","","","","","","","","","","",""
"34923.0","31.0","34916.0","258.0","","","","","","","","","","","",""
"34930.0","32.0","34923.0","310.0","","","","","","","","","","","",""
"34937.0","33.0","34930.0","295.0","","","","","","","","","","","",""
"34944.0","34.0","34937.0","343.0","","","","","","","","","","","",""
"34951.0","35.0","34944.0","313.0","","","","","","","","","","","",""
"34958.0","36.0","34951.0","337.0","","","","","","","","","","","",""
"34965.0","37.0","34958.0","382.0","","","","","","","","","","","",""
"34972.0","38.0","34965.0","321.0","","","","","","","","","","","",""
"34979.0","39.0","34972.0","480.0","","","","","","","","","","","",""
"34986.0","40.0","34979.0","405.0","","","","","","","","","","","",""
"34993.0","41.0","34986.0","470.0","","","","","","","","","","","",""
"35000.0","42.0","34993.0","630.0","","","","","","","","","","","",""
"35007.0","43.0","35000.0","813.0","","","","","","","","","","","",""
"35014.0","44.0","35007.0","585.0","","","","","","","","","","","",""
"35021.0","45.0","35014.0","646.0","","","","","","","","","","","",""
"35028.0","46.0","35021.0","498.0","","","","","","","","","","","",""
"35035.0","47.0","35028.0","645.0","","","","","","","","","","","",""
"35042.0","48.0","35035.0","638.0","","","","","","","","","","","",""
"35049.0","49.0","35042.0","575.0","","","","","","","","","","","",""
"35056.0","50.0","35049.0","677.0","","","","","","","","","","","",""
"35063.0","51.0","35056.0","1099.0","","","","","","","","","","","",""
"35070.0","52.0","35063.0","1014.0","","","","","","","","","","","",""
"35077.0","1.0","35070.0","1262.0","","","","","","","","","","","",""
"35084.0","2.0","35077.0","648.0","","","","","","","","","","","",""
"35091.0","3.0","35084.0","754.0","","","","","","","","","","","",""
"35098.0","4.0","35091.0","939.0","","","","","","","","","","","",""
"35105.0","5.0","35098.0","682.0","","","","","","","","","","","",""
"35112.0","6.0","35105.0","549.0","","","","","","","","","","","",""
"35119.0","7.0","35112.0","441.0","","","","","","","","","","","",""
"35126.0","8.0","35119.0","686.0","","","","","","","","","","","",""
"35133.0","9.0","35126.0","518.0","","","","","","","","","","","",""
"35140.0","10.0","35133.0","447.0","","","","","","","","","","","",""
"35147.0","11.0","35140.0","445.0","","","","","","","","","","","",""
"35154.0","12.0","35147.0","454.0","","","","","","","","","","","",""
"35161.0","13.0","35154.0","480.0","","","","","","","","","","","",""
"35168.0","14.0","35161.0","696.0","","","","","","","","","","","",""
"35175.0","15.0","35168.0","448.0","","","","","","","","","","","",""
"35182.0","16.0","35175.0","370.0","","","","","","","","","","","",""
"35189.0","17.0","35182.0","397.0","","","","","","","","","","","",""
"35196.0","18.0","35189.0","350.0","","","","","","","","","","","",""
"35203.0","19.0","35196.0","353.0","","","","","","","","","","","",""
"35210.0","20.0","35203.0","399.0","","","","","","","","","","","",""
"35217.0","21.0","35210.0","457.0","","","","","","","","","","","",""
"35224.0","22.0","35217.0","476.0","","","","","","","","","","","",""
"35231.0","23.0","35224.0","324.0","","","","","","","","","","","",""
"35238.0","24.0","35231.0","384.0","","","","","","","","","","","",""
"35245.0","25.0","35238.0","424.0","","","","","","","","","","","",""
"35252.0","26.0","35245.0","441.0","","","","","","","","","","","",""
"35259.0","27.0","35252.0","473.0","","","","","","","","","","","",""
"35266.0","28.0","35259.0","378.0","","","","","","","","","","","",""
"35273.0","29.0","35266.0","340.0","","","","","","","","","","","",""
"35280.0","30.0","35273.0","332.0","","","","","","","","","","","",""
"35287.0","31.0","35280.0","320.0","","","","","","","","","","","",""
"35294.0","32.0","35287.0","334.0","","","","","","","","","","","",""
"35301.0","33.0","35294.0","310.0","","","","","","","","","","","",""
"35308.0","34.0","35301.0","297.0","","","","","","","","","","","",""
"35315.0","35.0","35308.0","307.0","","","","","","","","","","","",""
"35322.0","36.0","35315.0","313.0","","","","","","","","","","","",""
"35329.0","37.0","35322.0","301.0","","","","","","","","","","","",""
"35336.0","38.0","35329.0","389.0","","","","","","","","","","","",""
"35343.0","39.0","35336.0","418.0","","","","","","","","","","","",""
"35350.0","40.0","35343.0","449.0","","","","","","","","","","","",""
"35357.0","41.0","35350.0","492.0","","","","","","","","","","","",""
"35364.0","42.0","35357.0","572.0","","","","","","","","","","","",""
"35371.0","43.0","35364.0","808.0","","","","","","","","","","","",""
"35378.0","44.0","35371.0","735.0","","","","","","","","","","","",""
"35385.0","45.0","35378.0","577.0","","","","","","","","","","","",""
"35392.0","46.0","35385.0","823.0","","","","","","","","","","","",""
"35399.0","47.0","35392.0","789.0","","","","","","","","","","","",""
"35406.0","48.0","35399.0","791.0","","","","","","","","","","","",""
"35413.0","49.0","35406.0","690.0","","","","","","","","","","","",""
"35420.0","50.0","35413.0","1103.0","","","","","","","","","","","",""
"35427.0","51.0","35420.0","819.0","","","","","","","","","","","",""
"35434.0","52.0","35427.0","607.0","","","","","","","","","","","",""
"35441.0","1.0","35434.0","1196.0","","","","","","","","","","","",""
"35448.0","2.0","35441.0","869.0","","","","","","","","","","","",""
"35455.0","3.0","35448.0","592.0","","","","","","","","","","","",""
"35462.0","4.0","35455.0","610.0","","","","","","","","","","","",""
"35469.0","5.0","35462.0","635.0","","","","","","","","","","","",""
"35476.0","6.0","35469.0","616.0","","","","","","","","","","","",""
"35483.0","7.0","35476.0","501.0","","","","","","","","","","","",""
"35490.0","8.0","35483.0","543.0","","","","","","","","","","","",""
"35497.0","9.0","35490.0","469.0","","","","","","","","","","","",""
"35504.0","10.0","35497.0","513.0","","","","","","","","","","","",""
"35511.0","11.0","35504.0","480.0","","","","","","","","","","","",""
