"Report date","Week #","Week ","SC","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19"
"32886.0","1.0","32879.0","19776.0","","Week 1","11565.0","6852.0","6009.0","31826.0","","1.0","11565.0","6852.0","6009.0","31826.0"
"32893.0","2.0","32886.0","9995.0","","Week 2","8098.0","7608.0","5653.0","66475.0","","2.0","19663.0","14460.0","11662.0","98301.0"
"32900.0","3.0","32893.0","7559.0","","Week 3","6969.0","8820.0","14000.0","86573.0","","3.0","26632.0","23280.0","25662.0","184874.0"
"32907.0","4.0","32900.0","6560.0","","Week 4","6788.0","5887.0","12269.0","89147.0","","4.0","33420.0","29167.0","37931.0","274021.0"
"32914.0","5.0","32907.0","7632.0","","Week 5","5997.0","10022.0","6674.0","74362.0","","5.0","39417.0","39189.0","44605.0","348383.0"
"32921.0","6.0","32914.0","4981.0","","Week 6","5007.0","7738.0","6613.0","66438.0","","6.0","44424.0","46927.0","51218.0","414821.0"
"32928.0","7.0","32921.0","4510.0","","Week 7","5646.0","6163.0","6612.0","47673.0","","7.0","50070.0","53090.0","57830.0","462494.0"
"32935.0","8.0","32928.0","6313.0","","Week 8","5255.0","6070.0","6392.0","33191.0","","8.0","55325.0","59160.0","64222.0","495685.0"
"32942.0","9.0","32935.0","5225.0","","Week 9","7053.0","7869.0","5113.0","29899.0","","9.0","62378.0","67029.0","69335.0","525584.0"
"32949.0","10.0","32942.0","5876.0","","Week 10","6207.0","6424.0","5234.0","25380.0","","10.0","68585.0","73453.0","74569.0","550964.0"
"32956.0","11.0","32949.0","4269.0","","Week 11","4814.0","7718.0","7913.0","18910.0","","11.0","73399.0","81171.0","82482.0","569874.0"
"32963.0","12.0","32956.0","4771.0","","Week 12","5391.0","10236.0","5892.0","23188.0","","12.0","78790.0","91407.0","88374.0","593062.0"
"32970.0","13.0","32963.0","8834.0","","Week 13","5293.0","9564.0","5095.0","19853.0","","13.0","84083.0","100971.0","93469.0","612915.0"
"32977.0","14.0","32970.0","3614.0","","Week 14","6034.0","8982.0","5152.0","17611.0","","14.0","90117.0","109953.0","98621.0","630526.0"
"32984.0","15.0","32977.0","5481.0","","Week 15","5692.0","7224.0","5945.0","17654.0","","15.0","95809.0","117177.0","104566.0","648180.0"
"32991.0","16.0","32984.0","7969.0","","Week 16","5956.0","10359.0","7807.0","16015.0","","16.0","101765.0","127536.0","112373.0","664195.0"
"32998.0","17.0","32991.0","4230.0","","Week 17","9921.0","23967.0","6264.0","19272.0","","17.0","111686.0","151503.0","118637.0","683467.0"
"33005.0","18.0","32998.0","4235.0","","Week 18","6696.0","11512.0","6566.0","14307.0","","18.0","118382.0","163015.0","125203.0","697774.0"
"33012.0","19.0","33005.0","4320.0","","Week 19","4781.0","8136.0","5549.0","12195.0","","19.0","123163.0","171151.0","130752.0","709969.0"
"33019.0","20.0","33012.0","5493.0","","Week 20","13215.0","8677.0","5322.0","8909.0","","20.0","136378.0","179828.0","136074.0","718878.0"
"33026.0","21.0","33019.0","4543.0","","Week 21","16749.0","7121.0","5536.0","5896.0","","21.0","153127.0","186949.0","141610.0","724774.0"
"33033.0","22.0","33026.0","7592.0","","Week 22","7898.0","8015.0","6581.0","7231.0","","22.0","161025.0","194964.0","148191.0","732005.0"
"33040.0","23.0","33033.0","4877.0","","Week 23","7835.0","6613.0","5500.0","5496.0","","23.0","168860.0","201577.0","153691.0","737501.0"
"33047.0","24.0","33040.0","5075.0","","Week 24","5404.0","7682.0","4952.0","5000.0","","24.0","174264.0","209259.0","158643.0","742501.0"
"33054.0","25.0","33047.0","3948.0","","Week 25","23570.0","7408.0","7700.0","5085.0","","25.0","197834.0","216667.0","166343.0","747586.0"
"33061.0","26.0","33054.0","6682.0","","Week 26","30763.0","9689.0","6758.0","4283.0","","26.0","228597.0","226356.0","173101.0","751869.0"
"33068.0","27.0","33061.0","18143.0","","Week 27","17510.0","6785.0","6646.0","","","27.0","246107.0","233141.0","179747.0",""
"33075.0","28.0","33068.0","11565.0","","Week 28","9901.0","7127.0","5913.0","","","28.0","256008.0","240268.0","185660.0",""
"33082.0","29.0","33075.0","8098.0","","Week 29","11004.0","9236.0","5880.0","","","29.0","267012.0","249504.0","191540.0",""
"33089.0","30.0","33082.0","6969.0","","Week 30","12659.0","9432.0","11567.0","","","30.0","279671.0","258936.0","203107.0",""
"33096.0","31.0","33089.0","6788.0","","Week 31","9577.0","8583.0","9955.0","","","31.0","289248.0","267519.0","213062.0",""
"33103.0","32.0","33096.0","5997.0","","Week 32","10077.0","7806.0","8909.0","","","32.0","299325.0","275325.0","221971.0",""
"33110.0","33.0","33103.0","5007.0","","Week 33","10485.0","10412.0","6722.0","","","33.0","309810.0","285737.0","228693.0",""
"33117.0","34.0","33110.0","5646.0","","Week 34","10868.0","9032.0","8293.0","","","34.0","320678.0","294769.0","236986.0",""
"33124.0","35.0","33117.0","5255.0","","Week 35","7778.0","8533.0","6399.0","","","35.0","328456.0","303302.0","243385.0",""
"33131.0","36.0","33124.0","7053.0","","Week 36","9184.0","5193.0","7116.0","","","36.0","337640.0","308495.0","250501.0",""
"33138.0","37.0","33131.0","6207.0","","Week 37","7491.0","22542.0","5976.0","","","37.0","345131.0","331037.0","256477.0",""
"33145.0","38.0","33138.0","4814.0","","Week 38","10685.0","","6674.0","","","38.0","355816.0","","263151.0",""
"33152.0","39.0","33145.0","5391.0","","Week 39","","","9236.0","","","39.0","","","272387.0",""
"33159.0","40.0","33152.0","5293.0","","Week 40","","","6506.0","","","40.0","","","278893.0",""
"33166.0","41.0","33159.0","6034.0","","Week 41","","","7036.0","","","41.0","","","285929.0",""
"33173.0","42.0","33166.0","5692.0","","Week 42","","","6916.0","","","42.0","","","292845.0",""
"33180.0","43.0","33173.0","5956.0","","Week 43","","","9639.0","","","43.0","","","302484.0",""
"33187.0","44.0","33180.0","9921.0","","Week 44","","","7894.0","","","44.0","","","310378.0",""
"33194.0","45.0","33187.0","6696.0","","Week 45","","","8684.0","","","45.0","","","319062.0",""
"33201.0","46.0","33194.0","4781.0","","Week 46","","","7860.0","","","46.0","","","326922.0",""
"33208.0","47.0","33201.0","13215.0","","Week 47","","","11397.0","","","47.0","","","338319.0",""
"33215.0","48.0","33208.0","16749.0","","Week 48","","","9522.0","","","48.0","","","347841.0",""
"33222.0","49.0","33215.0","7898.0","","Week 49","","","10053.0","","","49.0","","","357894.0",""
"33229.0","50.0","33222.0","7835.0","","Week 50","","","9503.0","","","50.0","","","367397.0",""
"33236.0","51.0","33229.0","5404.0","","Week 51","","","21571.0","","","51.0","","","388968.0",""
"33243.0","52.0","33236.0","23570.0","","Week 52","","","13139.0","","","52.0","","","402107.0",""
"33250.0","1.0","33243.0","30763.0","","Week 53","","","12321.0","","","53.0","","","414428.0",""
"33257.0","2.0","33250.0","17510.0","","Week 54","","","7643.0","","","54.0","","","422071.0",""
"33264.0","3.0","33257.0","9901.0","","Week 55","","","22548.0","","","55.0","","","444619.0",""
"33271.0","4.0","33264.0","11004.0","","Week 56","","","19866.0","","","56.0","","","464485.0",""
