"Report date","Week #","Week ","AR","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19"
"32886.0","1.0","32879.0","7723.0","","Week 1","5044.0","5047.0","6589.0","9275.0","","1.0","5044.0","5047.0","6589.0","9275.0"
"32893.0","2.0","32886.0","4399.0","","Week 2","3932.0","4910.0","5087.0","27756.0","","2.0","8976.0","9957.0","11676.0","37031.0"
"32900.0","3.0","32893.0","5051.0","","Week 3","3299.0","3507.0","4476.0","62086.0","","3.0","12275.0","13464.0","16152.0","99117.0"
"32907.0","4.0","32900.0","4555.0","","Week 4","3969.0","3437.0","4442.0","35629.0","","4.0","16244.0","16901.0","20594.0","134746.0"
"32914.0","5.0","32907.0","4662.0","","Week 5","3267.0","3606.0","4755.0","25404.0","","5.0","19511.0","20507.0","25349.0","160150.0"
"32921.0","6.0","32914.0","3434.0","","Week 6","3610.0","4206.0","3350.0","17671.0","","6.0","23121.0","24713.0","28699.0","177821.0"
"32928.0","7.0","32921.0","2953.0","","Week 7","2888.0","4471.0","3301.0","13448.0","","7.0","26009.0","29184.0","32000.0","191269.0"
"32935.0","8.0","32928.0","3964.0","","Week 8","3126.0","4847.0","2745.0","13152.0","","8.0","29135.0","34031.0","34745.0","204421.0"
"32942.0","9.0","32935.0","3378.0","","Week 9","3659.0","4310.0","3865.0","10662.0","","9.0","32794.0","38341.0","38610.0","215083.0"
"32949.0","10.0","32942.0","3431.0","","Week 10","3563.0","4488.0","4583.0","","","10.0","36357.0","42829.0","43193.0",""
"32956.0","11.0","32949.0","3050.0","","Week 11","3683.0","4276.0","3535.0","","","11.0","40040.0","47105.0","46728.0",""
"32963.0","12.0","32956.0","4265.0","","Week 12","4272.0","4284.0","4045.0","","","12.0","44312.0","51389.0","50773.0",""
"32970.0","13.0","32963.0","4390.0","","Week 13","4891.0","5122.0","4954.0","","","13.0","49203.0","56511.0","55727.0",""
"32977.0","14.0","32970.0","3651.0","","Week 14","4468.0","9492.0","5148.0","","","14.0","53671.0","66003.0","60875.0",""
"32984.0","15.0","32977.0","4114.0","","Week 15","4582.0","5500.0","4262.0","","","15.0","58253.0","71503.0","65137.0",""
"32991.0","16.0","32984.0","3325.0","","Week 16","4082.0","3745.0","3596.0","","","16.0","62335.0","75248.0","68733.0",""
"32998.0","17.0","32991.0","4427.0","","Week 17","4788.0","3626.0","3155.0","","","17.0","67123.0","78874.0","71888.0",""
