"Report date","Week #","Week ","AR","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19"
"33005.0","18.0","32998.0","3293.0","","Week 18","5144.0","3968.0","3478.0","","","18.0","72267.0","82842.0","75366.0",""
"33012.0","19.0","33005.0","3244.0","","Week 19","4900.0","3409.0","3574.0","","","19.0","77167.0","86251.0","78940.0",""
"33019.0","20.0","33012.0","3745.0","","Week 20","4400.0","3263.0","4185.0","","","20.0","81567.0","89514.0","83125.0",""
"33026.0","21.0","33019.0","3931.0","","Week 21","6731.0","3071.0","4548.0","","","21.0","88298.0","92585.0","87673.0",""
"33033.0","22.0","33026.0","4619.0","","Week 22","8450.0","4705.0","3557.0","","","22.0","96748.0","97290.0","91230.0",""
"33040.0","23.0","33033.0","3478.0","","Week 23","6566.0","4641.0","3754.0","","","23.0","103314.0","101931.0","94984.0",""
"33047.0","24.0","33040.0","3050.0","","Week 24","9886.0","3791.0","3109.0","","","24.0","113200.0","105722.0","98093.0",""
"33054.0","25.0","33047.0","4824.0","","Week 25","8230.0","3871.0","3192.0","","","25.0","121430.0","109593.0","101285.0",""
"33061.0","26.0","33054.0","6935.0","","Week 26","10747.0","4266.0","3246.0","","","26.0","132177.0","113859.0","104531.0",""
"33068.0","27.0","33061.0","5044.0","","Week 27","10226.0","7413.0","5323.0","","","27.0","142403.0","121272.0","109854.0",""
"33075.0","28.0","33068.0","3932.0","","Week 28","5689.0","5509.0","4542.0","","","28.0","148092.0","126781.0","114396.0",""
"33082.0","29.0","33075.0","3299.0","","Week 29","4597.0","4450.0","4549.0","","","29.0","152689.0","131231.0","118945.0",""
"33089.0","30.0","33082.0","3969.0","","Week 30","5083.0","4578.0","4081.0","","","30.0","157772.0","135809.0","123026.0",""
"33096.0","31.0","33089.0","3267.0","","Week 31","4796.0","5369.0","3973.0","","","31.0","162568.0","141178.0","126999.0",""
"33103.0","32.0","33096.0","3610.0","","Week 32","3640.0","5495.0","3788.0","","","32.0","166208.0","146673.0","130787.0",""
"33110.0","33.0","33103.0","2888.0","","Week 33","3996.0","4449.0","3528.0","","","33.0","170204.0","151122.0","134315.0",""
"33117.0","34.0","33110.0","3126.0","","Week 34","4432.0","8409.0","3536.0","","","34.0","174636.0","159531.0","137851.0",""
"33124.0","35.0","33117.0","3659.0","","Week 35","3997.0","10027.0","3916.0","","","35.0","178633.0","169558.0","141767.0",""
"33131.0","36.0","33124.0","3563.0","","Week 36","","","4080.0","","","36.0","","","145847.0",""
"33138.0","37.0","33131.0","3683.0","","Week 37","","","3530.0","","","37.0","","","149377.0",""
"33145.0","38.0","33138.0","4272.0","","Week 38","","","4142.0","","","38.0","","","153519.0",""
"33152.0","39.0","33145.0","4891.0","","Week 39","","","3720.0","","","39.0","","","157239.0",""
"33159.0","40.0","33152.0","4468.0","","Week 40","","","5995.0","","","40.0","","","163234.0",""
"33166.0","41.0","33159.0","4582.0","","Week 41","","","6509.0","","","41.0","","","169743.0",""
"33173.0","42.0","33166.0","4082.0","","Week 42","","","6148.0","","","42.0","","","175891.0",""
"33180.0","43.0","33173.0","4788.0","","Week 43","","","5145.0","","","43.0","","","181036.0",""
"33187.0","44.0","33180.0","5144.0","","Week 44","","","6505.0","","","44.0","","","187541.0",""
"33194.0","45.0","33187.0","4900.0","","Week 45","","","6952.0","","","45.0","","","194493.0",""
"33201.0","46.0","33194.0","4400.0","","Week 46","","","6785.0","","","46.0","","","201278.0",""
"33208.0","47.0","33201.0","6731.0","","Week 47","","","7466.0","","","47.0","","","208744.0",""
"33215.0","48.0","33208.0","8450.0","","Week 48","","","8975.0","","","48.0","","","217719.0",""
"33222.0","49.0","33215.0","6566.0","","Week 49","","","8461.0","","","49.0","","","226180.0",""
"33229.0","50.0","33222.0","9886.0","","Week 50","","","7285.0","","","50.0","","","233465.0",""
"33236.0","51.0","33229.0","8230.0","","Week 51","","","10489.0","","","51.0","","","243954.0",""
"33243.0","52.0","33236.0","10747.0","","Week 52","","","8692.0","","","52.0","","","252646.0",""
"33250.0","1.0","33243.0","10226.0","","Week 53","","","9487.0","","","53.0","","","262133.0",""
"33257.0","2.0","33250.0","5689.0","","Week 54","","","9531.0","","","54.0","","","271664.0",""
"33264.0","3.0","33257.0","4597.0","","Week 55","","","7883.0","","","55.0","","","279547.0",""
"33271.0","4.0","33264.0","5083.0","","Week 56","","","5777.0","","","56.0","","","285324.0",""
"33278.0","5.0","33271.0","4796.0","","Week 57","","","5779.0","","","57.0","","","291103.0",""
"33285.0","6.0","33278.0","3640.0","","Week 58","","","9921.0","","","58.0","","","301024.0",""
"33292.0","7.0","33285.0","3996.0","","Week 59","","","6766.0","","","59.0","","","307790.0",""
"33299.0","8.0","33292.0","4432.0","","Week 60","","","6557.0","","","60.0","","","314347.0",""
"33306.0","9.0","33299.0","3997.0","","Week 61","","","6390.0","","","61.0","","","320737.0",""
"33313.0","10.0","33306.0","3447.0","","Week 62","","","6345.0","","","62.0","","","327082.0",""
"33320.0","11.0","33313.0","3614.0","","Week 63","","","6340.0","","","63.0","","","333422.0",""
"33327.0","12.0","33320.0","4771.0","","Week 64","","","6827.0","","","64.0","","","340249.0",""
"33334.0","13.0","33327.0","4915.0","","Week 65","","","8769.0","","","65.0","","","349018.0",""
"33341.0","14.0","33334.0","5354.0","","Week 66","","","8310.0","","","66.0","","","357328.0",""
"33348.0","15.0","33341.0","4303.0","","Week 67","","","8379.0","","","67.0","","","365707.0",""
"33355.0","16.0","33348.0","4150.0","","Week 68","","","6376.0","","","68.0","","","372083.0",""
"33362.0","17.0","33355.0","3930.0","","Week 69","","","6233.0","","","69.0","","","378316.0",""
"33369.0","18.0","33362.0","4224.0","","Week 70","","","6284.0","","","70.0","","","384600.0",""
"33376.0","19.0","33369.0","3449.0","","Week 71","","","6971.0","","","71.0","","","391571.0",""
"33383.0","20.0","33376.0","3975.0","","Week 72","","","6847.0","","","72.0","","","398418.0",""
"33390.0","21.0","33383.0","3371.0","","Week 73","","","7571.0","","","73.0","","","405989.0",""
"33397.0","22.0","33390.0","3747.0","","Week 74","","","7813.0","","","74.0","","","413802.0",""
"33404.0","23.0","33397.0","3739.0","","Week 75","","","6607.0","","","75.0","","","420409.0",""
"33411.0","24.0","33404.0","3750.0","","Week 76","","","5352.0","","","76.0","","","425761.0",""
"33418.0","25.0","33411.0","3463.0","","Week 77","","","5276.0","","","77.0","","","431037.0",""
"33425.0","26.0","33418.0","6608.0","","Week 78","","","4894.0","","","78.0","","","435931.0",""
"33432.0","27.0","33425.0","6189.0","","Week 79","","","5566.0","","","79.0","","","441497.0",""
"33439.0","28.0","33432.0","4127.0","","","","","","","","","","","",""
"33446.0","29.0","33439.0","3665.0","","","","","","","","","","","",""
"33453.0","30.0","33446.0","3703.0","","","","","","","","","","","",""
"33460.0","31.0","33453.0","3778.0","","","","","","","","","","","",""
"33467.0","32.0","33460.0","2964.0","","","","","","","","","","","",""
"33474.0","33.0","33467.0","3374.0","","","","","","","","","","","",""
"33481.0","34.0","33474.0","3476.0","","","","","","","","","","","",""
"33488.0","35.0","33481.0","3091.0","","","","","","","","","","","",""
"33495.0","36.0","33488.0","3444.0","","","","","","","","","","","",""
"33502.0","37.0","33495.0","3063.0","","","","","","","","","","","",""
"33509.0","38.0","33502.0","3352.0","","","","","","","","","","","",""
"33516.0","39.0","33509.0","4911.0","","","","","","","","","","","",""
"33523.0","40.0","33516.0","4504.0","","","","","","","","","","","",""
"33530.0","41.0","33523.0","3992.0","","","","","","","","","","","",""
"33537.0","42.0","33530.0","3988.0","","","","","","","","","","","",""
"33544.0","43.0","33537.0","5767.0","","","","","","","","","","","",""
"33551.0","44.0","33544.0","5576.0","","","","","","","","","","","",""
"33558.0","45.0","33551.0","4506.0","","","","","","","","","","","",""
"33565.0","46.0","33558.0","6134.0","","","","","","","","","","","",""
"33572.0","47.0","33565.0","5285.0","","","","","","","","","","","",""
"33579.0","48.0","33572.0","8136.0","","","","","","","","","","","",""
"33586.0","49.0","33579.0","6945.0","","","","","","","","","","","",""
"33593.0","50.0","33586.0","6441.0","","","","","","","","","","","",""
"33600.0","51.0","33593.0","9794.0","","","","","","","","","","","",""
"33607.0","52.0","33600.0","10350.0","","","","","","","","","","","",""
"33614.0","1.0","33607.0","10512.0","","","","","","","","","","","",""
"33621.0","2.0","33614.0","6663.0","","","","","","","","","","","",""
"33628.0","3.0","33621.0","4614.0","","","","","","","","","","","",""
"33635.0","4.0","33628.0","6209.0","","","","","","","","","","","",""
"33642.0","5.0","33635.0","4816.0","","","","","","","","","","","",""
"33649.0","6.0","33642.0","4876.0","","","","","","","","","","","",""
"33656.0","7.0","33649.0","4302.0","","","","","","","","","","","",""
"33663.0","8.0","33656.0","4490.0","","","","","","","","","","","",""
"33670.0","9.0","33663.0","4465.0","","","","","","","","","","","",""
"33677.0","10.0","33670.0","4029.0","","","","","","","","","","","",""
"33684.0","11.0","33677.0","3573.0","","","","","","","","","","","",""
"33691.0","12.0","33684.0","4727.0","","","","","","","","","","","",""
"33698.0","13.0","33691.0","4383.0","","","","","","","","","","","",""
"33705.0","14.0","33698.0","4064.0","","","","","","","","","","","",""
"33712.0","15.0","33705.0","3745.0","","","","","","","","","","","",""
"33719.0","16.0","33712.0","3217.0","","","","","","","","","","","",""
"33726.0","17.0","33719.0","5645.0","","","","","","","","","","","",""
"33733.0","18.0","33726.0","3331.0","","","","","","","","","","","",""
"33740.0","19.0","33733.0","3136.0","","","","","","","","","","","",""
"33747.0","20.0","33740.0","3777.0","","","","","","","","","","","",""
"33754.0","21.0","33747.0","3875.0","","","","","","","","","","","",""
"33761.0","22.0","33754.0","3872.0","","","","","","","","","","","",""
"33768.0","23.0","33761.0","4774.0","","","","","","","","","","","",""
"33775.0","24.0","33768.0","3900.0","","","","","","","","","","","",""
"33782.0","25.0","33775.0","3473.0","","","","","","","","","","","",""
"33789.0","26.0","33782.0","5823.0","","","","","","","","","","","",""
"33796.0","27.0","33789.0","5755.0","","","","","","","","","","","",""
"33803.0","28.0","33796.0","4563.0","","","","","","","","","","","",""
"33810.0","29.0","33803.0","3860.0","","","","","","","","","","","",""
"33817.0","30.0","33810.0","3866.0","","","","","","","","","","","",""
"33824.0","31.0","33817.0","4113.0","","","","","","","","","","","",""
"33831.0","32.0","33824.0","3265.0","","","","","","","","","","","",""
"33838.0","33.0","33831.0","3069.0","","","","","","","","","","","",""
"33845.0","34.0","33838.0","3683.0","","","","","","","","","","","",""
"33852.0","35.0","33845.0","3723.0","","","","","","","","","","","",""
"33859.0","36.0","33852.0","2725.0","","","","","","","","","","","",""
"33866.0","37.0","33859.0","3412.0","","","","","","","","","","","",""
"33873.0","38.0","33866.0","3471.0","","","","","","","","","","","",""
"33880.0","39.0","33873.0","4228.0","","","","","","","","","","","",""
"33887.0","40.0","33880.0","4165.0","","","","","","","","","","","",""
"33894.0","41.0","33887.0","4298.0","","","","","","","","","","","",""
"33901.0","42.0","33894.0","4366.0","","","","","","","","","","","",""
"33908.0","43.0","33901.0","4132.0","","","","","","","","","","","",""
"33915.0","44.0","33908.0","4382.0","","","","","","","","","","","",""
"33922.0","45.0","33915.0","3750.0","","","","","","","","","","","",""
"33929.0","46.0","33922.0","5517.0","","","","","","","","","","","",""
"33936.0","47.0","33929.0","4352.0","","","","","","","","","","","",""
"33943.0","48.0","33936.0","6207.0","","","","","","","","","","","",""
"33950.0","49.0","33943.0","5529.0","","","","","","","","","","","",""
"33957.0","50.0","33950.0","5324.0","","","","","","","","","","","",""
"33964.0","51.0","33957.0","5866.0","","","","","","","","","","","",""
"33971.0","52.0","33964.0","8593.0","","","","","","","","","","","",""
"33978.0","1.0","33971.0","9135.0","","","","","","","","","","","",""
"33985.0","2.0","33978.0","5872.0","","","","","","","","","","","",""
"33992.0","3.0","33985.0","4274.0","","","","","","","","","","","",""
"33999.0","4.0","33992.0","4053.0","","","","","","","","","","","",""
"34006.0","5.0","33999.0","4611.0","","","","","","","","","","","",""
"34013.0","6.0","34006.0","3264.0","","","","","","","","","","","",""
"34020.0","7.0","34013.0","3689.0","","","","","","","","","","","",""
"34027.0","8.0","34020.0","4495.0","","","","","","","","","","","",""
"34034.0","9.0","34027.0","3701.0","","","","","","","","","","","",""
"34041.0","10.0","34034.0","2934.0","","","","","","","","","","","",""
"34048.0","11.0","34041.0","3241.0","","","","","","","","","","","",""
"34055.0","12.0","34048.0","4012.0","","","","","","","","","","","",""
"34062.0","13.0","34055.0","3224.0","","","","","","","","","","","",""
"34069.0","14.0","34062.0","4106.0","","","","","","","","","","","",""
"34076.0","15.0","34069.0","3636.0","","","","","","","","","","","",""
"34083.0","16.0","34076.0","3608.0","","","","","","","","","","","",""
"34090.0","17.0","34083.0","3250.0","","","","","","","","","","","",""
"34097.0","18.0","34090.0","3518.0","","","","","","","","","","","",""
"34104.0","19.0","34097.0","3125.0","","","","","","","","","","","",""
"34111.0","20.0","34104.0","3617.0","","","","","","","","","","","",""
"34118.0","21.0","34111.0","3520.0","","","","","","","","","","","",""
"34125.0","22.0","34118.0","2940.0","","","","","","","","","","","",""
"34132.0","23.0","34125.0","2990.0","","","","","","","","","","","",""
"34139.0","24.0","34132.0","3073.0","","","","","","","","","","","",""
"34146.0","25.0","34139.0","3123.0","","","","","","","","","","","",""
"34153.0","26.0","34146.0","4933.0","","","","","","","","","","","",""
"34160.0","27.0","34153.0","4547.0","","","","","","","","","","","",""
"34167.0","28.0","34160.0","3809.0","","","","","","","","","","","",""
"34174.0","29.0","34167.0","3929.0","","","","","","","","","","","",""
"34181.0","30.0","34174.0","3016.0","","","","","","","","","","","",""
"34188.0","31.0","34181.0","2925.0","","","","","","","","","","","",""
"34195.0","32.0","34188.0","2571.0","","","","","","","","","","","",""
"34202.0","33.0","34195.0","2479.0","","","","","","","","","","","",""
"34209.0","34.0","34202.0","3449.0","","","","","","","","","","","",""
"34216.0","35.0","34209.0","2994.0","","","","","","","","","","","",""
"34223.0","36.0","34216.0","2356.0","","","","","","","","","","","",""
"34230.0","37.0","34223.0","2745.0","","","","","","","","","","","",""
"34237.0","38.0","34230.0","2557.0","","","","","","","","","","","",""
"34244.0","39.0","34237.0","2982.0","","","","","","","","","","","",""
"34251.0","40.0","34244.0","3783.0","","","","","","","","","","","",""
"34258.0","41.0","34251.0","3783.0","","","","","","","","","","","",""
"34265.0","42.0","34258.0","3969.0","","","","","","","","","","","",""
"34272.0","43.0","34265.0","3921.0","","","","","","","","","","","",""
"34279.0","44.0","34272.0","4121.0","","","","","","","","","","","",""
"34286.0","45.0","34279.0","3047.0","","","","","","","","","","","",""
"34293.0","46.0","34286.0","4120.0","","","","","","","","","","","",""
"34300.0","47.0","34293.0","3967.0","","","","","","","","","","","",""
"34307.0","48.0","34300.0","2904.0","","","","","","","","","","","",""
"34314.0","49.0","34307.0","3848.0","","","","","","","","","","","",""
"34321.0","50.0","34314.0","4358.0","","","","","","","","","","","",""
"34328.0","51.0","34321.0","4796.0","","","","","","","","","","","",""
"34335.0","52.0","34328.0","5276.0","","","","","","","","","","","",""
"34342.0","1.0","34335.0","7526.0","","","","","","","","","","","",""
"34349.0","2.0","34342.0","6177.0","","","","","","","","","","","",""
"34356.0","3.0","34349.0","5243.0","","","","","","","","","","","",""
"34363.0","4.0","34356.0","5611.0","","","","","","","","","","","",""
"34370.0","5.0","34363.0","4699.0","","","","","","","","","","","",""
"34377.0","6.0","34370.0","2688.0","","","","","","","","","","","",""
"34384.0","7.0","34377.0","4693.0","","","","","","","","","","","",""
"34391.0","8.0","34384.0","3545.0","","","","","","","","","","","",""
"34398.0","9.0","34391.0","3322.0","","","","","","","","","","","",""
"34405.0","10.0","34398.0","3462.0","","","","","","","","","","","",""
"34412.0","11.0","34405.0","3509.0","","","","","","","","","","","",""
"34419.0","12.0","34412.0","2707.0","","","","","","","","","","","",""
"34426.0","13.0","34419.0","2771.0","","","","","","","","","","","",""
"34433.0","14.0","34426.0","4860.0","","","","","","","","","","","",""
"34440.0","15.0","34433.0","3393.0","","","","","","","","","","","",""
"34447.0","16.0","34440.0","2860.0","","","","","","","","","","","",""
"34454.0","17.0","34447.0","3237.0","","","","","","","","","","","",""
"34461.0","18.0","34454.0","3493.0","","","","","","","","","","","",""
"34468.0","19.0","34461.0","3051.0","","","","","","","","","","","",""
"34475.0","20.0","34468.0","3094.0","","","","","","","","","","","",""
"34482.0","21.0","34475.0","2939.0","","","","","","","","","","","",""
"34489.0","22.0","34482.0","2644.0","","","","","","","","","","","",""
"34496.0","23.0","34489.0","2768.0","","","","","","","","","","","",""
"34503.0","24.0","34496.0","2887.0","","","","","","","","","","","",""
"34510.0","25.0","34503.0","2762.0","","","","","","","","","","","",""
"34517.0","26.0","34510.0","4533.0","","","","","","","","","","","",""
"34524.0","27.0","34517.0","6635.0","","","","","","","","","","","",""
"34531.0","28.0","34524.0","3676.0","","","","","","","","","","","",""
"34538.0","29.0","34531.0","2849.0","","","","","","","","","","","",""
"34545.0","30.0","34538.0","3531.0","","","","","","","","","","","",""
"34552.0","31.0","34545.0","2986.0","","","","","","","","","","","",""
"34559.0","32.0","34552.0","2623.0","","","","","","","","","","","",""
"34566.0","33.0","34559.0","2478.0","","","","","","","","","","","",""
"34573.0","34.0","34566.0","2237.0","","","","","","","","","","","",""
"34580.0","35.0","34573.0","2215.0","","","","","","","","","","","",""
"34587.0","36.0","34580.0","2091.0","","","","","","","","","","","",""
"34594.0","37.0","34587.0","2213.0","","","","","","","","","","","",""
"34601.0","38.0","34594.0","2417.0","","","","","","","","","","","",""
"34608.0","39.0","34601.0","3964.0","","","","","","","","","","","",""
"34615.0","40.0","34608.0","4136.0","","","","","","","","","","","",""
"34622.0","41.0","34615.0","3526.0","","","","","","","","","","","",""
"34629.0","42.0","34622.0","3394.0","","","","","","","","","","","",""
"34636.0","43.0","34629.0","3954.0","","","","","","","","","","","",""
"34643.0","44.0","34636.0","4575.0","","","","","","","","","","","",""
"34650.0","45.0","34643.0","3080.0","","","","","","","","","","","",""
"34657.0","46.0","34650.0","5314.0","","","","","","","","","","","",""
"34664.0","47.0","34657.0","5363.0","","","","","","","","","","","",""
"34671.0","48.0","34664.0","6853.0","","","","","","","","","","","",""
"34678.0","49.0","34671.0","3755.0","","","","","","","","","","","",""
"34685.0","50.0","34678.0","4634.0","","","","","","","","","","","",""
"34692.0","51.0","34685.0","6021.0","","","","","","","","","","","",""
"34699.0","52.0","34692.0","10288.0","","","","","","","","","","","",""
"34706.0","53.0","34699.0","8526.0","","","","","","","","","","","",""
"34713.0","1.0","34706.0","4745.0","","","","","","","","","","","",""
"34720.0","2.0","34713.0","3875.0","","","","","","","","","","","",""
"34727.0","3.0","34720.0","4096.0","","","","","","","","","","","",""
"34734.0","4.0","34727.0","2875.0","","","","","","","","","","","",""
"34741.0","5.0","34734.0","2584.0","","","","","","","","","","","",""
"34748.0","6.0","34741.0","3093.0","","","","","","","","","","","",""
"34755.0","7.0","34748.0","3695.0","","","","","","","","","","","",""
"34762.0","8.0","34755.0","3281.0","","","","","","","","","","","",""
"34769.0","9.0","34762.0","3744.0","","","","","","","","","","","",""
"34776.0","10.0","34769.0","3081.0","","","","","","","","","","","",""
"34783.0","11.0","34776.0","4107.0","","","","","","","","","","","",""
"34790.0","12.0","34783.0","3756.0","","","","","","","","","","","",""
"34797.0","13.0","34790.0","4402.0","","","","","","","","","","","",""
"34804.0","14.0","34797.0","3360.0","","","","","","","","","","","",""
"34811.0","15.0","34804.0","3352.0","","","","","","","","","","","",""
"34818.0","16.0","34811.0","3517.0","","","","","","","","","","","",""
"34825.0","17.0","34818.0","3482.0","","","","","","","","","","","",""
"34832.0","18.0","34825.0","3468.0","","","","","","","","","","","",""
"34839.0","19.0","34832.0","3799.0","","","","","","","","","","","",""
"34846.0","20.0","34839.0","4375.0","","","","","","","","","","","",""
"34853.0","21.0","34846.0","4667.0","","","","","","","","","","","",""
"34860.0","22.0","34853.0","3469.0","","","","","","","","","","","",""
"34867.0","23.0","34860.0","3021.0","","","","","","","","","","","",""
"34874.0","24.0","34867.0","3017.0","","","","","","","","","","","",""
"34881.0","25.0","34874.0","3838.0","","","","","","","","","","","",""
"34888.0","26.0","34881.0","7944.0","","","","","","","","","","","",""
"34895.0","27.0","34888.0","6219.0","","","","","","","","","","","",""
"34902.0","28.0","34895.0","3359.0","","","","","","","","","","","",""
"34909.0","29.0","34902.0","3681.0","","","","","","","","","","","",""
"34916.0","30.0","34909.0","3437.0","","","","","","","","","","","",""
"34923.0","31.0","34916.0","3432.0","","","","","","","","","","","",""
"34930.0","32.0","34923.0","3860.0","","","","","","","","","","","",""
"34937.0","33.0","34930.0","2197.0","","","","","","","","","","","",""
"34944.0","34.0","34937.0","3903.0","","","","","","","","","","","",""
"34951.0","35.0","34944.0","3728.0","","","","","","","","","","","",""
"34958.0","36.0","34951.0","3262.0","","","","","","","","","","","",""
"34965.0","37.0","34958.0","3215.0","","","","","","","","","","","",""
"34972.0","38.0","34965.0","4411.0","","","","","","","","","","","",""
"34979.0","39.0","34972.0","5257.0","","","","","","","","","","","",""
"34986.0","40.0","34979.0","3391.0","","","","","","","","","","","",""
"34993.0","41.0","34986.0","4158.0","","","","","","","","","","","",""
"35000.0","42.0","34993.0","4757.0","","","","","","","","","","","",""
"35007.0","43.0","35000.0","4894.0","","","","","","","","","","","",""
"35014.0","44.0","35007.0","3814.0","","","","","","","","","","","",""
"35021.0","45.0","35014.0","5008.0","","","","","","","","","","","",""
"35028.0","46.0","35021.0","5649.0","","","","","","","","","","","",""
"35035.0","47.0","35028.0","8732.0","","","","","","","","","","","",""
"35042.0","48.0","35035.0","5192.0","","","","","","","","","","","",""
"35049.0","49.0","35042.0","4438.0","","","","","","","","","","","",""
"35056.0","50.0","35049.0","8386.0","","","","","","","","","","","",""
"35063.0","51.0","35056.0","9588.0","","","","","","","","","","","",""
"35070.0","52.0","35063.0","8626.0","","","","","","","","","","","",""
"35077.0","1.0","35070.0","9748.0","","","","","","","","","","","",""
"35084.0","2.0","35077.0","4907.0","","","","","","","","","","","",""
"35091.0","3.0","35084.0","5503.0","","","","","","","","","","","",""
"35098.0","4.0","35091.0","5036.0","","","","","","","","","","","",""
"35105.0","5.0","35098.0","5608.0","","","","","","","","","","","",""
"35112.0","6.0","35105.0","4446.0","","","","","","","","","","","",""
"35119.0","7.0","35112.0","4414.0","","","","","","","","","","","",""
"35126.0","8.0","35119.0","3721.0","","","","","","","","","","","",""
"35133.0","9.0","35126.0","4008.0","","","","","","","","","","","",""
"35140.0","10.0","35133.0","3647.0","","","","","","","","","","","",""
"35147.0","11.0","35140.0","4446.0","","","","","","","","","","","",""
"35154.0","12.0","35147.0","3765.0","","","","","","","","","","","",""
"35161.0","13.0","35154.0","5792.0","","","","","","","","","","","",""
"35168.0","14.0","35161.0","3577.0","","","","","","","","","","","",""
"35175.0","15.0","35168.0","3459.0","","","","","","","","","","","",""
"35182.0","16.0","35175.0","3674.0","","","","","","","","","","","",""
"35189.0","17.0","35182.0","3816.0","","","","","","","","","","","",""
"35196.0","18.0","35189.0","3311.0","","","","","","","","","","","",""
"35203.0","19.0","35196.0","3759.0","","","","","","","","","","","",""
"35210.0","20.0","35203.0","3433.0","","","","","","","","","","","",""
"35217.0","21.0","35210.0","4564.0","","","","","","","","","","","",""
"35224.0","22.0","35217.0","3524.0","","","","","","","","","","","",""
"35231.0","23.0","35224.0","3357.0","","","","","","","","","","","",""
"35238.0","24.0","35231.0","3065.0","","","","","","","","","","","",""
"35245.0","25.0","35238.0","3319.0","","","","","","","","","","","",""
"35252.0","26.0","35245.0","5859.0","","","","","","","","","","","",""
"35259.0","27.0","35252.0","6121.0","","","","","","","","","","","",""
"35266.0","28.0","35259.0","3622.0","","","","","","","","","","","",""
"35273.0","29.0","35266.0","2958.0","","","","","","","","","","","",""
"35280.0","30.0","35273.0","2007.0","","","","","","","","","","","",""
"35287.0","31.0","35280.0","3136.0","","","","","","","","","","","",""
"35294.0","32.0","35287.0","2812.0","","","","","","","","","","","",""
"35301.0","33.0","35294.0","2825.0","","","","","","","","","","","",""
"35308.0","34.0","35301.0","2865.0","","","","","","","","","","","",""
"35315.0","35.0","35308.0","3385.0","","","","","","","","","","","",""
"35322.0","36.0","35315.0","3117.0","","","","","","","","","","","",""
"35329.0","37.0","35322.0","2768.0","","","","","","","","","","","",""
"35336.0","38.0","35329.0","3275.0","","","","","","","","","","","",""
"35343.0","39.0","35336.0","5888.0","","","","","","","","","","","",""
"35350.0","40.0","35343.0","3862.0","","","","","","","","","","","",""
"35357.0","41.0","35350.0","3618.0","","","","","","","","","","","",""
"35364.0","42.0","35357.0","4018.0","","","","","","","","","","","",""
"35371.0","43.0","35364.0","5048.0","","","","","","","","","","","",""
"35378.0","44.0","35371.0","4230.0","","","","","","","","","","","",""
"35385.0","45.0","35378.0","4449.0","","","","","","","","","","","",""
"35392.0","46.0","35385.0","5308.0","","","","","","","","","","","",""
"35399.0","47.0","35392.0","6993.0","","","","","","","","","","","",""
"35406.0","48.0","35399.0","6839.0","","","","","","","","","","","",""
"35413.0","49.0","35406.0","5082.0","","","","","","","","","","","",""
"35420.0","50.0","35413.0","6268.0","","","","","","","","","","","",""
"35427.0","51.0","35420.0","8233.0","","","","","","","","","","","",""
