"Report date","Week #","Week ","PA","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19"
"32886.0","1.0","32879.0","39416.0","","Week 1","20777.0","20313.0","30607.0","363000.0","","1.0","20777.0","20313.0","30607.0","363000.0"
"32893.0","2.0","32886.0","25197.0","","Week 2","18733.0","19045.0","45239.0","374056.0","","2.0","39510.0","39358.0","75846.0","737056.0"
"32900.0","3.0","32893.0","23671.0","","Week 3","18981.0","23938.0","38266.0","239077.0","","3.0","58491.0","63296.0","114112.0","976133.0"
"32907.0","4.0","32900.0","23586.0","","Week 4","18553.0","20825.0","39245.0","172733.0","","4.0","77044.0","84121.0","153357.0","1148866.0"
"32914.0","5.0","32907.0","23005.0","","Week 5","16754.0","23186.0","27285.0","124633.0","","5.0","93798.0","107307.0","180642.0","1273499.0"
"32921.0","6.0","32914.0","20644.0","","Week 6","19571.0","20197.0","25913.0","82414.0","","6.0","113369.0","127504.0","206555.0","1355913.0"
"32928.0","7.0","32921.0","19495.0","","Week 7","19886.0","21024.0","28300.0","58240.0","","7.0","133255.0","148528.0","234855.0","1414153.0"
"32935.0","8.0","32928.0","21361.0","","Week 8","19344.0","20377.0","26692.0","50299.0","","8.0","152599.0","168905.0","261547.0","1464452.0"
"32942.0","9.0","32935.0","21422.0","","Week 9","18164.0","19666.0","24553.0","41673.0","","9.0","170763.0","188571.0","286100.0","1506125.0"
"32949.0","10.0","32942.0","19130.0","","Week 10","17621.0","20613.0","23435.0","55374.0","","10.0","188384.0","209184.0","309535.0","1561499.0"
"32956.0","11.0","32949.0","18354.0","","Week 11","17718.0","21447.0","23164.0","42266.0","","11.0","206102.0","230631.0","332699.0","1603765.0"
"32963.0","12.0","32956.0","18160.0","","Week 12","20902.0","25271.0","22918.0","45049.0","","12.0","227004.0","255902.0","355617.0","1648814.0"
"32970.0","13.0","32963.0","24482.0","","Week 13","22173.0","24908.0","22382.0","44341.0","","13.0","249177.0","280810.0","377999.0","1693155.0"
"32977.0","14.0","32970.0","21073.0","","Week 14","21069.0","25119.0","25286.0","42577.0","","14.0","270246.0","305929.0","403285.0","1735732.0"
"32984.0","15.0","32977.0","18675.0","","Week 15","22426.0","20645.0","22773.0","45261.0","","15.0","292672.0","326574.0","426058.0","1780993.0"
"32991.0","16.0","32984.0","17485.0","","Week 16","23847.0","30051.0","23000.0","44086.0","","16.0","316519.0","356625.0","449058.0","1825079.0"
