"Report date","Week #","Week ","HI","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19"
"33236.0","51.0","33229.0","1423.0","","Week 51","","","2809.0","","","51.0","","","86276.0",""
"33243.0","52.0","33236.0","1414.0","","Week 52","","","2545.0","","","52.0","","","88821.0",""
"33250.0","1.0","33243.0","1688.0","","Week 53","","","2624.0","","","53.0","","","91445.0",""
"33257.0","2.0","33250.0","1146.0","","Week 54","","","2145.0","","","54.0","","","93590.0",""
"33264.0","3.0","33257.0","1189.0","","Week 55","","","2225.0","","","55.0","","","95815.0",""
"33271.0","4.0","33264.0","1489.0","","Week 56","","","3211.0","","","56.0","","","99026.0",""
"33278.0","5.0","33271.0","1713.0","","Week 57","","","2497.0","","","57.0","","","101523.0",""
"33285.0","6.0","33278.0","1499.0","","Week 58","","","2442.0","","","58.0","","","103965.0",""
"33292.0","7.0","33285.0","1462.0","","Week 59","","","2595.0","","","59.0","","","106560.0",""
"33299.0","8.0","33292.0","1501.0","","Week 60","","","2687.0","","","60.0","","","109247.0",""
"33306.0","9.0","33299.0","1632.0","","Week 61","","","2441.0","","","61.0","","","111688.0",""
"33313.0","10.0","33306.0","1446.0","","Week 62","","","2053.0","","","62.0","","","113741.0",""
"33320.0","11.0","33313.0","1796.0","","Week 63","","","2391.0","","","63.0","","","116132.0",""
"33327.0","12.0","33320.0","1453.0","","Week 64","","","2648.0","","","64.0","","","118780.0",""
"33334.0","13.0","33327.0","1554.0","","Week 65","","","2548.0","","","65.0","","","121328.0",""
"33341.0","14.0","33334.0","1539.0","","Week 66","","","2793.0","","","66.0","","","124121.0",""
"33348.0","15.0","33341.0","1254.0","","Week 67","","","2239.0","","","67.0","","","126360.0",""
"33355.0","16.0","33348.0","1060.0","","Week 68","","","2536.0","","","68.0","","","128896.0",""
"33362.0","17.0","33355.0","1090.0","","Week 69","","","2389.0","","","69.0","","","131285.0",""
"33369.0","18.0","33362.0","1060.0","","Week 70","","","2720.0","","","70.0","","","134005.0",""
"33376.0","19.0","33369.0","1109.0","","Week 71","","","2496.0","","","71.0","","","136501.0",""
"33383.0","20.0","33376.0","1038.0","","Week 72","","","2617.0","","","72.0","","","139118.0",""
"33390.0","21.0","33383.0","967.0","","Week 73","","","2585.0","","","73.0","","","141703.0",""
"33397.0","22.0","33390.0","1214.0","","Week 74","","","2707.0","","","74.0","","","144410.0",""
"33404.0","23.0","33397.0","1307.0","","Week 75","","","2389.0","","","75.0","","","146799.0",""
"33411.0","24.0","33404.0","1231.0","","Week 76","","","2337.0","","","76.0","","","149136.0",""
"33418.0","25.0","33411.0","1039.0","","Week 77","","","3006.0","","","77.0","","","152142.0",""
"33425.0","26.0","33418.0","1129.0","","Week 78","","","2490.0","","","78.0","","","154632.0",""
"33432.0","27.0","33425.0","1437.0","","Week 79","","","2807.0","","","79.0","","","157439.0",""
"33439.0","28.0","33432.0","1126.0","","Week 80","","","2555.0","","","80.0","","","159994.0",""
