"Report date","Week #","Week ","CO","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19"
"32886.0","1.0","32879.0","4493.0","","Week 1","2250.0","2117.0","3022.0","19774.0","","1.0","2250.0","2117.0","3022.0","19774.0"
"32893.0","2.0","32886.0","3153.0","","Week 2","2002.0","2599.0","2266.0","61838.0","","2.0","4252.0","4716.0","5288.0","81612.0"
"32900.0","3.0","32893.0","3730.0","","Week 3","2026.0","3449.0","3258.0","46326.0","","3.0","6278.0","8165.0","8546.0","127938.0"
"32907.0","4.0","32900.0","3117.0","","Week 4","1970.0","2926.0","4013.0","104572.0","","4.0","8248.0","11091.0","12559.0","232510.0"
"32914.0","5.0","32907.0","3094.0","","Week 5","1822.0","3142.0","3282.0","67639.0","","5.0","10070.0","14233.0","15841.0","300149.0"
"32921.0","6.0","32914.0","3098.0","","Week 6","2017.0","3005.0","2412.0","38662.0","","6.0","12087.0","17238.0","18253.0","338811.0"
"32928.0","7.0","32921.0","2453.0","","Week 7","2035.0","3051.0","3404.0","28360.0","","7.0","14122.0","20289.0","21657.0","367171.0"
"32935.0","8.0","32928.0","2971.0","","Week 8","2073.0","2647.0","2998.0","22732.0","","8.0","16195.0","22936.0","24655.0","389903.0"
"32942.0","9.0","32935.0","2989.0","","Week 9","2207.0","2576.0","2823.0","18054.0","","9.0","18402.0","25512.0","27478.0","407957.0"
"32949.0","10.0","32942.0","2552.0","","Week 10","1909.0","2578.0","2423.0","15719.0","","10.0","20311.0","28090.0","29901.0","423676.0"
"32956.0","11.0","32949.0","2554.0","","Week 11","1956.0","2470.0","2313.0","12519.0","","11.0","22267.0","30560.0","32214.0","436195.0"
"32963.0","12.0","32956.0","2173.0","","Week 12","2687.0","2743.0","2699.0","13098.0","","12.0","24954.0","33303.0","34913.0","449293.0"
"32970.0","13.0","32963.0","3096.0","","Week 13","2418.0","2263.0","2332.0","10382.0","","13.0","27372.0","35566.0","37245.0","459675.0"
"32977.0","14.0","32970.0","2835.0","","Week 14","2548.0","1993.0","2150.0","10013.0","","14.0","29920.0","37559.0","39395.0","469688.0"
"32984.0","15.0","32977.0","3146.0","","Week 15","2426.0","3018.0","1946.0","8646.0","","15.0","32346.0","40577.0","41341.0","478334.0"
"32991.0","16.0","32984.0","2590.0","","Week 16","2868.0","3420.0","2772.0","7928.0","","16.0","35214.0","43997.0","44113.0","486262.0"
"32998.0","17.0","32991.0","2878.0","","Week 17","3691.0","3051.0","3095.0","10554.0","","17.0","38905.0","47048.0","47208.0","496816.0"
"33005.0","18.0","32998.0","2431.0","","Week 18","2356.0","3144.0","2692.0","8531.0","","18.0","41261.0","50192.0","49900.0","505347.0"
"33012.0","19.0","33005.0","2203.0","","Week 19","2708.0","2604.0","2327.0","8037.0","","19.0","43969.0","52796.0","52227.0","513384.0"
"33019.0","20.0","33012.0","2395.0","","Week 20","3006.0","1944.0","2385.0","7167.0","","20.0","46975.0","54740.0","54612.0","520551.0"
"33026.0","21.0","33019.0","2091.0","","Week 21","3243.0","3146.0","2269.0","6231.0","","21.0","50218.0","57886.0","56881.0","526782.0"
"33033.0","22.0","33026.0","2491.0","","Week 22","3182.0","2733.0","2343.0","6971.0","","22.0","53400.0","60619.0","59224.0","533753.0"
"33040.0","23.0","33033.0","2165.0","","Week 23","5104.0","2771.0","2442.0","6483.0","","23.0","58504.0","63390.0","61666.0","540236.0"
"33047.0","24.0","33040.0","1986.0","","Week 24","4296.0","2816.0","2115.0","5863.0","","24.0","62800.0","66206.0","63781.0","546099.0"
"33054.0","25.0","33047.0","2023.0","","Week 25","3333.0","2749.0","2513.0","6031.0","","25.0","66133.0","68955.0","66294.0","552130.0"
"33061.0","26.0","33054.0","2352.0","","Week 26","4942.0","2570.0","2224.0","5171.0","","26.0","71075.0","71525.0","68518.0","557301.0"
"33068.0","27.0","33061.0","2347.0","","Week 27","4170.0","3230.0","2183.0","5115.0","","27.0","75245.0","74755.0","70701.0","562416.0"
"33075.0","28.0","33068.0","2250.0","","Week 28","3887.0","3349.0","2120.0","4862.0","","28.0","79132.0","78104.0","72821.0","567278.0"
"33082.0","29.0","33075.0","2002.0","","Week 29","4251.0","4894.0","2358.0","5919.0","","29.0","83383.0","82998.0","75179.0","573197.0"
"33089.0","30.0","33082.0","2026.0","","Week 30","3656.0","4176.0","2954.0","6406.0","","30.0","87039.0","87174.0","78133.0","579603.0"
"33096.0","31.0","33089.0","1970.0","","Week 31","3274.0","5259.0","2367.0","5759.0","","31.0","90313.0","92433.0","80500.0","585362.0"
"33103.0","32.0","33096.0","1822.0","","Week 32","2848.0","4105.0","2289.0","6222.0","","32.0","93161.0","96538.0","82789.0","591584.0"
"33110.0","33.0","33103.0","2017.0","","Week 33","3180.0","4494.0","2505.0","","","33.0","96341.0","101032.0","85294.0",""
"33117.0","34.0","33110.0","2035.0","","Week 34","3092.0","4422.0","3031.0","","","34.0","99433.0","105454.0","88325.0",""
"33124.0","35.0","33117.0","2073.0","","Week 35","2704.0","3342.0","2704.0","","","35.0","102137.0","108796.0","91029.0",""
"33131.0","36.0","33124.0","2207.0","","Week 36","2801.0","3819.0","2638.0","","","36.0","104938.0","112615.0","93667.0",""
