"Report date","Week #","Week ","MD","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19"
"32886.0","1.0","32879.0","7374.0","","Week 1","3894.0","3640.0","5644.0","42982.0","","1.0","3894.0","3640.0","5644.0","42982.0"
"32893.0","2.0","32886.0","5111.0","","Week 2","4388.0","4473.0","8147.0","85377.0","","2.0","8282.0","8113.0","13791.0","128359.0"
"32900.0","3.0","32893.0","4660.0","","Week 3","4464.0","4819.0","5291.0","109653.0","","3.0","12746.0","12932.0","19082.0","238012.0"
"32907.0","4.0","32900.0","7131.0","","Week 4","3951.0","4035.0","7452.0","63235.0","","4.0","16697.0","16967.0","26534.0","301247.0"
"32914.0","5.0","32907.0","5124.0","","Week 5","3693.0","3706.0","5390.0","48570.0","","5.0","20390.0","20673.0","31924.0","349817.0"
"32921.0","6.0","32914.0","3762.0","","Week 6","4334.0","3849.0","5894.0","37995.0","","6.0","24724.0","24522.0","37818.0","387812.0"
"32928.0","7.0","32921.0","3599.0","","Week 7","4048.0","4411.0","4844.0","63305.0","","7.0","28772.0","28933.0","42662.0","451117.0"
"32935.0","8.0","32928.0","4013.0","","Week 8","3270.0","4615.0","4737.0","45664.0","","8.0","32042.0","33548.0","47399.0","496781.0"
"32942.0","9.0","32935.0","3936.0","","Week 9","3563.0","3728.0","4572.0","35346.0","","9.0","35605.0","37276.0","51971.0","532127.0"
"32949.0","10.0","32942.0","3351.0","","Week 10","3973.0","4057.0","4115.0","34048.0","","10.0","39578.0","41333.0","56086.0","566175.0"
"32956.0","11.0","32949.0","3533.0","","Week 11","3846.0","3969.0","4343.0","31967.0","","11.0","43424.0","45302.0","60429.0","598142.0"
"32963.0","12.0","32956.0","3697.0","","Week 12","4458.0","4339.0","4697.0","41695.0","","12.0","47882.0","49641.0","65126.0","639837.0"
"32970.0","13.0","32963.0","4976.0","","Week 13","4270.0","4672.0","4163.0","23465.0","","13.0","52152.0","54313.0","69289.0","663302.0"
"32977.0","14.0","32970.0","3238.0","","Week 14","4793.0","4874.0","4740.0","32583.0","","14.0","56945.0","59187.0","74029.0","695885.0"
"32984.0","15.0","32977.0","3908.0","","Week 15","4177.0","3885.0","4406.0","22628.0","","15.0","61122.0","63072.0","78435.0","718513.0"
"32991.0","16.0","32984.0","2901.0","","Week 16","5300.0","7128.0","4477.0","33230.0","","16.0","66422.0","70200.0","82912.0","751743.0"
"32998.0","17.0","32991.0","3977.0","","Week 17","5206.0","4738.0","5263.0","19516.0","","17.0","71628.0","74938.0","88175.0","771259.0"
"33005.0","18.0","32998.0","3482.0","","Week 18","4139.0","4270.0","4268.0","17242.0","","18.0","75767.0","79208.0","92443.0","788501.0"
"33012.0","19.0","33005.0","3105.0","","Week 19","5671.0","4519.0","3676.0","13038.0","","19.0","81438.0","83727.0","96119.0","801539.0"
"33019.0","20.0","33012.0","3604.0","","Week 20","6229.0","4326.0","4097.0","10835.0","","20.0","87667.0","88053.0","100216.0","812374.0"
"33026.0","21.0","33019.0","3471.0","","Week 21","6871.0","4079.0","4054.0","8892.0","","21.0","94538.0","92132.0","104270.0","821266.0"
"33033.0","22.0","33026.0","3953.0","","Week 22","8946.0","3629.0","4252.0","8301.0","","22.0","103484.0","95761.0","108522.0","829567.0"
"33040.0","23.0","33033.0","4128.0","","Week 23","7833.0","3503.0","4310.0","","","23.0","111317.0","99264.0","112832.0",""
"33047.0","24.0","33040.0","4150.0","","Week 24","10366.0","3677.0","3734.0","","","24.0","121683.0","102941.0","116566.0",""
"33054.0","25.0","33047.0","3992.0","","Week 25","8727.0","3594.0","4641.0","","","25.0","130410.0","106535.0","121207.0",""
"33061.0","26.0","33054.0","6001.0","","Week 26","11377.0","3684.0","5866.0","","","26.0","141787.0","110219.0","127073.0",""
"33068.0","27.0","33061.0","4595.0","","Week 27","8762.0","4876.0","6049.0","","","27.0","150549.0","115095.0","133122.0",""
"33075.0","28.0","33068.0","3894.0","","Week 28","8660.0","4554.0","4529.0","","","28.0","159209.0","119649.0","137651.0",""
"33082.0","29.0","33075.0","4388.0","","Week 29","10371.0","6265.0","4843.0","","","29.0","169580.0","125914.0","142494.0",""
"33089.0","30.0","33082.0","4464.0","","Week 30","7644.0","5428.0","5867.0","","","30.0","177224.0","131342.0","148361.0",""
"33096.0","31.0","33089.0","3951.0","","Week 31","7987.0","5270.0","4619.0","","","31.0","185211.0","136612.0","152980.0",""
"33103.0","32.0","33096.0","3693.0","","Week 32","7949.0","4866.0","4575.0","","","32.0","193160.0","141478.0","157555.0",""
"33110.0","33.0","33103.0","4334.0","","Week 33","6386.0","5725.0","5550.0","","","33.0","199546.0","147203.0","163105.0",""
"33117.0","34.0","33110.0","4048.0","","Week 34","5981.0","5520.0","5223.0","","","34.0","205527.0","152723.0","168328.0",""
"33124.0","35.0","33117.0","3270.0","","Week 35","5834.0","4821.0","4831.0","","","35.0","211361.0","157544.0","173159.0",""
"33131.0","36.0","33124.0","3563.0","","Week 36","8163.0","4788.0","4664.0","","","36.0","219524.0","162332.0","177823.0",""
"33138.0","37.0","33131.0","3973.0","","Week 37","4801.0","6389.0","4504.0","","","37.0","224325.0","168721.0","182327.0",""
"33145.0","38.0","33138.0","3846.0","","Week 38","5315.0","","4696.0","","","38.0","229640.0","","187023.0",""
"33152.0","39.0","33145.0","4458.0","","Week 39","","","4925.0","","","39.0","","","191948.0",""
"33159.0","40.0","33152.0","4270.0","","Week 40","","","4768.0","","","40.0","","","196716.0",""
"33166.0","41.0","33159.0","4793.0","","Week 41","","","4923.0","","","41.0","","","201639.0",""
"33173.0","42.0","33166.0","4177.0","","Week 42","","","5755.0","","","42.0","","","207394.0",""
"33180.0","43.0","33173.0","5300.0","","Week 43","","","6594.0","","","43.0","","","213988.0",""
"33187.0","44.0","33180.0","5206.0","","Week 44","","","6001.0","","","44.0","","","219989.0",""
"33194.0","45.0","33187.0","4139.0","","Week 45","","","6542.0","","","45.0","","","226531.0",""
"33201.0","46.0","33194.0","5671.0","","Week 46","","","6648.0","","","46.0","","","233179.0",""
"33208.0","47.0","33201.0","6229.0","","Week 47","","","7324.0","","","47.0","","","240503.0",""
"33215.0","48.0","33208.0","6871.0","","Week 48","","","7396.0","","","48.0","","","247899.0",""
"33222.0","49.0","33215.0","8946.0","","Week 49","","","7957.0","","","49.0","","","255856.0",""
"33229.0","50.0","33222.0","7833.0","","Week 50","","","6341.0","","","50.0","","","262197.0",""
