"Report date","Week #","Week ","LA","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19"
"32886.0","1.0","32879.0","8440.0","","Week 1","4162.0","2912.0","2738.0","72438.0","","1.0","4162.0","2912.0","2738.0","72438.0"
"32893.0","2.0","32886.0","4857.0","","Week 2","3926.0","2756.0","2077.0","97400.0","","2.0","8088.0","5668.0","4815.0","169838.0"
"32900.0","3.0","32893.0","4873.0","","Week 3","3984.0","3668.0","2178.0","100621.0","","3.0","12072.0","9336.0","6993.0","270459.0"
"32907.0","4.0","32900.0","4624.0","","Week 4","3626.0","2865.0","3380.0","79653.0","","4.0","15698.0","12201.0","10373.0","350112.0"
"32914.0","5.0","32907.0","6838.0","","Week 5","5296.0","3293.0","4359.0","91923.0","","5.0","20994.0","15494.0","14732.0","442035.0"
"32921.0","6.0","32914.0","4031.0","","Week 6","3732.0","2923.0","2694.0","66141.0","","6.0","24726.0","18417.0","17426.0","508176.0"
"32928.0","7.0","32921.0","4301.0","","Week 7","3240.0","3004.0","2613.0","50941.0","","7.0","27966.0","21421.0","20039.0","559117.0"
"32935.0","8.0","32928.0","3277.0","","Week 8","3176.0","3004.0","2283.0","40125.0","","8.0","31142.0","24425.0","22322.0","599242.0"
"32942.0","9.0","32935.0","3884.0","","Week 9","3167.0","3322.0","2455.0","28545.0","","9.0","34309.0","27747.0","24777.0","627787.0"
"32949.0","10.0","32942.0","3580.0","","Week 10","2998.0","3457.0","4306.0","23961.0","","10.0","37307.0","31204.0","29083.0","651748.0"
"32956.0","11.0","32949.0","3383.0","","Week 11","2963.0","3412.0","2475.0","19334.0","","11.0","40270.0","34616.0","31558.0","671082.0"
"32963.0","12.0","32956.0","3260.0","","Week 12","2980.0","4958.0","2376.0","21879.0","","12.0","43250.0","39574.0","33934.0","692961.0"
"32970.0","13.0","32963.0","5246.0","","Week 13","4442.0","3727.0","2337.0","23122.0","","13.0","47692.0","43301.0","36271.0","716083.0"
"32977.0","14.0","32970.0","4310.0","","Week 14","3548.0","3327.0","1862.0","19524.0","","14.0","51240.0","46628.0","38133.0","735607.0"
"32984.0","15.0","32977.0","3052.0","","Week 15","4192.0","3523.0","2441.0","21976.0","","15.0","55432.0","50151.0","40574.0","757583.0"
"32991.0","16.0","32984.0","3539.0","","Week 16","6583.0","3872.0","2365.0","31417.0","","16.0","62015.0","54023.0","42939.0","789000.0"
"32998.0","17.0","32991.0","3496.0","","Week 17","4172.0","3735.0","2779.0","26351.0","","17.0","66187.0","57758.0","45718.0","815351.0"
"33005.0","18.0","32998.0","3632.0","","Week 18","4395.0","3445.0","2764.0","32079.0","","18.0","70582.0","61203.0","48482.0","847430.0"
"33012.0","19.0","33005.0","4242.0","","Week 19","7657.0","3151.0","2581.0","18511.0","","19.0","78239.0","64354.0","51063.0","865941.0"
"33019.0","20.0","33012.0","4127.0","","Week 20","5393.0","3124.0","2458.0","13402.0","","20.0","83632.0","67478.0","53521.0","879343.0"
"33026.0","21.0","33019.0","3709.0","","Week 21","4852.0","2860.0","3947.0","11131.0","","21.0","88484.0","70338.0","57468.0","890474.0"
"33033.0","22.0","33026.0","4331.0","","Week 22","4290.0","2935.0","2614.0","14365.0","","22.0","92774.0","73273.0","60082.0","904839.0"
"33040.0","23.0","33033.0","3885.0","","Week 23","11174.0","3183.0","3223.0","12529.0","","23.0","103948.0","76456.0","63305.0","917368.0"
"33047.0","24.0","33040.0","3684.0","","Week 24","4482.0","2921.0","3322.0","16191.0","","24.0","108430.0","79377.0","66627.0","933559.0"
"33054.0","25.0","33047.0","3453.0","","Week 25","5134.0","3121.0","3904.0","24566.0","","25.0","113564.0","82498.0","70531.0","958125.0"
"33061.0","26.0","33054.0","5304.0","","Week 26","9170.0","2861.0","3177.0","15309.0","","26.0","122734.0","85359.0","73708.0","973434.0"
"33068.0","27.0","33061.0","4387.0","","Week 27","5820.0","3385.0","2952.0","","","27.0","128554.0","88744.0","76660.0",""
"33075.0","28.0","33068.0","4162.0","","Week 28","4762.0","3615.0","3088.0","","","28.0","133316.0","92359.0","79748.0",""
"33082.0","29.0","33075.0","3926.0","","Week 29","7418.0","3522.0","2845.0","","","29.0","140734.0","95881.0","82593.0",""
"33089.0","30.0","33082.0","3984.0","","Week 30","5243.0","4447.0","3731.0","","","30.0","145977.0","100328.0","86324.0",""
"33096.0","31.0","33089.0","3626.0","","Week 31","3854.0","4012.0","4943.0","","","31.0","149831.0","104340.0","91267.0",""
"33103.0","32.0","33096.0","5296.0","","Week 32","4624.0","3889.0","3765.0","","","32.0","154455.0","108229.0","95032.0",""
"33110.0","33.0","33103.0","3732.0","","Week 33","4269.0","3902.0","4103.0","","","33.0","158724.0","112131.0","99135.0",""
"33117.0","34.0","33110.0","3240.0","","Week 34","3906.0","4147.0","3265.0","","","34.0","162630.0","116278.0","102400.0",""
"33124.0","35.0","33117.0","3176.0","","Week 35","5671.0","3854.0","2252.0","","","35.0","168301.0","120132.0","104652.0",""
"33131.0","36.0","33124.0","3167.0","","Week 36","3355.0","3984.0","2785.0","","","36.0","171656.0","124116.0","107437.0",""
"33138.0","37.0","33131.0","2998.0","","Week 37","3621.0","4537.0","2933.0","","","37.0","175277.0","128653.0","110370.0",""
"33145.0","38.0","33138.0","2963.0","","Week 38","2941.0","","2808.0","","","38.0","178218.0","","113178.0",""
"33152.0","39.0","33145.0","2980.0","","Week 39","","","18409.0","","","39.0","","","131587.0",""
"33159.0","40.0","33152.0","4442.0","","Week 40","","","28080.0","","","40.0","","","159667.0",""
"33166.0","41.0","33159.0","3548.0","","Week 41","","","10264.0","","","41.0","","","169931.0",""
"33173.0","42.0","33166.0","4192.0","","Week 42","","","4803.0","","","42.0","","","174734.0",""
"33180.0","43.0","33173.0","6583.0","","Week 43","","","3975.0","","","43.0","","","178709.0",""
"33187.0","44.0","33180.0","4172.0","","Week 44","","","3181.0","","","44.0","","","181890.0",""
"33194.0","45.0","33187.0","4395.0","","Week 45","","","2963.0","","","45.0","","","184853.0",""
"33201.0","46.0","33194.0","7657.0","","Week 46","","","2796.0","","","46.0","","","187649.0",""
"33208.0","47.0","33201.0","5393.0","","Week 47","","","2705.0","","","47.0","","","190354.0",""
"33215.0","48.0","33208.0","4852.0","","Week 48","","","3333.0","","","48.0","","","193687.0",""
"33222.0","49.0","33215.0","4290.0","","Week 49","","","3373.0","","","49.0","","","197060.0",""
"33229.0","50.0","33222.0","11174.0","","Week 50","","","2282.0","","","50.0","","","199342.0",""
"33236.0","51.0","33229.0","4482.0","","Week 51","","","4115.0","","","51.0","","","203457.0",""
"33243.0","52.0","33236.0","5134.0","","Week 52","","","3831.0","","","52.0","","","207288.0",""
"33250.0","1.0","33243.0","9170.0","","Week 53","","","5976.0","","","53.0","","","213264.0",""
"33257.0","2.0","33250.0","5820.0","","Week 54","","","2358.0","","","54.0","","","215622.0",""
"33264.0","3.0","33257.0","4762.0","","Week 55","","","2888.0","","","55.0","","","218510.0",""
"33271.0","4.0","33264.0","7418.0","","Week 56","","","6825.0","","","56.0","","","225335.0",""
"33278.0","5.0","33271.0","5243.0","","Week 57","","","4527.0","","","57.0","","","229862.0",""
"33285.0","6.0","33278.0","3854.0","","Week 58","","","4179.0","","","58.0","","","234041.0",""
"33292.0","7.0","33285.0","4624.0","","Week 59","","","4591.0","","","59.0","","","238632.0",""
"33299.0","8.0","33292.0","4269.0","","Week 60","","","4338.0","","","60.0","","","242970.0",""
"33306.0","9.0","33299.0","3906.0","","Week 61","","","4053.0","","","61.0","","","247023.0",""
"33313.0","10.0","33306.0","5671.0","","Week 62","","","4154.0","","","62.0","","","251177.0",""
"33320.0","11.0","33313.0","3355.0","","Week 63","","","3497.0","","","63.0","","","254674.0",""
"33327.0","12.0","33320.0","3621.0","","Week 64","","","4533.0","","","64.0","","","259207.0",""
"33334.0","13.0","33327.0","2941.0","","Week 65","","","4526.0","","","65.0","","","263733.0",""
"33341.0","14.0","33334.0","5067.0","","Week 66","","","4414.0","","","66.0","","","268147.0",""
"33348.0","15.0","33341.0","4647.0","","Week 67","","","4563.0","","","67.0","","","272710.0",""
"33355.0","16.0","33348.0","4218.0","","Week 68","","","5910.0","","","68.0","","","278620.0",""
"33362.0","17.0","33355.0","4234.0","","Week 69","","","3981.0","","","69.0","","","282601.0",""
"33369.0","18.0","33362.0","4593.0","","Week 70","","","5448.0","","","70.0","","","288049.0",""
"33376.0","19.0","33369.0","4865.0","","Week 71","","","4478.0","","","71.0","","","292527.0",""
"33383.0","20.0","33376.0","5218.0","","Week 72","","","4240.0","","","72.0","","","296767.0",""
"33390.0","21.0","33383.0","4532.0","","Week 73","","","5531.0","","","73.0","","","302298.0",""
"33397.0","22.0","33390.0","5268.0","","Week 74","","","4458.0","","","74.0","","","306756.0",""
"33404.0","23.0","33397.0","4284.0","","Week 75","","","4944.0","","","75.0","","","311700.0",""
"33411.0","24.0","33404.0","4104.0","","Week 76","","","5753.0","","","76.0","","","317453.0",""
"33418.0","25.0","33411.0","3841.0","","Week 77","","","5978.0","","","77.0","","","323431.0",""
"33425.0","26.0","33418.0","3859.0","","Week 78","","","5139.0","","","78.0","","","328570.0",""
"33432.0","27.0","33425.0","5211.0","","Week 79","","","6113.0","","","79.0","","","334683.0",""
"33439.0","28.0","33432.0","4498.0","","Week 80","","","4655.0","","","80.0","","","339338.0",""
"33446.0","29.0","33439.0","6982.0","","Week 81","","","4157.0","","","81.0","","","343495.0",""
"33453.0","30.0","33446.0","4237.0","","","","","","","","","","","",""
"33460.0","31.0","33453.0","3945.0","","","","","","","","","","","",""
"33467.0","32.0","33460.0","3816.0","","","","","","","","","","","",""
"33474.0","33.0","33467.0","3875.0","","","","","","","","","","","",""
"33481.0","34.0","33474.0","3752.0","","","","","","","","","","","",""
"33488.0","35.0","33481.0","3837.0","","","","","","","","","","","",""
"33495.0","36.0","33488.0","3469.0","","","","","","","","","","","",""
"33502.0","37.0","33495.0","3325.0","","","","","","","","","","","",""
"33509.0","38.0","33502.0","3638.0","","","","","","","","","","","",""
"33516.0","39.0","33509.0","3756.0","","","","","","","","","","","",""
"33523.0","40.0","33516.0","4731.0","","","","","","","","","","","",""
"33530.0","41.0","33523.0","3888.0","","","","","","","","","","","",""
"33537.0","42.0","33530.0","3993.0","","","","","","","","","","","",""
"33544.0","43.0","33537.0","4539.0","","","","","","","","","","","",""
"33551.0","44.0","33544.0","4571.0","","","","","","","","","","","",""
"33558.0","45.0","33551.0","4715.0","","","","","","","","","","","",""
"33565.0","46.0","33558.0","5340.0","","","","","","","","","","","",""
"33572.0","47.0","33565.0","4374.0","","","","","","","","","","","",""
"33579.0","48.0","33572.0","5651.0","","","","","","","","","","","",""
"33586.0","49.0","33579.0","8324.0","","","","","","","","","","","",""
"33593.0","50.0","33586.0","7363.0","","","","","","","","","","","",""
"33600.0","51.0","33593.0","4432.0","","","","","","","","","","","",""
"33607.0","52.0","33600.0","4117.0","","","","","","","","","","","",""
"33614.0","1.0","33607.0","9480.0","","","","","","","","","","","",""
"33621.0","2.0","33614.0","8214.0","","","","","","","","","","","",""
"33628.0","3.0","33621.0","5772.0","","","","","","","","","","","",""
"33635.0","4.0","33628.0","7198.0","","","","","","","","","","","",""
"33642.0","5.0","33635.0","8537.0","","","","","","","","","","","",""
"33649.0","6.0","33642.0","5370.0","","","","","","","","","","","",""
"33656.0","7.0","33649.0","5128.0","","","","","","","","","","","",""
"33663.0","8.0","33656.0","5009.0","","","","","","","","","","","",""
"33670.0","9.0","33663.0","4542.0","","","","","","","","","","","",""
"33677.0","10.0","33670.0","4930.0","","","","","","","","","","","",""
"33684.0","11.0","33677.0","4751.0","","","","","","","","","","","",""
"33691.0","12.0","33684.0","4537.0","","","","","","","","","","","",""
"33698.0","13.0","33691.0","4589.0","","","","","","","","","","","",""
"33705.0","14.0","33698.0","8191.0","","","","","","","","","","","",""
"33712.0","15.0","33705.0","5458.0","","","","","","","","","","","",""
"33719.0","16.0","33712.0","5382.0","","","","","","","","","","","",""
"33726.0","17.0","33719.0","4543.0","","","","","","","","","","","",""
"33733.0","18.0","33726.0","4501.0","","","","","","","","","","","",""
"33740.0","19.0","33733.0","4614.0","","","","","","","","","","","",""
"33747.0","20.0","33740.0","4998.0","","","","","","","","","","","",""
"33754.0","21.0","33747.0","4477.0","","","","","","","","","","","",""
"33761.0","22.0","33754.0","6024.0","","","","","","","","","","","",""
"33768.0","23.0","33761.0","4986.0","","","","","","","","","","","",""
"33775.0","24.0","33768.0","4588.0","","","","","","","","","","","",""
"33782.0","25.0","33775.0","4239.0","","","","","","","","","","","",""
"33789.0","26.0","33782.0","4094.0","","","","","","","","","","","",""
"33796.0","27.0","33789.0","6833.0","","","","","","","","","","","",""
"33803.0","28.0","33796.0","5269.0","","","","","","","","","","","",""
"33810.0","29.0","33803.0","7027.0","","","","","","","","","","","",""
"33817.0","30.0","33810.0","4428.0","","","","","","","","","","","",""
"33824.0","31.0","33817.0","4535.0","","","","","","","","","","","",""
"33831.0","32.0","33824.0","4149.0","","","","","","","","","","","",""
"33838.0","33.0","33831.0","4370.0","","","","","","","","","","","",""
"33845.0","34.0","33838.0","4090.0","","","","","","","","","","","",""
"33852.0","35.0","33845.0","4013.0","","","","","","","","","","","",""
"33859.0","36.0","33852.0","5849.0","","","","","","","","","","","",""
"33866.0","37.0","33859.0","3738.0","","","","","","","","","","","",""
"33873.0","38.0","33866.0","3772.0","","","","","","","","","","","",""
"33880.0","39.0","33873.0","3504.0","","","","","","","","","","","",""
"33887.0","40.0","33880.0","4666.0","","","","","","","","","","","",""
"33894.0","41.0","33887.0","3615.0","","","","","","","","","","","",""
"33901.0","42.0","33894.0","3862.0","","","","","","","","","","","",""
"33908.0","43.0","33901.0","3809.0","","","","","","","","","","","",""
"33915.0","44.0","33908.0","4061.0","","","","","","","","","","","",""
"33922.0","45.0","33915.0","4018.0","","","","","","","","","","","",""
"33929.0","46.0","33922.0","4482.0","","","","","","","","","","","",""
"33936.0","47.0","33929.0","4052.0","","","","","","","","","","","",""
"33943.0","48.0","33936.0","3907.0","","","","","","","","","","","",""
"33950.0","49.0","33943.0","4242.0","","","","","","","","","","","",""
"33957.0","50.0","33950.0","4409.0","","","","","","","","","","","",""
"33964.0","51.0","33957.0","4289.0","","","","","","","","","","","",""
"33971.0","52.0","33964.0","3215.0","","","","","","","","","","","",""
"33978.0","1.0","33971.0","6537.0","","","","","","","","","","","",""
"33985.0","2.0","33978.0","5555.0","","","","","","","","","","","",""
"33992.0","3.0","33985.0","4014.0","","","","","","","","","","","",""
"33999.0","4.0","33992.0","4008.0","","","","","","","","","","","",""
"34006.0","5.0","33999.0","3916.0","","","","","","","","","","","",""
"34013.0","6.0","34006.0","3855.0","","","","","","","","","","","",""
"34020.0","7.0","34013.0","3743.0","","","","","","","","","","","",""
"34027.0","8.0","34020.0","3240.0","","","","","","","","","","","",""
"34034.0","9.0","34027.0","3765.0","","","","","","","","","","","",""
"34041.0","10.0","34034.0","3742.0","","","","","","","","","","","",""
"34048.0","11.0","34041.0","3723.0","","","","","","","","","","","",""
"34055.0","12.0","34048.0","3714.0","","","","","","","","","","","",""
"34062.0","13.0","34055.0","3506.0","","","","","","","","","","","",""
"34069.0","14.0","34062.0","4257.0","","","","","","","","","","","",""
"34076.0","15.0","34069.0","3909.0","","","","","","","","","","","",""
"34083.0","16.0","34076.0","3800.0","","","","","","","","","","","",""
