"Report date","Week #","Week ","WV","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19"
"32886.0","1.0","32879.0","4441.0","","Week 1","1633.0","1249.0","1614.0","3536.0","","1.0","1633.0","1249.0","1614.0","3536.0"
"32893.0","2.0","32886.0","3454.0","","Week 2","1742.0","1085.0","1207.0","14523.0","","2.0","3375.0","2334.0","2821.0","18059.0"
"32900.0","3.0","32893.0","2640.0","","Week 3","1513.0","1699.0","1487.0","14494.0","","3.0","4888.0","4033.0","4308.0","32553.0"
"32907.0","4.0","32900.0","2071.0","","Week 4","1474.0","1252.0","3529.0","14944.0","","4.0","6362.0","5285.0","7837.0","47497.0"
"32914.0","5.0","32907.0","1984.0","","Week 5","1451.0","1337.0","2609.0","46755.0","","5.0","7813.0","6622.0","10446.0","94252.0"
"32921.0","6.0","32914.0","1558.0","","Week 6","1839.0","1120.0","2084.0","29818.0","","6.0","9652.0","7742.0","12530.0","124070.0"
"32928.0","7.0","32921.0","1481.0","","Week 7","1378.0","1315.0","2224.0","13227.0","","7.0","11030.0","9057.0","14754.0","137297.0"
"32935.0","8.0","32928.0","1570.0","","Week 8","1401.0","1170.0","1614.0","6045.0","","8.0","12431.0","10227.0","16368.0","143342.0"
"32942.0","9.0","32935.0","1372.0","","Week 9","1427.0","1317.0","1382.0","5026.0","","9.0","13858.0","11544.0","17750.0","148368.0"
"32949.0","10.0","32942.0","1156.0","","Week 10","1311.0","1363.0","1336.0","4904.0","","10.0","15169.0","12907.0","19086.0","153272.0"
"32956.0","11.0","32949.0","1159.0","","Week 11","1262.0","1237.0","1486.0","4685.0","","11.0","16431.0","14144.0","20572.0","157957.0"
"32963.0","12.0","32956.0","1129.0","","Week 12","1252.0","1612.0","1431.0","4413.0","","12.0","17683.0","15756.0","22003.0","162370.0"
"32970.0","13.0","32963.0","1952.0","","Week 13","2035.0","1396.0","1129.0","4327.0","","13.0","19718.0","17152.0","23132.0","166697.0"
"32977.0","14.0","32970.0","1556.0","","Week 14","2189.0","1366.0","1344.0","3756.0","","14.0","21907.0","18518.0","24476.0","170453.0"
"32984.0","15.0","32977.0","1486.0","","Week 15","2005.0","1037.0","1070.0","3532.0","","15.0","23912.0","19555.0","25546.0","173985.0"
"32991.0","16.0","32984.0","1298.0","","Week 16","1847.0","1866.0","896.0","3330.0","","16.0","25759.0","21421.0","26442.0","177315.0"
"32998.0","17.0","32991.0","1218.0","","Week 17","2553.0","1608.0","1414.0","4070.0","","17.0","28312.0","23029.0","27856.0","181385.0"
"33005.0","18.0","32998.0","1110.0","","Week 18","2634.0","1518.0","1094.0","3758.0","","18.0","30946.0","24547.0","28950.0","185143.0"
"33012.0","19.0","33005.0","1426.0","","Week 19","1502.0","1575.0","1097.0","3123.0","","19.0","32448.0","26122.0","30047.0","188266.0"
"33019.0","20.0","33012.0","1364.0","","Week 20","2302.0","1322.0","1189.0","2506.0","","20.0","34750.0","27444.0","31236.0","190772.0"
"33026.0","21.0","33019.0","1605.0","","Week 21","2733.0","1251.0","1058.0","1981.0","","21.0","37483.0","28695.0","32294.0","192753.0"
"33033.0","22.0","33026.0","1431.0","","Week 22","2706.0","1068.0","1066.0","2414.0","","22.0","40189.0","29763.0","33360.0","195167.0"
"33040.0","23.0","33033.0","1269.0","","Week 23","2461.0","1159.0","1305.0","2082.0","","23.0","42650.0","30922.0","34665.0","197249.0"
"33047.0","24.0","33040.0","1152.0","","Week 24","1539.0","1114.0","1102.0","2026.0","","24.0","44189.0","32036.0","35767.0","199275.0"
