"Report date","Week #","Week ","NC","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19"
"32886.0","1.0","32879.0","53504.0","","Week 1","27512.0","20282.0","11084.0","94083.0","","1.0","27512.0","20282.0","11084.0","94083.0"
"32893.0","2.0","32886.0","26391.0","","Week 2","17783.0","20572.0","12795.0","172145.0","","2.0","45295.0","40854.0","23879.0","266228.0"
"32900.0","3.0","32893.0","17042.0","","Week 3","10855.0","25639.0","34125.0","137422.0","","3.0","56150.0","66493.0","58004.0","403650.0"
"32907.0","4.0","32900.0","16516.0","","Week 4","15708.0","15305.0","29214.0","140155.0","","4.0","71858.0","81798.0","87218.0","543805.0"
"32914.0","5.0","32907.0","17603.0","","Week 5","14980.0","20847.0","13813.0","106266.0","","5.0","86838.0","102645.0","101031.0","650071.0"
"32921.0","6.0","32914.0","14681.0","","Week 6","11837.0","29867.0","14528.0","98941.0","","6.0","98675.0","132512.0","115559.0","749012.0"
"32928.0","7.0","32921.0","14826.0","","Week 7","12917.0","17602.0","15128.0","85956.0","","7.0","111592.0","150114.0","130687.0","834968.0"
"32935.0","8.0","32928.0","16030.0","","Week 8","1616.0","18092.0","13382.0","57354.0","","8.0","113208.0","168206.0","144069.0","892322.0"
"32942.0","9.0","32935.0","15781.0","","Week 9","19518.0","20037.0","14583.0","46913.0","","9.0","132726.0","188243.0","158652.0","939235.0"
"32949.0","10.0","32942.0","16272.0","","Week 10","14257.0","21735.0","12754.0","44202.0","","10.0","146983.0","209978.0","171406.0","983437.0"
"32956.0","11.0","32949.0","13615.0","","Week 11","12308.0","19922.0","13544.0","36400.0","","11.0","159291.0","229900.0","184950.0","1019837.0"
"32963.0","12.0","32956.0","12782.0","","Week 12","16546.0","29472.0","12948.0","","","12.0","175837.0","259372.0","197898.0",""
"32970.0","13.0","32963.0","15425.0","","Week 13","15153.0","17045.0","15534.0","","","13.0","190990.0","276417.0","213432.0",""
"32977.0","14.0","32970.0","11257.0","","Week 14","24032.0","16533.0","9950.0","","","14.0","215022.0","292950.0","223382.0",""
"32984.0","15.0","32977.0","15836.0","","Week 15","17947.0","18156.0","12378.0","","","15.0","232969.0","311106.0","235760.0",""
"32991.0","16.0","32984.0","15870.0","","Week 16","23852.0","26413.0","14289.0","","","16.0","256821.0","337519.0","250049.0",""
"32998.0","17.0","32991.0","11761.0","","Week 17","26776.0","46294.0","16704.0","","","17.0","283597.0","383813.0","266753.0",""
"33005.0","18.0","32998.0","15429.0","","Week 18","19867.0","28396.0","12000.0","","","18.0","303464.0","412209.0","278753.0",""
"33012.0","19.0","33005.0","11469.0","","Week 19","11549.0","15135.0","12210.0","","","19.0","315013.0","427344.0","290963.0",""
"33019.0","20.0","33012.0","12446.0","","Week 20","50744.0","18003.0","12083.0","","","20.0","365757.0","445347.0","303046.0",""
"33026.0","21.0","33019.0","9409.0","","Week 21","32435.0","17237.0","15427.0","","","21.0","398192.0","462584.0","318473.0",""
"33033.0","22.0","33026.0","19000.0","","Week 22","25350.0","17503.0","12817.0","","","22.0","423542.0","480087.0","331290.0",""
"33040.0","23.0","33033.0","13692.0","","Week 23","22554.0","16910.0","11789.0","","","23.0","446096.0","496997.0","343079.0",""
"33047.0","24.0","33040.0","10647.0","","Week 24","30266.0","15034.0","11282.0","","","24.0","476362.0","512031.0","354361.0",""
"33054.0","25.0","33047.0","9885.0","","Week 25","57913.0","16892.0","13945.0","","","25.0","534275.0","528923.0","368306.0",""
"33061.0","26.0","33054.0","20809.0","","Week 26","86151.0","24253.0","13413.0","","","26.0","620426.0","553176.0","381719.0",""
"33068.0","27.0","33061.0","27558.0","","Week 27","49468.0","14322.0","12004.0","","","27.0","669894.0","567498.0","393723.0",""
"33075.0","28.0","33068.0","27512.0","","Week 28","27706.0","18994.0","12058.0","","","28.0","697600.0","586492.0","405781.0",""
"33082.0","29.0","33075.0","17783.0","","Week 29","28953.0","22267.0","11367.0","","","29.0","726553.0","608759.0","417148.0",""
"33089.0","30.0","33082.0","10855.0","","Week 30","31752.0","19141.0","20711.0","","","30.0","758305.0","627900.0","437859.0",""
"33096.0","31.0","33089.0","15708.0","","Week 31","27094.0","17226.0","19094.0","","","31.0","785399.0","645126.0","456953.0",""
"33103.0","32.0","33096.0","14980.0","","Week 32","25131.0","20483.0","14679.0","","","32.0","810530.0","665609.0","471632.0",""
"33110.0","33.0","33103.0","11837.0","","Week 33","29213.0","23042.0","12381.0","","","33.0","839743.0","688651.0","484013.0",""
"33117.0","34.0","33110.0","12917.0","","Week 34","25313.0","26239.0","13496.0","","","34.0","865056.0","714890.0","497509.0",""
"33124.0","35.0","33117.0","1616.0","","Week 35","27985.0","18090.0","13842.0","","","35.0","893041.0","732980.0","511351.0",""
"33131.0","36.0","33124.0","19518.0","","Week 36","25654.0","15308.0","12291.0","","","36.0","918695.0","748288.0","523642.0",""
"33138.0","37.0","33131.0","14257.0","","Week 37","16049.0","51748.0","14679.0","","","37.0","934744.0","800036.0","538321.0",""
"33145.0","38.0","33138.0","12308.0","","Week 38","30140.0","","15913.0","","","38.0","964884.0","","554234.0",""
"33152.0","39.0","33145.0","16546.0","","Week 39","","","15434.0","","","39.0","","","569668.0",""
"33159.0","40.0","33152.0","15153.0","","Week 40","","","12817.0","","","40.0","","","582485.0",""
"33166.0","41.0","33159.0","24032.0","","Week 41","","","13283.0","","","41.0","","","595768.0",""
"33173.0","42.0","33166.0","17947.0","","Week 42","","","14216.0","","","42.0","","","609984.0",""
"33180.0","43.0","33173.0","23852.0","","Week 43","","","16250.0","","","43.0","","","626234.0",""
"33187.0","44.0","33180.0","26776.0","","Week 44","","","14688.0","","","44.0","","","640922.0",""
"33194.0","45.0","33187.0","19867.0","","Week 45","","","17867.0","","","45.0","","","658789.0",""
"33201.0","46.0","33194.0","11549.0","","Week 46","","","17722.0","","","46.0","","","676511.0",""
"33208.0","47.0","33201.0","50744.0","","Week 47","","","24175.0","","","47.0","","","700686.0",""
"33215.0","48.0","33208.0","32435.0","","Week 48","","","19663.0","","","48.0","","","720349.0",""
"33222.0","49.0","33215.0","25350.0","","Week 49","","","20233.0","","","49.0","","","740582.0",""
"33229.0","50.0","33222.0","22554.0","","Week 50","","","17677.0","","","50.0","","","758259.0",""
"33236.0","51.0","33229.0","30266.0","","Week 51","","","44273.0","","","51.0","","","802532.0",""
"33243.0","52.0","33236.0","57913.0","","Week 52","","","23747.0","","","52.0","","","826279.0",""
"33250.0","1.0","33243.0","86151.0","","Week 53","","","23142.0","","","53.0","","","849421.0",""
"33257.0","2.0","33250.0","49468.0","","Week 54","","","21261.0","","","54.0","","","870682.0",""
"33264.0","3.0","33257.0","27706.0","","Week 55","","","41010.0","","","55.0","","","911692.0",""
"33271.0","4.0","33264.0","28953.0","","Week 56","","","56647.0","","","56.0","","","968339.0",""
