"Report date","Week #","Week ","CA","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19"
"32886.0","1.0","32879.0","68101.0","","Week 1","57151.0","49170.0","56753.0","186333.0","","1.0","57151.0","49170.0","56753.0","186333.0"
"32893.0","2.0","32886.0","63169.0","","Week 2","58494.0","49771.0","42300.0","1058325.0","","2.0","115645.0","98941.0","99053.0","1244658.0"
"32900.0","3.0","32893.0","62371.0","","Week 3","57486.0","52779.0","44124.0","918814.0","","3.0","173131.0","151720.0","143177.0","2163472.0"
"32907.0","4.0","32900.0","62079.0","","Week 4","59786.0","51384.0","71318.0","655472.0","","4.0","232917.0","203104.0","214495.0","2818944.0"
"32914.0","5.0","32907.0","69000.0","","Week 5","51504.0","50354.0","56986.0","528360.0","","5.0","284421.0","253458.0","271481.0","3347304.0"
"32921.0","6.0","32914.0","56319.0","","Week 6","55914.0","48793.0","57219.0","325343.0","","6.0","340335.0","302251.0","328700.0","3672647.0"
"32928.0","7.0","32921.0","55476.0","","Week 7","52818.0","55732.0","54370.0","316257.0","","7.0","393153.0","357983.0","383070.0","3988904.0"
"32935.0","8.0","32928.0","58622.0","","Week 8","49842.0","55660.0","62227.0","212667.0","","8.0","442995.0","413643.0","445297.0","4201571.0"
"32942.0","9.0","32935.0","61882.0","","Week 9","59733.0","52091.0","46200.0","244431.0","","9.0","502728.0","465734.0","491497.0","4446002.0"
"32949.0","10.0","32942.0","56683.0","","Week 10","62165.0","49938.0","49222.0","212343.0","","10.0","564893.0","515672.0","540719.0","4658345.0"
"32956.0","11.0","32949.0","52302.0","","Week 11","60825.0","44045.0","50509.0","","","11.0","625718.0","559717.0","591228.0",""
"32963.0","12.0","32956.0","52272.0","","Week 12","73549.0","51127.0","54264.0","","","12.0","699267.0","610844.0","645492.0",""
"32970.0","13.0","32963.0","54967.0","","Week 13","61139.0","52389.0","49248.0","","","13.0","760406.0","663233.0","694740.0",""
"32977.0","14.0","32970.0","49556.0","","Week 14","70871.0","54534.0","48438.0","","","14.0","831277.0","717767.0","743178.0",""
"32984.0","15.0","32977.0","50969.0","","Week 15","69095.0","53971.0","46843.0","","","15.0","900372.0","771738.0","790021.0",""
"32991.0","16.0","32984.0","50506.0","","Week 16","72864.0","49067.0","48794.0","","","16.0","973236.0","820805.0","838815.0",""
"32998.0","17.0","32991.0","54604.0","","Week 17","76929.0","54885.0","57585.0","","","17.0","1050165.0","875690.0","896400.0",""
"33005.0","18.0","32998.0","56830.0","","Week 18","69020.0","52355.0","52455.0","","","18.0","1119185.0","928045.0","948855.0",""
"33012.0","19.0","33005.0","52504.0","","Week 19","57942.0","48862.0","50766.0","","","19.0","1177127.0","976907.0","999621.0",""
