"Report date","Week #","Week ","MS","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19"
"32886.0","1.0","32879.0","10624.0","","Week 1","5412.0","4762.0","4674.0","5519.0","","1.0","5412.0","4762.0","4674.0","5519.0"
"32893.0","2.0","32886.0","6908.0","","Week 2","2801.0","2686.0","3024.0","32015.0","","2.0","8213.0","7448.0","7698.0","37534.0"
"32900.0","3.0","32893.0","5755.0","","Week 3","2849.0","3512.0","4913.0","45852.0","","3.0","11062.0","10960.0","12611.0","83386.0"
"32907.0","4.0","32900.0","4852.0","","Week 4","2810.0","3204.0","4228.0","45748.0","","4.0","13872.0","14164.0","16839.0","129134.0"
"32914.0","5.0","32907.0","4238.0","","Week 5","3367.0","3814.0","2694.0","36913.0","","5.0","17239.0","17978.0","19533.0","166047.0"
"32921.0","6.0","32914.0","3615.0","","Week 6","2580.0","2981.0","2180.0","29906.0","","6.0","19819.0","20959.0","21713.0","195953.0"
"32928.0","7.0","32921.0","4101.0","","Week 7","2559.0","2975.0","2476.0","25745.0","","7.0","22378.0","23934.0","24189.0","221698.0"
"32935.0","8.0","32928.0","3314.0","","Week 8","2623.0","4255.0","2531.0","23618.0","","8.0","25001.0","28189.0","26720.0","245316.0"
"32942.0","9.0","32935.0","2822.0","","Week 9","2598.0","4753.0","2420.0","24242.0","","9.0","27599.0","32942.0","29140.0","269558.0"
"32949.0","10.0","32942.0","3026.0","","Week 10","2473.0","5546.0","2075.0","23856.0","","10.0","30072.0","38488.0","31215.0","293414.0"
"32956.0","11.0","32949.0","3307.0","","Week 11","2560.0","5317.0","2299.0","23","","11.0","32632.0","43805.0","33514.0","23"
"32963.0","12.0","32956.0","4047.0","","Week 12","3293.0","4960.0","2300.0","","","12.0","35925.0","48765.0","35814.0",""
"32970.0","13.0","32963.0","4101.0","","Week 13","4539.0","3591.0","2445.0","","","13.0","40464.0","52356.0","38259.0",""
"32977.0","14.0","32970.0","2892.0","","Week 14","3221.0","2988.0","2569.0","","","14.0","43685.0","55344.0","40828.0",""
"32984.0","15.0","32977.0","3202.0","","Week 15","3197.0","3262.0","2286.0","","","15.0","46882.0","58606.0","43114.0",""
"32991.0","16.0","32984.0","2733.0","","Week 16","4614.0","5643.0","2249.0","","","16.0","51496.0","64249.0","45363.0",""
"32998.0","17.0","32991.0","3492.0","","Week 17","5140.0","5534.0","3437.0","","","17.0","56636.0","69783.0","48800.0",""
"33005.0","18.0","32998.0","4438.0","","Week 18","4014.0","3588.0","2630.0","","","18.0","60650.0","73371.0","51430.0",""
"33012.0","19.0","33005.0","3540.0","","Week 19","3275.0","3055.0","2505.0","","","19.0","63925.0","76426.0","53935.0",""
"33019.0","20.0","33012.0","4779.0","","Week 20","8176.0","3111.0","2181.0","","","20.0","72101.0","79537.0","56116.0",""
"33026.0","21.0","33019.0","4259.0","","Week 21","6926.0","2868.0","3985.0","","","21.0","79027.0","82405.0","60101.0",""
"33033.0","22.0","33026.0","4385.0","","Week 22","4590.0","3096.0","3593.0","","","22.0","83617.0","85501.0","63694.0",""
"33040.0","23.0","33033.0","3413.0","","Week 23","6821.0","2737.0","5621.0","","","23.0","90438.0","88238.0","69315.0",""
"33047.0","24.0","33040.0","3252.0","","Week 24","5062.0","2552.0","3843.0","","","24.0","95500.0","90790.0","73158.0",""
"33054.0","25.0","33047.0","3499.0","","Week 25","7495.0","2587.0","3286.0","","","25.0","102995.0","93377.0","76444.0",""
"33061.0","26.0","33054.0","4440.0","","Week 26","12628.0","3686.0","2421.0","","","26.0","115623.0","97063.0","78865.0",""
"33068.0","27.0","33061.0","4950.0","","Week 27","7806.0","3333.0","2434.0","","","27.0","123429.0","100396.0","81299.0",""
"33075.0","28.0","33068.0","5412.0","","Week 28","5657.0","3238.0","2798.0","","","28.0","129086.0","103634.0","84097.0",""
"33082.0","29.0","33075.0","2801.0","","Week 29","6282.0","4796.0","3454.0","","","29.0","135368.0","108430.0","87551.0",""
"33089.0","30.0","33082.0","2849.0","","Week 30","6161.0","3889.0","4410.0","","","30.0","141529.0","112319.0","91961.0",""
"33096.0","31.0","33089.0","2810.0","","Week 31","5021.0","3595.0","3183.0","","","31.0","146550.0","115914.0","95144.0",""
"33103.0","32.0","33096.0","3367.0","","Week 32","5768.0","4189.0","3779.0","","","32.0","152318.0","120103.0","98923.0",""
"33110.0","33.0","33103.0","2580.0","","Week 33","5300.0","4229.0","2900.0","","","33.0","157618.0","124332.0","101823.0",""
"33117.0","34.0","33110.0","2559.0","","Week 34","4096.0","4095.0","3851.0","","","34.0","161714.0","128427.0","105674.0",""
"33124.0","35.0","33117.0","2623.0","","Week 35","4367.0","3791.0","2995.0","","","35.0","166081.0","132218.0","108669.0",""
"33131.0","36.0","33124.0","2598.0","","Week 36","6162.0","3360.0","2586.0","","","36.0","172243.0","135578.0","111255.0",""
"33138.0","37.0","33131.0","2473.0","","Week 37","3499.0","7570.0","2772.0","","","37.0","175742.0","143148.0","114027.0",""
"33145.0","38.0","33138.0","2560.0","","Week 38","3510.0","","2806.0","","","38.0","179252.0","","116833.0",""
"33152.0","39.0","33145.0","3293.0","","Week 39","","","3467.0","","","39.0","","","120300.0",""
