"Report date","Week #","Week ","NH","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19"
"32886.0","1.0","32879.0","2235.0","","Week 1","986.0","652.0","1544.0","29379.0","","1.0","986.0","652.0","1544.0","29379.0"
"32893.0","2.0","32886.0","1639.0","","Week 2","1145.0","731.0","2286.0","31378.0","","2.0","2131.0","1383.0","3830.0","60757.0"
"32900.0","3.0","32893.0","1570.0","","Week 3","1292.0","1275.0","1507.0","39202.0","","3.0","3423.0","2658.0","5337.0","99959.0"
"32907.0","4.0","32900.0","2694.0","","Week 4","1102.0","1009.0","1523.0","25273.0","","4.0","4525.0","3667.0","6860.0","125232.0"
"32914.0","5.0","32907.0","1520.0","","Week 5","1924.0","858.0","1303.0","20414.0","","5.0","6449.0","4525.0","8163.0","145646.0"
"32921.0","6.0","32914.0","1484.0","","Week 6","980.0","1731.0","1252.0","15001.0","","6.0","7429.0","6256.0","9415.0","160647.0"
"32928.0","7.0","32921.0","1360.0","","Week 7","974.0","828.0","1221.0","12475.0","","7.0","8403.0","7084.0","10636.0","173122.0"
"32935.0","8.0","32928.0","1300.0","","Week 8","961.0","683.0","1193.0","10016.0","","8.0","9364.0","7767.0","11829.0","183138.0"
"32942.0","9.0","32935.0","1318.0","","Week 9","1082.0","707.0","981.0","8794.0","","9.0","10446.0","8474.0","12810.0","191932.0"
"32949.0","10.0","32942.0","1245.0","","Week 10","1028.0","1636.0","1001.0","6973.0","","10.0","11474.0","10110.0","13811.0","198905.0"
"32956.0","11.0","32949.0","1209.0","","Week 11","1129.0","696.0","1610.0","","","11.0","12603.0","10806.0","15421.0",""
"32963.0","12.0","32956.0","1033.0","","Week 12","1388.0","792.0","1057.0","","","12.0","13991.0","11598.0","16478.0",""
"32970.0","13.0","32963.0","2370.0","","Week 13","1203.0","765.0","949.0","","","13.0","15194.0","12363.0","17427.0",""
"32977.0","14.0","32970.0","1526.0","","Week 14","1399.0","796.0","927.0","","","14.0","16593.0","13159.0","18354.0",""
"32984.0","15.0","32977.0","1215.0","","Week 15","1408.0","2071.0","1008.0","","","15.0","18001.0","15230.0","19362.0",""
"32991.0","16.0","32984.0","1263.0","","Week 16","1536.0","3075.0","908.0","","","16.0","19537.0","18305.0","20270.0",""
"32998.0","17.0","32991.0","1202.0","","Week 17","1742.0","1399.0","1112.0","","","17.0","21279.0","19704.0","21382.0",""
"33005.0","18.0","32998.0","1062.0","","Week 18","1719.0","872.0","1118.0","","","18.0","22998.0","20576.0","22500.0",""
"33012.0","19.0","33005.0","962.0","","Week 19","1365.0","1828.0","1463.0","","","19.0","24363.0","22404.0","23963.0",""
"33019.0","20.0","33012.0","1005.0","","Week 20","1755.0","793.0","1248.0","","","20.0","26118.0","23197.0","25211.0",""
"33026.0","21.0","33019.0","785.0","","Week 21","2183.0","1081.0","845.0","","","21.0","28301.0","24278.0","26056.0",""
"33033.0","22.0","33026.0","1084.0","","Week 22","2049.0","941.0","872.0","","","22.0","30350.0","25219.0","26928.0",""
"33040.0","23.0","33033.0","934.0","","Week 23","2955.0","1133.0","852.0","","","23.0","33305.0","26352.0","27780.0",""
"33047.0","24.0","33040.0","1331.0","","Week 24","3235.0","1768.0","653.0","","","24.0","36540.0","28120.0","28433.0",""
"33054.0","25.0","33047.0","1439.0","","Week 25","2259.0","1200.0","1043.0","","","25.0","38799.0","29320.0","29476.0",""
"33061.0","26.0","33054.0","1999.0","","Week 26","2426.0","1222.0","750.0","","","26.0","41225.0","30542.0","30226.0",""
"33068.0","27.0","33061.0","1362.0","","Week 27","2170.0","942.0","980.0","","","27.0","43395.0","31484.0","31206.0",""
"33075.0","28.0","33068.0","986.0","","Week 28","2283.0","838.0","1696.0","","","28.0","45678.0","32322.0","32902.0",""
"33082.0","29.0","33075.0","1145.0","","Week 29","1715.0","1035.0","1393.0","","","29.0","47393.0","33357.0","34295.0",""
"33089.0","30.0","33082.0","1292.0","","Week 30","2078.0","1112.0","1363.0","","","30.0","49471.0","34469.0","35658.0",""
"33096.0","31.0","33089.0","1102.0","","Week 31","1537.0","1346.0","1117.0","","","31.0","51008.0","35815.0","36775.0",""
"33103.0","32.0","33096.0","1924.0","","Week 32","1506.0","1146.0","1016.0","","","32.0","52514.0","36961.0","37791.0",""
"33110.0","33.0","33103.0","980.0","","Week 33","1762.0","1442.0","1024.0","","","33.0","54276.0","38403.0","38815.0",""
"33117.0","34.0","33110.0","974.0","","Week 34","2058.0","1160.0","1081.0","","","34.0","56334.0","39563.0","39896.0",""
"33124.0","35.0","33117.0","961.0","","Week 35","1522.0","1053.0","879.0","","","35.0","57856.0","40616.0","40775.0",""
"33131.0","36.0","33124.0","1082.0","","Week 36","1340.0","2615.0","961.0","","","36.0","59196.0","43231.0","41736.0",""
"33138.0","37.0","33131.0","1028.0","","Week 37","1749.0","1482.0","809.0","","","37.0","60945.0","44713.0","42545.0",""
"33145.0","38.0","33138.0","1129.0","","Week 38","3956.0","","821.0","","","38.0","64901.0","","43366.0",""
"33152.0","39.0","33145.0","1388.0","","Week 39","","","1010.0","","","39.0","","","44376.0",""
"33159.0","40.0","33152.0","1203.0","","Week 40","","","815.0","","","40.0","","","45191.0",""
"33166.0","41.0","33159.0","1399.0","","Week 41","","","1011.0","","","41.0","","","46202.0",""
"33173.0","42.0","33166.0","1408.0","","Week 42","","","1303.0","","","42.0","","","47505.0",""
"33180.0","43.0","33173.0","1536.0","","Week 43","","","1084.0","","","43.0","","","48589.0",""
"33187.0","44.0","33180.0","1742.0","","Week 44","","","1118.0","","","44.0","","","49707.0",""
"33194.0","45.0","33187.0","1719.0","","Week 45","","","1294.0","","","45.0","","","51001.0",""
"33201.0","46.0","33194.0","1365.0","","Week 46","","","1318.0","","","46.0","","","52319.0",""
"33208.0","47.0","33201.0","1755.0","","Week 47","","","1751.0","","","47.0","","","54070.0",""
"33215.0","48.0","33208.0","2183.0","","Week 48","","","1494.0","","","48.0","","","55564.0",""
"33222.0","49.0","33215.0","2049.0","","Week 49","","","2000.0","","","49.0","","","57564.0",""
"33229.0","50.0","33222.0","2955.0","","Week 50","","","1461.0","","","50.0","","","59025.0",""
"33236.0","51.0","33229.0","3235.0","","Week 51","","","1904.0","","","51.0","","","60929.0",""
"33243.0","52.0","33236.0","2259.0","","Week 52","","","2263.0","","","52.0","","","63192.0",""
"33250.0","1.0","33243.0","2426.0","","Week 53","","","2313.0","","","53.0","","","65505.0",""
"33257.0","2.0","33250.0","2170.0","","Week 54","","","2651.0","","","54.0","","","68156.0",""
"33264.0","3.0","33257.0","2283.0","","Week 55","","","3594.0","","","55.0","","","71750.0",""
"33271.0","4.0","33264.0","1715.0","","Week 56","","","3241.0","","","56.0","","","74991.0",""
"33278.0","5.0","33271.0","2078.0","","Week 57","","","2495.0","","","57.0","","","77486.0",""
"33285.0","6.0","33278.0","1537.0","","Week 58","","","2128.0","","","58.0","","","79614.0",""
"33292.0","7.0","33285.0","1506.0","","Week 59","","","2207.0","","","59.0","","","81821.0",""
"33299.0","8.0","33292.0","1762.0","","Week 60","","","2551.0","","","60.0","","","84372.0",""
"33306.0","9.0","33299.0","2058.0","","Week 61","","","2368.0","","","61.0","","","86740.0",""
"33313.0","10.0","33306.0","1522.0","","Week 62","","","1943.0","","","62.0","","","88683.0",""
"33320.0","11.0","33313.0","1340.0","","Week 63","","","2857.0","","","63.0","","","91540.0",""
"33327.0","12.0","33320.0","1749.0","","Week 64","","","2501.0","","","64.0","","","94041.0",""
"33334.0","13.0","33327.0","3956.0","","Week 65","","","2585.0","","","65.0","","","96626.0",""
"33341.0","14.0","33334.0","2007.0","","Week 66","","","1934.0","","","66.0","","","98560.0",""
"33348.0","15.0","33341.0","1705.0","","Week 67","","","2086.0","","","67.0","","","100646.0",""
"33355.0","16.0","33348.0","1523.0","","Week 68","","","2056.0","","","68.0","","","102702.0",""
"33362.0","17.0","33355.0","1608.0","","Week 69","","","1837.0","","","69.0","","","104539.0",""
"33369.0","18.0","33362.0","1162.0","","Week 70","","","1937.0","","","70.0","","","106476.0",""
"33376.0","19.0","33369.0","1135.0","","Week 71","","","2253.0","","","71.0","","","108729.0",""
"33383.0","20.0","33376.0","1077.0","","Week 72","","","2005.0","","","72.0","","","110734.0",""
"33390.0","21.0","33383.0","857.0","","Week 73","","","1681.0","","","73.0","","","112415.0",""
"33397.0","22.0","33390.0","1172.0","","Week 74","","","1712.0","","","74.0","","","114127.0",""
"33404.0","23.0","33397.0","1014.0","","Week 75","","","1678.0","","","75.0","","","115805.0",""
"33411.0","24.0","33404.0","1331.0","","Week 76","","","1644.0","","","76.0","","","117449.0",""
"33418.0","25.0","33411.0","1470.0","","Week 77","","","1820.0","","","77.0","","","119269.0",""
"33425.0","26.0","33418.0","2060.0","","Week 78","","","1503.0","","","78.0","","","120772.0",""
"33432.0","27.0","33425.0","1820.0","","Week 79","","","1486.0","","","79.0","","","122258.0",""
"33439.0","28.0","33432.0","1143.0","","Week 80","","","2391.0","","","80.0","","","124649.0",""
"33446.0","29.0","33439.0","1299.0","","Week 81","","","2556.0","","","81.0","","","127205.0",""
"33453.0","30.0","33446.0","1083.0","","","","","","","","","","","",""
"33460.0","31.0","33453.0","1034.0","","","","","","","","","","","",""
"33467.0","32.0","33460.0","1002.0","","","","","","","","","","","",""
"33474.0","33.0","33467.0","935.0","","","","","","","","","","","",""
"33481.0","34.0","33474.0","889.0","","","","","","","","","","","",""
"33488.0","35.0","33481.0","989.0","","","","","","","","","","","",""
"33495.0","36.0","33488.0","990.0","","","","","","","","","","","",""
"33502.0","37.0","33495.0","990.0","","","","","","","","","","","",""
"33509.0","38.0","33502.0","1047.0","","","","","","","","","","","",""
"33516.0","39.0","33509.0","1143.0","","","","","","","","","","","",""
"33523.0","40.0","33516.0","1083.0","","","","","","","","","","","",""
"33530.0","41.0","33523.0","1053.0","","","","","","","","","","","",""
"33537.0","42.0","33530.0","1232.0","","","","","","","","","","","",""
"33544.0","43.0","33537.0","1251.0","","","","","","","","","","","",""
"33551.0","44.0","33544.0","1316.0","","","","","","","","","","","",""
"33558.0","45.0","33551.0","1321.0","","","","","","","","","","","",""
"33565.0","46.0","33558.0","1737.0","","","","","","","","","","","",""
"33572.0","47.0","33565.0","1558.0","","","","","","","","","","","",""
"33579.0","48.0","33572.0","1776.0","","","","","","","","","","","",""
"33586.0","49.0","33579.0","1750.0","","","","","","","","","","","",""
"33593.0","50.0","33586.0","2385.0","","","","","","","","","","","",""
"33600.0","51.0","33593.0","3217.0","","","","","","","","","","","",""
"33607.0","52.0","33600.0","2555.0","","","","","","","","","","","",""
"33614.0","1.0","33607.0","2619.0","","","","","","","","","","","",""
"33621.0","2.0","33614.0","2442.0","","","","","","","","","","","",""
"33628.0","3.0","33621.0","1644.0","","","","","","","","","","","",""
"33635.0","4.0","33628.0","1470.0","","","","","","","","","","","",""
"33642.0","5.0","33635.0","1524.0","","","","","","","","","","","",""
"33649.0","6.0","33642.0","1370.0","","","","","","","","","","","",""
"33656.0","7.0","33649.0","1133.0","","","","","","","","","","","",""
"33663.0","8.0","33656.0","1369.0","","","","","","","","","","","",""
"33670.0","9.0","33663.0","1189.0","","","","","","","","","","","",""
"33677.0","10.0","33670.0","1157.0","","","","","","","","","","","",""
"33684.0","11.0","33677.0","1037.0","","","","","","","","","","","",""
"33691.0","12.0","33684.0","1023.0","","","","","","","","","","","",""
"33698.0","13.0","33691.0","2148.0","","","","","","","","","","","",""
"33705.0","14.0","33698.0","3265.0","","","","","","","","","","","",""
"33712.0","15.0","33705.0","2403.0","","","","","","","","","","","",""
"33719.0","16.0","33712.0","1269.0","","","","","","","","","","","",""
"33726.0","17.0","33719.0","1200.0","","","","","","","","","","","",""
"33733.0","18.0","33726.0","1061.0","","","","","","","","","","","",""
"33740.0","19.0","33733.0","933.0","","","","","","","","","","","",""
"33747.0","20.0","33740.0","994.0","","","","","","","","","","","",""
"33754.0","21.0","33747.0","688.0","","","","","","","","","","","",""
"33761.0","22.0","33754.0","1095.0","","","","","","","","","","","",""
"33768.0","23.0","33761.0","946.0","","","","","","","","","","","",""
"33775.0","24.0","33768.0","1010.0","","","","","","","","","","","",""
"33782.0","25.0","33775.0","1148.0","","","","","","","","","","","",""
"33789.0","26.0","33782.0","1305.0","","","","","","","","","","","",""
"33796.0","27.0","33789.0","1718.0","","","","","","","","","","","",""
"33803.0","28.0","33796.0","1316.0","","","","","","","","","","","",""
"33810.0","29.0","33803.0","1003.0","","","","","","","","","","","",""
"33817.0","30.0","33810.0","1050.0","","","","","","","","","","","",""
"33824.0","31.0","33817.0","905.0","","","","","","","","","","","",""
"33831.0","32.0","33824.0","754.0","","","","","","","","","","","",""
"33838.0","33.0","33831.0","885.0","","","","","","","","","","","",""
"33845.0","34.0","33838.0","855.0","","","","","","","","","","","",""
"33852.0","35.0","33845.0","962.0","","","","","","","","","","","",""
"33859.0","36.0","33852.0","849.0","","","","","","","","","","","",""
"33866.0","37.0","33859.0","791.0","","","","","","","","","","","",""
"33873.0","38.0","33866.0","754.0","","","","","","","","","","","",""
"33880.0","39.0","33873.0","828.0","","","","","","","","","","","",""
"33887.0","40.0","33880.0","946.0","","","","","","","","","","","",""
"33894.0","41.0","33887.0","780.0","","","","","","","","","","","",""
"33901.0","42.0","33894.0","1083.0","","","","","","","","","","","",""
"33908.0","43.0","33901.0","997.0","","","","","","","","","","","",""
"33915.0","44.0","33908.0","1048.0","","","","","","","","","","","",""
"33922.0","45.0","33915.0","935.0","","","","","","","","","","","",""
"33929.0","46.0","33922.0","1148.0","","","","","","","","","","","",""
"33936.0","47.0","33929.0","837.0","","","","","","","","","","","",""
"33943.0","48.0","33936.0","1262.0","","","","","","","","","","","",""
"33950.0","49.0","33943.0","1124.0","","","","","","","","","","","",""
"33957.0","50.0","33950.0","1396.0","","","","","","","","","","","",""
"33964.0","51.0","33957.0","1640.0","","","","","","","","","","","",""
"33971.0","52.0","33964.0","2928.0","","","","","","","","","","","",""
"33978.0","1.0","33971.0","1792.0","","","","","","","","","","","",""
"33985.0","2.0","33978.0","1099.0","","","","","","","","","","","",""
"33992.0","3.0","33985.0","1127.0","","","","","","","","","","","",""
"33999.0","4.0","33992.0","1066.0","","","","","","","","","","","",""
"34006.0","5.0","33999.0","1058.0","","","","","","","","","","","",""
"34013.0","6.0","34006.0","1000.0","","","","","","","","","","","",""
"34020.0","7.0","34013.0","856.0","","","","","","","","","","","",""
"34027.0","8.0","34020.0","1110.0","","","","","","","","","","","",""
"34034.0","9.0","34027.0","1023.0","","","","","","","","","","","",""
"34041.0","10.0","34034.0","963.0","","","","","","","","","","","",""
"34048.0","11.0","34041.0","893.0","","","","","","","","","","","",""
"34055.0","12.0","34048.0","875.0","","","","","","","","","","","",""
"34062.0","13.0","34055.0","1447.0","","","","","","","","","","","",""
"34069.0","14.0","34062.0","1318.0","","","","","","","","","","","",""
"34076.0","15.0","34069.0","1060.0","","","","","","","","","","","",""
"34083.0","16.0","34076.0","835.0","","","","","","","","","","","",""
"34090.0","17.0","34083.0","933.0","","","","","","","","","","","",""
"34097.0","18.0","34090.0","858.0","","","","","","","","","","","",""
"34104.0","19.0","34097.0","622.0","","","","","","","","","","","",""
"34111.0","20.0","34104.0","626.0","","","","","","","","","","","",""
"34118.0","21.0","34111.0","644.0","","","","","","","","","","","",""
"34125.0","22.0","34118.0","737.0","","","","","","","","","","","",""
"34132.0","23.0","34125.0","621.0","","","","","","","","","","","",""
"34139.0","24.0","34132.0","620.0","","","","","","","","","","","",""
"34146.0","25.0","34139.0","823.0","","","","","","","","","","","",""
