"Report date","Week #","Week ","US","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19"
"32886.0","1.0","32879.0","726668.0","","Week 1","403877.0","331726.0","453656.0","2932764.0","","1.0","403877.0","331726.0","453656.0","2932764.0"
"32893.0","2.0","32886.0","481529.0","","Week 2","350609.0","324255.0","506027.0","6022975.0","","2.0","754486.0","655981.0","959683.0","8955739.0"
"32900.0","3.0","32893.0","436588.0","","Week 3","331373.0","393070.0","522297.0","6212523.0","","3.0","1085859.0","1049051.0","1481980.0","15168262.0"
"32907.0","4.0","32900.0","429599.0","","Week 4","325106.0","344843.0","543040.0","4964673.0","","4.0","1410965.0","1393894.0","2025020.0","20132935.0"
"32914.0","5.0","32907.0","425751.0","","Week 5","308456.0","365676.0","411043.0","4297708.0","","5.0","1719421.0","1759570.0","2436063.0","24430643.0"
"32921.0","6.0","32914.0","360330.0","","Week 6","297212.0","348408.0","365995.0","3515440.0","","6.0","2016633.0","2107978.0","2802058.0","27946083.0"
"32928.0","7.0","32921.0","338560.0","","Week 7","300728.0","332452.0","376696.0","2846504.0","","7.0","2317361.0","2440430.0","3178754.0","30792587.0"
"32935.0","8.0","32928.0","357773.0","","Week 8","273554.0","327902.0","374058.0","2351819.0","","8.0","2590915.0","2768332.0","3552812.0","33144406.0"
"32942.0","9.0","32935.0","352043.0","","Week 9","318933.0","335127.0","323129.0","2181640.0","","9.0","2909848.0","3103459.0","3875941.0","35326046.0"
"32949.0","10.0","32942.0","320529.0","","Week 10","301926.0","340302.0","327131.0","1915208.0","","10.0","3211774.0","3443761.0","4203072.0","37241254.0"
"32956.0","11.0","32949.0","302920.0","","Week 11","302595.0","331915.0","342214.0","1620008.0","","11.0","3514369.0","3775676.0","4545286.0","38861262.0"
"32963.0","12.0","32956.0","293331.0","","Week 12","356589.0","391660.0","338277.0","1561267.0","","12.0","3870958.0","4167336.0","4883563.0","40422529.0"
"32970.0","13.0","32963.0","367621.0","","Week 13","351323.0","350582.0","333019.0","1463363.0","","13.0","4222281.0","4517918.0","5216582.0","41885892.0"
"32977.0","14.0","32970.0","312327.0","","Week 14","381570.0","347638.0","316116.0","1457373.0","","14.0","4603851.0","4865556.0","5532698.0","43343265.0"
"32984.0","15.0","32977.0","321410.0","","Week 15","388930.0","371326.0","338076.0","","","15.0","4992781.0","5236882.0","5870774.0",""
"32991.0","16.0","32984.0","290611.0","","Week 16","419186.0","522566.0","354125.0","","","16.0","5411967.0","5759448.0","6224899.0",""
"32998.0","17.0","32991.0","300026.0","","Week 17","459368.0","518122.0","366400.0","","","17.0","5871335.0","6277570.0","6591299.0",""
"33005.0","18.0","32998.0","295044.0","","Week 18","428868.0","401562.0","325128.0","","","18.0","6300203.0","6679132.0","6916427.0",""
"33012.0","19.0","33005.0","282772.0","","Week 19","420042.0","331069.0","335227.0","","","19.0","6720245.0","7010201.0","7251654.0",""
"33019.0","20.0","33012.0","291576.0","","Week 20","564007.0","336096.0","332320.0","","","20.0","7284252.0","7346297.0","7583974.0",""
"33026.0","21.0","33019.0","269948.0","","Week 21","570306.0","328092.0","322227.0","","","21.0","7854558.0","7674389.0","7906201.0",""
"33033.0","22.0","33026.0","317392.0","","Week 22","519494.0","312947.0","316665.0","","","22.0","8374052.0","7987336.0","8222866.0",""
"33040.0","23.0","33033.0","302179.0","","Week 23","632124.0","304116.0","323274.0","","","23.0","9006176.0","8291452.0","8546140.0",""
"33047.0","24.0","33040.0","312922.0","","Week 24","644822.0","314731.0","297322.0","","","24.0","9650998.0","8606183.0","8843462.0",""
"33054.0","25.0","33047.0","321808.0","","Week 25","648356.0","305969.0","367996.0","","","25.0","10299354.0","8912152.0","9211458.0",""
"33061.0","26.0","33054.0","413776.0","","Week 26","868967.0","313257.0","345815.0","","","26.0","11168321.0","9225409.0","9557273.0",""
"33068.0","27.0","33061.0","443883.0","","Week 27","684726.0","348997.0","354800.0","","","27.0","11853047.0","9574406.0","9912073.0",""
"33075.0","28.0","33068.0","403877.0","","Week 28","506938.0","396280.0","365400.0","","","28.0","12359985.0","9970686.0","10277473.0",""
"33082.0","29.0","33075.0","350609.0","","Week 29","557728.0","436400.0","398319.0","","","29.0","12917713.0","10407086.0","10675792.0",""
"33089.0","30.0","33082.0","331373.0","","Week 30","569740.0","422356.0","471219.0","","","30.0","13487453.0","10829442.0","11147011.0",""
"33096.0","31.0","33089.0","325106.0","","Week 31","493019.0","424096.0","399575.0","","","31.0","13980472.0","11253538.0","11546586.0",""
"33103.0","32.0","33096.0","308456.0","","Week 32","488576.0","432047.0","374136.0","","","32.0","14469048.0","11685585.0","11920722.0",""
"33110.0","33.0","33103.0","297212.0","","Week 33","499318.0","439522.0","378016.0","","","33.0","14968366.0","12125107.0","12298738.0",""
"33117.0","34.0","33110.0","300728.0","","Week 34","509755.0","452334.0","366658.0","","","34.0","15478121.0","12577441.0","12665396.0",""
"33124.0","35.0","33117.0","273554.0","","Week 35","465813.0","416628.0","335446.0","","","35.0","15943934.0","12994069.0","13000842.0",""
"33131.0","36.0","33124.0","318933.0","","Week 36","474379.0","436475.0","336911.0","","","36.0","16418313.0","13430544.0","13337753.0",""
"33138.0","37.0","33131.0","301926.0","","Week 37","409710.0","601259.0","354167.0","","","37.0","16828023.0","14031803.0","13691920.0",""
"33145.0","38.0","33138.0","302595.0","","Week 38","443062.0","","331171.0","","","38.0","17271085.0","","14023091.0",""
"33152.0","39.0","33145.0","356589.0","","Week 39","","","376196.0","","","39.0","","","14399287.0",""
"33159.0","40.0","33152.0","351323.0","","Week 40","","","393177.0","","","40.0","","","14792464.0",""
"33166.0","41.0","33159.0","381570.0","","Week 41","","","388565.0","","","41.0","","","15181029.0",""
"33173.0","42.0","33166.0","388930.0","","Week 42","","","423308.0","","","42.0","","","15604337.0",""
"33180.0","43.0","33173.0","419186.0","","Week 43","","","449759.0","","","43.0","","","16054096.0",""
"33187.0","44.0","33180.0","459368.0","","Week 44","","","413244.0","","","44.0","","","16467340.0",""
