"Report date","Week #","Week ","OH","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19"
"32886.0","1.0","32879.0","37188.0","","Week 1","15978.0","11371.0","20049.0","196309.0","","1.0","15978.0","11371.0","20049.0","196309.0"
"32893.0","2.0","32886.0","24030.0","","Week 2","15065.0","11961.0","25660.0","274288.0","","2.0","31043.0","23332.0","45709.0","470597.0"
"32900.0","3.0","32893.0","21669.0","","Week 3","11909.0","12414.0","18071.0","226191.0","","3.0","42952.0","35746.0","63780.0","696788.0"
"32907.0","4.0","32900.0","21599.0","","Week 4","12404.0","11437.0","20245.0","159317.0","","4.0","55356.0","47183.0","84025.0","856105.0"
"32914.0","5.0","32907.0","20784.0","","Week 5","12404.0","12651.0","17445.0","109830.0","","5.0","67760.0","59834.0","101470.0","965935.0"
"32921.0","6.0","32914.0","18960.0","","Week 6","10465.0","12979.0","14407.0","93599.0","","6.0","78225.0","72813.0","115877.0","1059534.0"
"32928.0","7.0","32921.0","13373.0","","Week 7","11500.0","11408.0","16622.0","61487.0","","7.0","89725.0","84221.0","132499.0","1121021.0"
"32935.0","8.0","32928.0","15635.0","","Week 8","10074.0","12560.0","13870.0","52255.0","","8.0","99799.0","96781.0","146369.0","1173276.0"
"32942.0","9.0","32935.0","12015.0","","Week 9","13673.0","11974.0","12014.0","46862.0","","9.0","113472.0","108755.0","158383.0","1220138.0"
"32949.0","10.0","32942.0","9980.0","","Week 10","9815.0","11080.0","11135.0","42585.0","","10.0","123287.0","119835.0","169518.0","1262723.0"
"32956.0","11.0","32949.0","8541.0","","Week 11","14006.0","14271.0","10929.0","35078.0","","11.0","137293.0","134106.0","180447.0","1297801.0"
"32963.0","12.0","32956.0","9021.0","","Week 12","12051.0","13918.0","12401.0","36154.0","","12.0","149344.0","148024.0","192848.0","1333955.0"
"32970.0","13.0","32963.0","13634.0","","Week 13","13416.0","12734.0","17887.0","33139.0","","13.0","162760.0","160758.0","210735.0","1367094.0"
"32977.0","14.0","32970.0","15448.0","","Week 14","14908.0","10745.0","11895.0","34926.0","","14.0","177668.0","171503.0","222630.0","1402020.0"
"32984.0","15.0","32977.0","9866.0","","Week 15","18761.0","11679.0","12437.0","35908.0","","15.0","196429.0","183182.0","235067.0","1437928.0"
"32991.0","16.0","32984.0","8823.0","","Week 16","16839.0","16910.0","13597.0","33830.0","","16.0","213268.0","200092.0","248664.0","1471758.0"
"32998.0","17.0","32991.0","10109.0","","Week 17","18397.0","22326.0","12289.0","35755.0","","17.0","231665.0","222418.0","260953.0","1507513.0"
"33005.0","18.0","32998.0","11107.0","","Week 18","19623.0","21394.0","11056.0","30325.0","","18.0","251288.0","243812.0","272009.0","1537838.0"
"33012.0","19.0","33005.0","8851.0","","Week 19","22636.0","12995.0","11354.0","28033.0","","19.0","273924.0","256807.0","283363.0","1565871.0"
"33019.0","20.0","33012.0","8189.0","","Week 20","25711.0","12519.0","11443.0","26053.0","","20.0","299635.0","269326.0","294806.0","1591924.0"
"33026.0","21.0","33019.0","8686.0","","Week 21","30782.0","10829.0","10834.0","20090.0","","21.0","330417.0","280155.0","305640.0","1612014.0"
"33033.0","22.0","33026.0","9725.0","","Week 22","24834.0","10321.0","11016.0","","","22.0","355251.0","290476.0","316656.0",""
"33040.0","23.0","33033.0","8844.0","","Week 23","30778.0","10919.0","13406.0","","","23.0","386029.0","301395.0","330062.0",""
"33047.0","24.0","33040.0","8539.0","","Week 24","32686.0","11409.0","11134.0","","","24.0","418715.0","312804.0","341196.0",""
"33054.0","25.0","33047.0","8404.0","","Week 25","34583.0","12233.0","13589.0","","","25.0","453298.0","325037.0","354785.0",""
"33061.0","26.0","33054.0","11617.0","","Week 26","41392.0","10086.0","12175.0","","","26.0","494690.0","335123.0","366960.0",""
"33068.0","27.0","33061.0","17629.0","","Week 27","31475.0","11499.0","10475.0","","","27.0","526165.0","346622.0","377435.0",""
"33075.0","28.0","33068.0","15978.0","","Week 28","23606.0","15224.0","11795.0","","","28.0","549771.0","361846.0","389230.0",""
"33082.0","29.0","33075.0","15065.0","","Week 29","23875.0","14076.0","18788.0","","","29.0","573646.0","375922.0","408018.0",""
"33089.0","30.0","33082.0","11909.0","","Week 30","24779.0","13769.0","19033.0","","","30.0","598425.0","389691.0","427051.0",""
"33096.0","31.0","33089.0","12404.0","","Week 31","25527.0","15062.0","15715.0","","","31.0","623952.0","404753.0","442766.0",""
"33103.0","32.0","33096.0","12404.0","","Week 32","25090.0","16403.0","20349.0","","","32.0","649042.0","421156.0","463115.0",""
"33110.0","33.0","33103.0","10465.0","","Week 33","23194.0","15504.0","14866.0","","","33.0","672236.0","436660.0","477981.0",""
"33117.0","34.0","33110.0","11500.0","","Week 34","22817.0","16956.0","15975.0","","","34.0","695053.0","453616.0","493956.0",""
"33124.0","35.0","33117.0","10074.0","","Week 35","19213.0","15194.0","12565.0","","","35.0","714266.0","468810.0","506521.0",""
"33131.0","36.0","33124.0","13673.0","","Week 36","24760.0","15570.0","11817.0","","","36.0","739026.0","484380.0","518338.0",""
"33138.0","37.0","33131.0","9815.0","","Week 37","16350.0","20911.0","14652.0","","","37.0","755376.0","505291.0","532990.0",""
"33145.0","38.0","33138.0","14006.0","","Week 38","16077.0","","12331.0","","","38.0","771453.0","","545321.0",""
"33152.0","39.0","33145.0","12051.0","","Week 39","","","13576.0","","","39.0","","","558897.0",""
"33159.0","40.0","33152.0","13416.0","","Week 40","","","15002.0","","","40.0","","","573899.0",""
"33166.0","41.0","33159.0","14908.0","","Week 41","","","13512.0","","","41.0","","","587411.0",""
