"Report date","Week #","Week ","KS","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19"
"32886.0","1.0","32879.0","7339.0","","Week 1","2034.0","2323.0","4375.0","23563.0","","1.0","2034.0","2323.0","4375.0","23563.0"
"32893.0","2.0","32886.0","3334.0","","Week 2","2233.0","1863.0","5372.0","54330.0","","2.0","4267.0","4186.0","9747.0","77893.0"
"32900.0","3.0","32893.0","3367.0","","Week 3","4771.0","4795.0","2916.0","49306.0","","3.0","9038.0","8981.0","12663.0","127199.0"
"32907.0","4.0","32900.0","2634.0","","Week 4","2653.0","2688.0","3465.0","29873.0","","4.0","11691.0","11669.0","16128.0","157072.0"
"32914.0","5.0","32907.0","3954.0","","Week 5","4089.0","1962.0","2885.0","30596.0","","5.0","15780.0","13631.0","19013.0","187668.0"
"32921.0","6.0","32914.0","4189.0","","Week 6","2054.0","2257.0","2816.0","24483.0","","6.0","17834.0","15888.0","21829.0","212151.0"
"32928.0","7.0","32921.0","2449.0","","Week 7","3594.0","2122.0","2797.0","15959.0","","7.0","21428.0","18010.0","24626.0","228110.0"
"32935.0","8.0","32928.0","3006.0","","Week 8","1906.0","2023.0","3237.0","12234.0","","8.0","23334.0","20033.0","27863.0","240344.0"
"32942.0","9.0","32935.0","2561.0","","Week 9","2097.0","2255.0","2289.0","11238.0","","9.0","25431.0","22288.0","30152.0","251582.0"
"32949.0","10.0","32942.0","2553.0","","Week 10","1984.0","2497.0","2442.0","11232.0","","10.0","27415.0","24785.0","32594.0","262814.0"
"32956.0","11.0","32949.0","1966.0","","Week 11","1726.0","3468.0","2304.0","10028.0","","11.0","29141.0","28253.0","34898.0","272842.0"
"32963.0","12.0","32956.0","2247.0","","Week 12","3979.0","3013.0","2496.0","8261.0","","12.0","33120.0","31266.0","37394.0","281103.0"
"32970.0","13.0","32963.0","2731.0","","Week 13","3114.0","2768.0","1967.0","8287.0","","13.0","36234.0","34034.0","39361.0","289390.0"
"32977.0","14.0","32970.0","2332.0","","Week 14","2250.0","2424.0","2849.0","9179.0","","14.0","38484.0","36458.0","42210.0","298569.0"
"32984.0","15.0","32977.0","1840.0","","Week 15","2181.0","2697.0","3928.0","9738.0","","15.0","40665.0","39155.0","46138.0","308307.0"
"32991.0","16.0","32984.0","4804.0","","Week 16","2524.0","3654.0","2141.0","11458.0","","16.0","43189.0","42809.0","48279.0","319765.0"
"32998.0","17.0","32991.0","2098.0","","Week 17","5581.0","2478.0","3270.0","13368.0","","17.0","48770.0","45287.0","51549.0","333133.0"
"33005.0","18.0","32998.0","2049.0","","Week 18","2652.0","2488.0","2384.0","9389.0","","18.0","51422.0","47775.0","53933.0","342522.0"
"33012.0","19.0","33005.0","2373.0","","Week 19","1950.0","2447.0","2179.0","10462.0","","19.0","53372.0","50222.0","56112.0","352984.0"
"33019.0","20.0","33012.0","2067.0","","Week 20","3824.0","2657.0","1961.0","8961.0","","20.0","57196.0","52879.0","58073.0","361945.0"
"33026.0","21.0","33019.0","1826.0","","Week 21","3497.0","2043.0","2173.0","11209.0","","21.0","60693.0","54922.0","60246.0","373154.0"
"33033.0","22.0","33026.0","2415.0","","Week 22","2845.0","2528.0","2572.0","14348.0","","22.0","63538.0","57450.0","62818.0","387502.0"
"33040.0","23.0","33033.0","1949.0","","Week 23","7078.0","2100.0","2261.0","15409.0","","23.0","70616.0","59550.0","65079.0","402911.0"
"33047.0","24.0","33040.0","2017.0","","Week 24","3966.0","1932.0","2743.0","15009.0","","24.0","74582.0","61482.0","67822.0","417920.0"
"33054.0","25.0","33047.0","1789.0","","Week 25","4169.0","2689.0","2492.0","13094.0","","25.0","78751.0","64171.0","70314.0","431014.0"
"33061.0","26.0","33054.0","3056.0","","Week 26","5873.0","1958.0","2437.0","15022.0","","26.0","84624.0","66129.0","72751.0","446036.0"
"33068.0","27.0","33061.0","2483.0","","Week 27","7030.0","2784.0","2069.0","17474.0","","27.0","91654.0","68913.0","74820.0","463510.0"
"33075.0","28.0","33068.0","2034.0","","Week 28","3101.0","2341.0","2412.0","17531.0","","28.0","94755.0","71254.0","77232.0","481041.0"
"33082.0","29.0","33075.0","2233.0","","Week 29","3660.0","2336.0","2953.0","14219.0","","29.0","98415.0","73590.0","80185.0","495260.0"
