"Report date","Week #","Week ","FL","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19"
"32886.0","1.0","32879.0","12415.0","","Week 1","11039.0","7985.0","12211.0","74313.0","","1.0","11039.0","7985.0","12211.0","74313.0"
"32893.0","2.0","32886.0","9301.0","","Week 2","10103.0","7592.0","6584.0","228484.0","","2.0","21142.0","15577.0","18795.0","302797.0"
"32900.0","3.0","32893.0","9804.0","","Week 3","10232.0","8811.0","9304.0","169885.0","","3.0","31374.0","24388.0","28099.0","472682.0"
"32907.0","4.0","32900.0","10224.0","","Week 4","9841.0","9637.0","14188.0","180419.0","","4.0","41215.0","34025.0","42287.0","653101.0"
"32914.0","5.0","32907.0","10146.0","","Week 5","9443.0","8733.0","18493.0","506670.0","","5.0","50658.0","42758.0","60780.0","1159771.0"
"32921.0","6.0","32914.0","9514.0","","Week 6","9003.0","8703.0","14366.0","433103.0","","6.0","59661.0","51461.0","75146.0","1592874.0"
"32928.0","7.0","32921.0","8431.0","","Week 7","10655.0","9373.0","16407.0","174860.0","","7.0","70316.0","60834.0","91553.0","1767734.0"
"32935.0","8.0","32928.0","9755.0","","Week 8","8858.0","9234.0","14997.0","223082.0","","8.0","79174.0","70068.0","106550.0","1990816.0"
"32942.0","9.0","32935.0","10225.0","","Week 9","10624.0","9447.0","13811.0","225404.0","","9.0","89798.0","79515.0","120361.0","2216220.0"
"32949.0","10.0","32942.0","8871.0","","Week 10","9515.0","9092.0","13433.0","175411.0","","10.0","99313.0","88607.0","133794.0","2391631.0"
"32956.0","11.0","32949.0","8292.0","","Week 11","7897.0","7540.0","12593.0","207707.0","","11.0","107210.0","96147.0","146387.0","2599338.0"
"32963.0","12.0","32956.0","7689.0","","Week 12","10689.0","11460.0","14506.0","112161.0","","12.0","117899.0","107607.0","160893.0","2711499.0"
"32970.0","13.0","32963.0","9211.0","","Week 13","11521.0","9398.0","12855.0","88148.0","","13.0","129420.0","117005.0","173748.0","2799647.0"
