"Report date","Week #","Week ","IL","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19"
"32886.0","1.0","32879.0","23166.0","","Week 1","12342.0","13159.0","21040.0","126716.0","","1.0","12342.0","13159.0","21040.0","126716.0"
"32893.0","2.0","32886.0","16510.0","","Week 2","12173.0","12207.0","17730.0","185575.0","","2.0","24515.0","25366.0","38770.0","312291.0"
"32900.0","3.0","32893.0","16097.0","","Week 3","8587.0","17543.0","17835.0","202157.0","","3.0","33102.0","42909.0","56605.0","514448.0"
"32907.0","4.0","32900.0","14848.0","","Week 4","11971.0","14629.0","20213.0","140787.0","","4.0","45073.0","57538.0","76818.0","655235.0"
"32914.0","5.0","32907.0","19031.0","","Week 5","11956.0","12607.0","20681.0","118996.0","","5.0","57029.0","70145.0","97499.0","774231.0"
"32921.0","6.0","32914.0","12242.0","","Week 6","11504.0","11844.0","16198.0","101322.0","","6.0","68533.0","81989.0","113697.0","875553.0"
"32928.0","7.0","32921.0","13703.0","","Week 7","12636.0","12577.0","15649.0","74476.0","","7.0","81169.0","94566.0","129346.0","950029.0"
"32935.0","8.0","32928.0","13342.0","","Week 8","11158.0","13190.0","17604.0","72671.0","","8.0","92327.0","107756.0","146950.0","1022700.0"
"32942.0","9.0","32935.0","13772.0","","Week 9","11291.0","12887.0","13692.0","72780.0","","9.0","103618.0","120643.0","160642.0","1095480.0"
"32949.0","10.0","32942.0","12250.0","","Week 10","11367.0","14113.0","13352.0","58263.0","","10.0","114985.0","134756.0","173994.0","1153743.0"
"32956.0","11.0","32949.0","11185.0","","Week 11","10873.0","13140.0","13681.0","46385.0","","11.0","125858.0","147896.0","187675.0","1200128.0"
"32963.0","12.0","32956.0","11421.0","","Week 12","16657.0","17536.0","14745.0","44606.0","","12.0","142515.0","165432.0","202420.0","1244734.0"
"32970.0","13.0","32963.0","18957.0","","Week 13","13974.0","14361.0","13159.0","44694.0","","13.0","156489.0","179793.0","215579.0","1289428.0"
"32977.0","14.0","32970.0","11936.0","","Week 14","14024.0","13721.0","13350.0","46276.0","","14.0","170513.0","193514.0","228929.0","1335704.0"
"32984.0","15.0","32977.0","12453.0","","Week 15","15116.0","12802.0","12841.0","45752.0","","15.0","185629.0","206316.0","241770.0","1381456.0"
"32991.0","16.0","32984.0","10112.0","","Week 16","13771.0","19741.0","14931.0","39015.0","","16.0","199400.0","226057.0","256701.0","1420471.0"
"32998.0","17.0","32991.0","11541.0","","Week 17","16349.0","16034.0","13534.0","38261.0","","17.0","215749.0","242091.0","270235.0","1458732.0"
"33005.0","18.0","32998.0","10215.0","","Week 18","16842.0","16211.0","12357.0","35938.0","","18.0","232591.0","258302.0","282592.0","1494670.0"
"33012.0","19.0","33005.0","12351.0","","Week 19","16844.0","14256.0","12162.0","","","19.0","249435.0","272558.0","294754.0",""
"33019.0","20.0","33012.0","12816.0","","Week 20","22106.0","12881.0","12943.0","","","20.0","271541.0","285439.0","307697.0",""
"33026.0","21.0","33019.0","10942.0","","Week 21","24675.0","12665.0","12516.0","","","21.0","296216.0","298104.0","320213.0",""
"33033.0","22.0","33026.0","13446.0","","Week 22","21519.0","12410.0","12171.0","","","22.0","317735.0","310514.0","332384.0",""
"33040.0","23.0","33033.0","12023.0","","Week 23","27815.0","12221.0","12480.0","","","23.0","345550.0","322735.0","344864.0",""
"33047.0","24.0","33040.0","12057.0","","Week 24","24383.0","11967.0","12456.0","","","24.0","369933.0","334702.0","357320.0",""
"33054.0","25.0","33047.0","12922.0","","Week 25","25324.0","10934.0","15560.0","","","25.0","395257.0","345636.0","372880.0",""
"33061.0","26.0","33054.0","16122.0","","Week 26","28957.0","11298.0","14727.0","","","26.0","424214.0","356934.0","387607.0",""
"33068.0","27.0","33061.0","15869.0","","Week 27","22676.0","15197.0","13281.0","","","27.0","446890.0","372131.0","400888.0",""
"33075.0","28.0","33068.0","12342.0","","Week 28","20051.0","15487.0","12072.0","","","28.0","466941.0","387618.0","412960.0",""
"33082.0","29.0","33075.0","12173.0","","Week 29","20413.0","19010.0","13908.0","","","29.0","487354.0","406628.0","426868.0",""
"33089.0","30.0","33082.0","8587.0","","Week 30","20867.0","14486.0","13708.0","","","30.0","508221.0","421114.0","440576.0",""
"33096.0","31.0","33089.0","11971.0","","Week 31","21183.0","17787.0","14914.0","","","31.0","529404.0","438901.0","455490.0",""
"33103.0","32.0","33096.0","11956.0","","Week 32","16303.0","19154.0","16410.0","","","32.0","545707.0","458055.0","471900.0",""
"33110.0","33.0","33103.0","11504.0","","Week 33","18712.0","16465.0","20573.0","","","33.0","564419.0","474520.0","492473.0",""
"33117.0","34.0","33110.0","12636.0","","Week 34","22572.0","18456.0","16524.0","","","34.0","586991.0","492976.0","508997.0",""
"33124.0","35.0","33117.0","11158.0","","Week 35","17569.0","16781.0","12978.0","","","35.0","604560.0","509757.0","521975.0",""
"33131.0","36.0","33124.0","11291.0","","Week 36","16273.0","16957.0","13564.0","","","36.0","620833.0","526714.0","535539.0",""
"33138.0","37.0","33131.0","11367.0","","Week 37","17059.0","24599.0","14054.0","","","37.0","637892.0","551313.0","549593.0",""
"33145.0","38.0","33138.0","10873.0","","Week 38","18266.0","","12161.0","","","38.0","656158.0","","561754.0",""
"33152.0","39.0","33145.0","16657.0","","Week 39","","","14261.0","","","39.0","","","576015.0",""
"33159.0","40.0","33152.0","13974.0","","Week 40","","","12892.0","","","40.0","","","588907.0",""
"33166.0","41.0","33159.0","14024.0","","Week 41","","","12737.0","","","41.0","","","601644.0",""
"33173.0","42.0","33166.0","15116.0","","Week 42","","","14231.0","","","42.0","","","615875.0",""
"33180.0","43.0","33173.0","13771.0","","Week 43","","","16291.0","","","43.0","","","632166.0",""
"33187.0","44.0","33180.0","16349.0","","Week 44","","","12496.0","","","44.0","","","644662.0",""
"33194.0","45.0","33187.0","16842.0","","Week 45","","","16810.0","","","45.0","","","661472.0",""
"33201.0","46.0","33194.0","16844.0","","Week 46","","","17317.0","","","46.0","","","678789.0",""
"33208.0","47.0","33201.0","22106.0","","Week 47","","","18492.0","","","47.0","","","697281.0",""
"33215.0","48.0","33208.0","24675.0","","Week 48","","","23777.0","","","48.0","","","721058.0",""
"33222.0","49.0","33215.0","21519.0","","Week 49","","","26086.0","","","49.0","","","747144.0",""
"33229.0","50.0","33222.0","27815.0","","Week 50","","","21108.0","","","50.0","","","768252.0",""
"33236.0","51.0","33229.0","24383.0","","Week 51","","","32450.0","","","51.0","","","800702.0",""
"33243.0","52.0","33236.0","25324.0","","Week 52","","","33412.0","","","52.0","","","834114.0",""
"33250.0","1.0","33243.0","28957.0","","Week 53","","","32218.0","","","53.0","","","866332.0",""
"33257.0","2.0","33250.0","22676.0","","Week 54","","","31047.0","","","54.0","","","897379.0",""
"33264.0","3.0","33257.0","20051.0","","Week 55","","","21320.0","","","55.0","","","918699.0",""
"33271.0","4.0","33264.0","20413.0","","Week 56","","","34524.0","","","56.0","","","953223.0",""
"33278.0","5.0","33271.0","20867.0","","Week 57","","","27581.0","","","57.0","","","980804.0",""
"33285.0","6.0","33278.0","21183.0","","Week 58","","","25862.0","","","58.0","","","1006666.0",""
"33292.0","7.0","33285.0","16303.0","","Week 59","","","26077.0","","","59.0","","","1032743.0",""
"33299.0","8.0","33292.0","18712.0","","Week 60","","","29707.0","","","60.0","","","1062450.0",""
"33306.0","9.0","33299.0","22572.0","","Week 61","","","23459.0","","","61.0","","","1085909.0",""
"33313.0","10.0","33306.0","17569.0","","Week 62","","","27250.0","","","62.0","","","1113159.0",""
"33320.0","11.0","33313.0","16273.0","","Week 63","","","26361.0","","","63.0","","","1139520.0",""
"33327.0","12.0","33320.0","17059.0","","Week 64","","","25753.0","","","64.0","","","1165273.0",""
"33334.0","13.0","33327.0","18266.0","","Week 65","","","25605.0","","","65.0","","","1190878.0",""
"33341.0","14.0","33334.0","15557.0","","Week 66","","","24120.0","","","66.0","","","1214998.0",""
"33348.0","15.0","33341.0","17759.0","","Week 67","","","27618.0","","","67.0","","","1242616.0",""
"33355.0","16.0","33348.0","13368.0","","Week 68","","","29464.0","","","68.0","","","1272080.0",""
"33362.0","17.0","33355.0","13679.0","","Week 69","","","27718.0","","","69.0","","","1299798.0",""
