"Report date","Week #","Week ","OR","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19"
"32886.0","1.0","32879.0","8564.0","","Week 1","4989.0","8222.0","10842.0","30054.0","","1.0","4989.0","8222.0","10842.0","30054.0"
"32893.0","2.0","32886.0","5393.0","","Week 2","5865.0","9184.0","13415.0","47498.0","","2.0","10854.0","17406.0","24257.0","77552.0"
"32900.0","3.0","32893.0","6959.0","","Week 3","5518.0","10584.0","12918.0","62788.0","","3.0","16372.0","27990.0","37175.0","140340.0"
"32907.0","4.0","32900.0","7044.0","","Week 4","5212.0","8469.0","10479.0","54581.0","","4.0","21584.0","36459.0","47654.0","194921.0"
"32914.0","5.0","32907.0","7567.0","","Week 5","4835.0","7909.0","8770.0","37209.0","","5.0","26419.0","44368.0","56424.0","232130.0"
"32921.0","6.0","32914.0","7797.0","","Week 6","4480.0","8402.0","7764.0","49300.0","","6.0","30899.0","52770.0","64188.0","281430.0"
"32928.0","7.0","32921.0","6413.0","","Week 7","4246.0","7768.0","10037.0","48120.0","","7.0","35145.0","60538.0","74225.0","329550.0"
"32935.0","8.0","32928.0","5622.0","","Week 8","3806.0","6893.0","10419.0","33936.0","","8.0","38951.0","67431.0","84644.0","363486.0"
"32942.0","9.0","32935.0","5904.0","","Week 9","5726.0","7569.0","7341.0","23539.0","","9.0","44677.0","75000.0","91985.0","387025.0"
"32949.0","10.0","32942.0","4841.0","","Week 10","4099.0","7027.0","7161.0","28452.0","","10.0","48776.0","82027.0","99146.0","415477.0"
"32956.0","11.0","32949.0","5464.0","","Week 11","4041.0","6622.0","7662.0","20565.0","","11.0","52817.0","88649.0","106808.0","436042.0"
"32963.0","12.0","32956.0","4346.0","","Week 12","6380.0","7981.0","7587.0","24508.0","","12.0","59197.0","96630.0","114395.0","460550.0"
"32970.0","13.0","32963.0","5642.0","","Week 13","5955.0","7551.0","7035.0","24645.0","","13.0","65152.0","104181.0","121430.0","485195.0"
"32977.0","14.0","32970.0","5228.0","","Week 14","7572.0","7808.0","7668.0","16274.0","","14.0","72724.0","111989.0","129098.0","501469.0"
"32984.0","15.0","32977.0","4108.0","","Week 15","6899.0","7264.0","9334.0","11195.0","","15.0","79623.0","119253.0","138432.0","512664.0"
"32991.0","16.0","32984.0","4603.0","","Week 16","8048.0","10185.0","9045.0","10343.0","","16.0","87671.0","129438.0","147477.0","523007.0"
"32998.0","17.0","32991.0","4922.0","","Week 17","7390.0","9448.0","7399.0","11713.0","","17.0","95061.0","138886.0","154876.0","534720.0"
"33005.0","18.0","32998.0","4953.0","","Week 18","7829.0","8613.0","6547.0","10152.0","","18.0","102890.0","147499.0","161423.0","544872.0"
"33012.0","19.0","33005.0","4063.0","","Week 19","9558.0","7676.0","7650.0","9417.0","","19.0","112448.0","155175.0","169073.0","554289.0"
"33019.0","20.0","33012.0","5142.0","","Week 20","8398.0","7307.0","8054.0","7275.0","","20.0","120846.0","162482.0","177127.0","561564.0"
"33026.0","21.0","33019.0","5402.0","","Week 21","8279.0","8474.0","6910.0","6505.0","","21.0","129125.0","170956.0","184037.0","568069.0"
"33033.0","22.0","33026.0","6002.0","","Week 22","7672.0","7000.0","6436.0","5233.0","","22.0","136797.0","177956.0","190473.0","573302.0"
"33040.0","23.0","33033.0","4987.0","","Week 23","9547.0","7044.0","6273.0","5152.0","","23.0","146344.0","185000.0","196746.0","578454.0"
"33047.0","24.0","33040.0","4738.0","","Week 24","14982.0","7310.0","6969.0","5114.0","","24.0","161326.0","192310.0","203715.0","583568.0"
"33054.0","25.0","33047.0","4979.0","","Week 25","11647.0","7215.0","8499.0","5228.0","","25.0","172973.0","199525.0","212214.0","588796.0"
"33061.0","26.0","33054.0","7816.0","","Week 26","10818.0","8030.0","7744.0","4804.0","","26.0","183791.0","207555.0","219958.0","593600.0"
"33068.0","27.0","33061.0","6154.0","","Week 27","8476.0","7030.0","7738.0","8055.0","","27.0","192267.0","214585.0","227696.0","601655.0"
"33075.0","28.0","33068.0","4989.0","","Week 28","6962.0","7594.0","6774.0","5738.0","","28.0","199229.0","222179.0","234470.0","607393.0"
"33082.0","29.0","33075.0","5865.0","","Week 29","7746.0","9848.0","8752.0","4408.0","","29.0","206975.0","232027.0","243222.0","611801.0"
"33089.0","30.0","33082.0","5518.0","","Week 30","8200.0","8696.0","8645.0","4773.0","","30.0","215175.0","240723.0","251867.0","616574.0"
"33096.0","31.0","33089.0","5212.0","","Week 31","8814.0","8931.0","5948.0","4767.0","","31.0","223989.0","249654.0","257815.0","621341.0"
"33103.0","32.0","33096.0","4835.0","","Week 32","6751.0","10484.0","6765.0","4529.0","","32.0","230740.0","260138.0","264580.0","625870.0"
"33110.0","33.0","33103.0","4480.0","","Week 33","7037.0","10795.0","6795.0","4020.0","","33.0","237777.0","270933.0","271375.0","629890.0"
"33117.0","34.0","33110.0","4246.0","","Week 34","7730.0","10656.0","7049.0","4445.0","","34.0","245507.0","281589.0","278424.0","634335.0"
"33124.0","35.0","33117.0","3806.0","","Week 35","7035.0","10641.0","7405.0","5788.0","","35.0","252542.0","292230.0","285829.0","640123.0"
"33131.0","36.0","33124.0","5726.0","","Week 36","7672.0","15036.0","6842.0","9910.0","","36.0","260214.0","307266.0","292671.0","650033.0"
"33138.0","37.0","33131.0","4099.0","","Week 37","6539.0","11806.0","6891.0","15371.0","","37.0","266753.0","319072.0","299562.0","665404.0"
"33145.0","38.0","33138.0","4041.0","","Week 38","7640.0","","7034.0","14720.0","","38.0","274393.0","","306596.0","680124.0"
"33152.0","39.0","33145.0","6380.0","","Week 39","","","8789.0","","","39.0","","","315385.0",""
"33159.0","40.0","33152.0","5955.0","","Week 40","","","7801.0","","","40.0","","","323186.0",""
"33166.0","41.0","33159.0","7572.0","","Week 41","","","7985.0","","","41.0","","","331171.0",""
"33173.0","42.0","33166.0","6899.0","","Week 42","","","8702.0","","","42.0","","","339873.0",""
"33180.0","43.0","33173.0","8048.0","","Week 43","","","8159.0","","","43.0","","","348032.0",""
"33187.0","44.0","33180.0","7390.0","","Week 44","","","9961.0","","","44.0","","","357993.0",""
"33194.0","45.0","33187.0","7829.0","","Week 45","","","10423.0","","","45.0","","","368416.0",""
"33201.0","46.0","33194.0","9558.0","","Week 46","","","10456.0","","","46.0","","","378872.0",""
"33208.0","47.0","33201.0","8398.0","","Week 47","","","13207.0","","","47.0","","","392079.0",""
"33215.0","48.0","33208.0","8279.0","","Week 48","","","12281.0","","","48.0","","","404360.0",""
"33222.0","49.0","33215.0","7672.0","","Week 49","","","14404.0","","","49.0","","","418764.0",""
"33229.0","50.0","33222.0","9547.0","","Week 50","","","15444.0","","","50.0","","","434208.0",""
"33236.0","51.0","33229.0","14982.0","","Week 51","","","17849.0","","","51.0","","","452057.0",""
"33243.0","52.0","33236.0","11647.0","","Week 52","","","13885.0","","","52.0","","","465942.0",""
"33250.0","1.0","33243.0","10818.0","","Week 53","","","19451.0","","","53.0","","","485393.0",""
"33257.0","2.0","33250.0","8476.0","","Week 54","","","20916.0","","","54.0","","","506309.0",""
"33264.0","3.0","33257.0","6962.0","","Week 55","","","18490.0","","","55.0","","","524799.0",""
"33271.0","4.0","33264.0","7746.0","","Week 56","","","17634.0","","","56.0","","","542433.0",""
"33278.0","5.0","33271.0","8200.0","","Week 57","","","14759.0","","","57.0","","","557192.0",""
"33285.0","6.0","33278.0","8814.0","","Week 58","","","13703.0","","","58.0","","","570895.0",""
"33292.0","7.0","33285.0","6751.0","","Week 59","","","16411.0","","","59.0","","","587306.0",""
"33299.0","8.0","33292.0","7037.0","","Week 60","","","15665.0","","","60.0","","","602971.0",""
"33306.0","9.0","33299.0","7730.0","","Week 61","","","13853.0","","","61.0","","","616824.0",""
"33313.0","10.0","33306.0","7035.0","","Week 62","","","12392.0","","","62.0","","","629216.0",""
"33320.0","11.0","33313.0","7672.0","","Week 63","","","16393.0","","","63.0","","","645609.0",""
"33327.0","12.0","33320.0","6539.0","","Week 64","","","15254.0","","","64.0","","","660863.0",""
"33334.0","13.0","33327.0","7640.0","","Week 65","","","12984.0","","","65.0","","","673847.0",""
"33341.0","14.0","33334.0","7592.0","","Week 66","","","12794.0","","","66.0","","","686641.0",""
"33348.0","15.0","33341.0","6190.0","","Week 67","","","15228.0","","","67.0","","","701869.0",""
"33355.0","16.0","33348.0","6002.0","","Week 68","","","15983.0","","","68.0","","","717852.0",""
"33362.0","17.0","33355.0","6624.0","","Week 69","","","11403.0","","","69.0","","","729255.0",""
"33369.0","18.0","33362.0","6013.0","","Week 70","","","12580.0","","","70.0","","","741835.0",""
"33376.0","19.0","33369.0","5541.0","","Week 71","","","12126.0","","","71.0","","","753961.0",""
"33383.0","20.0","33376.0","5990.0","","Week 72","","","11219.0","","","72.0","","","765180.0",""
"33390.0","21.0","33383.0","5091.0","","Week 73","","","11736.0","","","73.0","","","776916.0",""
"33397.0","22.0","33390.0","6114.0","","Week 74","","","10655.0","","","74.0","","","787571.0",""
"33404.0","23.0","33397.0","5523.0","","Week 75","","","11121.0","","","75.0","","","798692.0",""
"33411.0","24.0","33404.0","5909.0","","Week 76","","","10914.0","","","76.0","","","809606.0",""
"33418.0","25.0","33411.0","5526.0","","Week 77","","","12153.0","","","77.0","","","821759.0",""
"33425.0","26.0","33418.0","7794.0","","Week 78","","","10555.0","","","78.0","","","832314.0",""
"33432.0","27.0","33425.0","7204.0","","Week 79","","","13617.0","","","79.0","","","845931.0",""
"33439.0","28.0","33432.0","5784.0","","Week 80","","","11269.0","","","80.0","","","857200.0",""
"33446.0","29.0","33439.0","5163.0","","Week 81","","","9815.0","","","81.0","","","867015.0",""
"33453.0","30.0","33446.0","5976.0","","","","","","","","","","","",""
"33460.0","31.0","33453.0","5722.0","","","","","","","","","","","",""
"33467.0","32.0","33460.0","4938.0","","","","","","","","","","","",""
"33474.0","33.0","33467.0","4982.0","","","","","","","","","","","",""
"33481.0","34.0","33474.0","4705.0","","","","","","","","","","","",""
"33488.0","35.0","33481.0","5140.0","","","","","","","","","","","",""
"33495.0","36.0","33488.0","5640.0","","","","","","","","","","","",""
"33502.0","37.0","33495.0","4421.0","","","","","","","","","","","",""
"33509.0","38.0","33502.0","6362.0","","","","","","","","","","","",""
"33516.0","39.0","33509.0","7004.0","","","","","","","","","","","",""
"33523.0","40.0","33516.0","6868.0","","","","","","","","","","","",""
"33530.0","41.0","33523.0","7998.0","","","","","","","","","","","",""
"33537.0","42.0","33530.0","6841.0","","","","","","","","","","","",""
"33544.0","43.0","33537.0","7928.0","","","","","","","","","","","",""
"33551.0","44.0","33544.0","8988.0","","","","","","","","","","","",""
"33558.0","45.0","33551.0","7734.0","","","","","","","","","","","",""
"33565.0","46.0","33558.0","8914.0","","","","","","","","","","","",""
"33572.0","47.0","33565.0","10970.0","","","","","","","","","","","",""
"33579.0","48.0","33572.0","10055.0","","","","","","","","","","","",""
"33586.0","49.0","33579.0","8298.0","","","","","","","","","","","",""
"33593.0","50.0","33586.0","8191.0","","","","","","","","","","","",""
"33600.0","51.0","33593.0","13517.0","","","","","","","","","","","",""
"33607.0","52.0","33600.0","11898.0","","","","","","","","","","","",""
"33614.0","1.0","33607.0","12039.0","","","","","","","","","","","",""
"33621.0","2.0","33614.0","9013.0","","","","","","","","","","","",""
"33628.0","3.0","33621.0","7105.0","","","","","","","","","","","",""
"33635.0","4.0","33628.0","9303.0","","","","","","","","","","","",""
"33642.0","5.0","33635.0","8619.0","","","","","","","","","","","",""
"33649.0","6.0","33642.0","7297.0","","","","","","","","","","","",""
"33656.0","7.0","33649.0","7038.0","","","","","","","","","","","",""
"33663.0","8.0","33656.0","7917.0","","","","","","","","","","","",""
"33670.0","9.0","33663.0","7006.0","","","","","","","","","","","",""
"33677.0","10.0","33670.0","7122.0","","","","","","","","","","","",""
"33684.0","11.0","33677.0","5996.0","","","","","","","","","","","",""
"33691.0","12.0","33684.0","6259.0","","","","","","","","","","","",""
"33698.0","13.0","33691.0","6997.0","","","","","","","","","","","",""
"33705.0","14.0","33698.0","6473.0","","","","","","","","","","","",""
"33712.0","15.0","33705.0","6913.0","","","","","","","","","","","",""
"33719.0","16.0","33712.0","6408.0","","","","","","","","","","","",""
"33726.0","17.0","33719.0","5678.0","","","","","","","","","","","",""
"33733.0","18.0","33726.0","5804.0","","","","","","","","","","","",""
"33740.0","19.0","33733.0","3480.0","","","","","","","","","","","",""
"33747.0","20.0","33740.0","6636.0","","","","","","","","","","","",""
"33754.0","21.0","33747.0","5080.0","","","","","","","","","","","",""
"33761.0","22.0","33754.0","6487.0","","","","","","","","","","","",""
"33768.0","23.0","33761.0","5688.0","","","","","","","","","","","",""
"33775.0","24.0","33768.0","6343.0","","","","","","","","","","","",""
"33782.0","25.0","33775.0","5541.0","","","","","","","","","","","",""
"33789.0","26.0","33782.0","8005.0","","","","","","","","","","","",""
"33796.0","27.0","33789.0","8263.0","","","","","","","","","","","",""
"33803.0","28.0","33796.0","6083.0","","","","","","","","","","","",""
"33810.0","29.0","33803.0","5209.0","","","","","","","","","","","",""
"33817.0","30.0","33810.0","4969.0","","","","","","","","","","","",""
"33824.0","31.0","33817.0","6123.0","","","","","","","","","","","",""
"33831.0","32.0","33824.0","5889.0","","","","","","","","","","","",""
"33838.0","33.0","33831.0","5417.0","","","","","","","","","","","",""
"33845.0","34.0","33838.0","5791.0","","","","","","","","","","","",""
"33852.0","35.0","33845.0","6878.0","","","","","","","","","","","",""
"33859.0","36.0","33852.0","4494.0","","","","","","","","","","","",""
"33866.0","37.0","33859.0","5152.0","","","","","","","","","","","",""
"33873.0","38.0","33866.0","4741.0","","","","","","","","","","","",""
"33880.0","39.0","33873.0","4916.0","","","","","","","","","","","",""
"33887.0","40.0","33880.0","5256.0","","","","","","","","","","","",""
"33894.0","41.0","33887.0","6223.0","","","","","","","","","","","",""
"33901.0","42.0","33894.0","6059.0","","","","","","","","","","","",""
"33908.0","43.0","33901.0","5985.0","","","","","","","","","","","",""
"33915.0","44.0","33908.0","7475.0","","","","","","","","","","","",""
"33922.0","45.0","33915.0","6554.0","","","","","","","","","","","",""
"33929.0","46.0","33922.0","7542.0","","","","","","","","","","","",""
"33936.0","47.0","33929.0","7531.0","","","","","","","","","","","",""
"33943.0","48.0","33936.0","7483.0","","","","","","","","","","","",""
"33950.0","49.0","33943.0","8120.0","","","","","","","","","","","",""
"33957.0","50.0","33950.0","7171.0","","","","","","","","","","","",""
"33964.0","51.0","33957.0","9093.0","","","","","","","","","","","",""
"33971.0","52.0","33964.0","8573.0","","","","","","","","","","","",""
"33978.0","1.0","33971.0","11599.0","","","","","","","","","","","",""
"33985.0","2.0","33978.0","9741.0","","","","","","","","","","","",""
"33992.0","3.0","33985.0","7782.0","","","","","","","","","","","",""
"33999.0","4.0","33992.0","7920.0","","","","","","","","","","","",""
"34006.0","5.0","33999.0","6978.0","","","","","","","","","","","",""
"34013.0","6.0","34006.0","6172.0","","","","","","","","","","","",""
"34020.0","7.0","34013.0","5859.0","","","","","","","","","","","",""
"34027.0","8.0","34020.0","7308.0","","","","","","","","","","","",""
"34034.0","9.0","34027.0","6686.0","","","","","","","","","","","",""
"34041.0","10.0","34034.0","5586.0","","","","","","","","","","","",""
"34048.0","11.0","34041.0","5785.0","","","","","","","","","","","",""
"34055.0","12.0","34048.0","5901.0","","","","","","","","","","","",""
"34062.0","13.0","34055.0","5765.0","","","","","","","","","","","",""
"34069.0","14.0","34062.0","7362.0","","","","","","","","","","","",""
"34076.0","15.0","34069.0","5887.0","","","","","","","","","","","",""
"34083.0","16.0","34076.0","5644.0","","","","","","","","","","","",""
"34090.0","17.0","34083.0","5070.0","","","","","","","","","","","",""
"34097.0","18.0","34090.0","5828.0","","","","","","","","","","","",""
"34104.0","19.0","34097.0","5127.0","","","","","","","","","","","",""
"34111.0","20.0","34104.0","4744.0","","","","","","","","","","","",""
"34118.0","21.0","34111.0","5071.0","","","","","","","","","","","",""
"34125.0","22.0","34118.0","5654.0","","","","","","","","","","","",""
"34132.0","23.0","34125.0","5288.0","","","","","","","","","","","",""
"34139.0","24.0","34132.0","5422.0","","","","","","","","","","","",""
"34146.0","25.0","34139.0","5737.0","","","","","","","","","","","",""
"34153.0","26.0","34146.0","5226.0","","","","","","","","","","","",""
"34160.0","27.0","34153.0","7390.0","","","","","","","","","","","",""
"34167.0","28.0","34160.0","5828.0","","","","","","","","","","","",""
"34174.0","29.0","34167.0","5455.0","","","","","","","","","","","",""
"34181.0","30.0","34174.0","4577.0","","","","","","","","","","","",""
"34188.0","31.0","34181.0","4633.0","","","","","","","","","","","",""
"34195.0","32.0","34188.0","4437.0","","","","","","","","","","","",""
"34202.0","33.0","34195.0","4202.0","","","","","","","","","","","",""
"34209.0","34.0","34202.0","4011.0","","","","","","","","","","","",""
"34216.0","35.0","34209.0","4060.0","","","","","","","","","","","",""
"34223.0","36.0","34216.0","3999.0","","","","","","","","","","","",""
"34230.0","37.0","34223.0","4382.0","","","","","","","","","","","",""
"34237.0","38.0","34230.0","3662.0","","","","","","","","","","","",""
"34244.0","39.0","34237.0","4240.0","","","","","","","","","","","",""
"34251.0","40.0","34244.0","6123.0","","","","","","","","","","","",""
"34258.0","41.0","34251.0","5040.0","","","","","","","","","","","",""
"34265.0","42.0","34258.0","6714.0","","","","","","","","","","","",""
"34272.0","43.0","34265.0","4719.0","","","","","","","","","","","",""
"34279.0","44.0","34272.0","6852.0","","","","","","","","","","","",""
"34286.0","45.0","34279.0","5831.0","","","","","","","","","","","",""
"34293.0","46.0","34286.0","7730.0","","","","","","","","","","","",""
"34300.0","47.0","34293.0","7506.0","","","","","","","","","","","",""
"34307.0","48.0","34300.0","8751.0","","","","","","","","","","","",""
"34314.0","49.0","34307.0","8449.0","","","","","","","","","","","",""
"34321.0","50.0","34314.0","5335.0","","","","","","","","","","","",""
