"Report date","Week #","Week ","AL","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19"
"32886.0","1.0","32879.0","21868.0","","Week 1","12924.0","4626.0","5291.0","10892.0","","1.0","12924.0","4626.0","5291.0","10892.0"
"32893.0","2.0","32886.0","14723.0","","Week 2","9141.0","5367.0","5807.0","80984.0","","2.0","22065.0","9993.0","11098.0","91876.0"
"32900.0","3.0","32893.0","9275.0","","Week 3","8406.0","10372.0","12507.0","106739.0","","3.0","30471.0","20365.0","23605.0","198615.0"
"32907.0","4.0","32900.0","7089.0","","Week 4","6965.0","5378.0","11335.0","77515.0","","4.0","37436.0","25743.0","34940.0","276130.0"
"32914.0","5.0","32907.0","9078.0","","Week 5","5555.0","4613.0","6792.0","66432.0","","5.0","42991.0","30356.0","41732.0","342562.0"
"32921.0","6.0","32914.0","7579.0","","Week 6","6213.0","7207.0","4147.0","74966.0","","6.0","49204.0","37563.0","45879.0","417528.0"
"32928.0","7.0","32921.0","7930.0","","Week 7","5894.0","6024.0","4997.0","28985.0","","7.0","55098.0","43587.0","50876.0","446513.0"
"32935.0","8.0","32928.0","7196.0","","Week 8","7258.0","5626.0","4563.0","26666.0","","8.0","62356.0","49213.0","55439.0","473179.0"
"32942.0","9.0","32935.0","6087.0","","Week 9","5593.0","5096.0","4390.0","25150.0","","9.0","67949.0","54309.0","59829.0","498329.0"
"32949.0","10.0","32942.0","4760.0","","Week 10","5184.0","5703.0","5276.0","27919.0","","10.0","73133.0","60012.0","65105.0","526248.0"
"32956.0","11.0","32949.0","12575.0","","Week 11","5078.0","6851.0","4573.0","21335.0","","11.0","78211.0","66863.0","69678.0","547583.0"
"32963.0","12.0","32956.0","7613.0","","Week 12","6238.0","7438.0","4312.0","19949.0","","12.0","84449.0","74301.0","73990.0","567532.0"
"32970.0","13.0","32963.0","6542.0","","Week 13","6916.0","7925.0","4197.0","18367.0","","13.0","91365.0","82226.0","78187.0","585899.0"
"32977.0","14.0","32970.0","5674.0","","Week 14","5519.0","6391.0","3776.0","18671.0","","14.0","96884.0","88617.0","81963.0","604570.0"
"32984.0","15.0","32977.0","15414.0","","Week 15","6963.0","5503.0","5340.0","18338.0","","15.0","103847.0","94120.0","87303.0","622908.0"
"32991.0","16.0","32984.0","5063.0","","Week 16","8978.0","5141.0","5793.0","19056.0","","16.0","112825.0","99261.0","93096.0","641964.0"
"32998.0","17.0","32991.0","6932.0","","Week 17","7463.0","16652.0","4686.0","20563.0","","17.0","120288.0","115913.0","97782.0","662527.0"
"33005.0","18.0","32998.0","6522.0","","Week 18","6424.0","9058.0","4308.0","23676.0","","18.0","126712.0","124971.0","102090.0","686203.0"
"33012.0","19.0","33005.0","4916.0","","Week 19","5054.0","7107.0","5005.0","17437.0","","19.0","131766.0","132078.0","107095.0","703640.0"
"33019.0","20.0","33012.0","5138.0","","Week 20","13544.0","5751.0","4030.0","11690.0","","20.0","145310.0","137829.0","111125.0","715330.0"
"33026.0","21.0","33019.0","6468.0","","Week 21","12549.0","4698.0","5066.0","9467.0","","21.0","157859.0","142527.0","116191.0","724797.0"
"33033.0","22.0","33026.0","5190.0","","Week 22","8079.0","5679.0","4729.0","11047.0","","22.0","165938.0","148206.0","120920.0","735844.0"
"33040.0","23.0","33033.0","4869.0","","Week 23","9238.0","5522.0","5064.0","8676.0","","23.0","175176.0","153728.0","125984.0","744520.0"
"33047.0","24.0","33040.0","5384.0","","Week 24","12745.0","4320.0","5549.0","8511.0","","24.0","187921.0","158048.0","131533.0","753031.0"
"33054.0","25.0","33047.0","4526.0","","Week 25","18288.0","4944.0","5023.0","8901.0","","25.0","206209.0","162992.0","136556.0","761932.0"
"33061.0","26.0","33054.0","7358.0","","Week 26","24282.0","7328.0","5547.0","8848.0","","26.0","230491.0","170320.0","142103.0","770780.0"
"33068.0","27.0","33061.0","15279.0","","Week 27","21353.0","5766.0","4117.0","8679.0","","27.0","251844.0","176086.0","146220.0","779459.0"
"33075.0","28.0","33068.0","12924.0","","Week 28","12607.0","5257.0","4743.0","8805.0","","28.0","264451.0","181343.0","150963.0","788264.0"
"33082.0","29.0","33075.0","9141.0","","Week 29","10777.0","6729.0","5338.0","7732.0","","29.0","275228.0","188072.0","156301.0","795996.0"
"33089.0","30.0","33082.0","8406.0","","Week 30","10881.0","7139.0","10611.0","8581.0","","30.0","286109.0","195211.0","166912.0","804577.0"
"33096.0","31.0","33089.0","6965.0","","Week 31","7714.0","5800.0","7577.0","7964.0","","31.0","293823.0","201011.0","174489.0","812541.0"
"33103.0","32.0","33096.0","5555.0","","Week 32","7891.0","6529.0","5287.0","6661.0","","32.0","301714.0","207540.0","179776.0","819202.0"
"33110.0","33.0","33103.0","6213.0","","Week 33","10006.0","8538.0","4856.0","","","33.0","311720.0","216078.0","184632.0",""
"33117.0","34.0","33110.0","5894.0","","Week 34","7553.0","6021.0","4866.0","","","34.0","319273.0","222099.0","189498.0",""
"33124.0","35.0","33117.0","7258.0","","Week 35","7206.0","8235.0","4628.0","","","35.0","326479.0","230334.0","194126.0",""
"33131.0","36.0","33124.0","5593.0","","Week 36","6724.0","4181.0","5796.0","","","36.0","333203.0","234515.0","199922.0",""
