"Report date","Week #","Week ","OK","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19"
"32886.0","1.0","32879.0","8468.0","","Week 1","2274.0","2411.0","4768.0","21926.0","","1.0","2274.0","2411.0","4768.0","21926.0"
"32893.0","2.0","32886.0","2582.0","","Week 2","1837.0","1408.0","2725.0","47744.0","","2.0","4111.0","3819.0","7493.0","69670.0"
"32900.0","3.0","32893.0","2545.0","","Week 3","6067.0","1822.0","2529.0","60534.0","","3.0","10178.0","5641.0","10022.0","130204.0"
"32907.0","4.0","32900.0","7624.0","","Week 4","1817.0","1896.0","2432.0","54481.0","","4.0","11995.0","7537.0","12454.0","184685.0"
"32914.0","5.0","32907.0","2452.0","","Week 5","1638.0","1649.0","1907.0","46696.0","","5.0","13633.0","9186.0","14361.0","231381.0"
"32921.0","6.0","32914.0","2178.0","","Week 6","2017.0","1925.0","1999.0","52500.0","","6.0","15650.0","11111.0","16360.0","283881.0"
"32928.0","7.0","32921.0","2358.0","","Week 7","3759.0","1679.0","2184.0","93885.0","","7.0","19409.0","12790.0","18544.0","377766.0"
"32935.0","8.0","32928.0","2447.0","","Week 8","1766.0","1683.0","1868.0","39079.0","","8.0","21175.0","14473.0","20412.0","416845.0"
"32942.0","9.0","32935.0","2443.0","","Week 9","1777.0","3879.0","1572.0","33440.0","","9.0","22952.0","18352.0","21984.0","450285.0"
"32949.0","10.0","32942.0","2037.0","","Week 10","1762.0","2539.0","1384.0","43714.0","","10.0","24714.0","20891.0","23368.0","493999.0"
"32956.0","11.0","32949.0","3107.0","","Week 11","2774.0","2510.0","2149.0","60376.0","","11.0","27488.0","23401.0","25517.0","554375.0"
"32963.0","12.0","32956.0","1968.0","","Week 12","3277.0","2215.0","1712.0","77525.0","","12.0","30765.0","25616.0","27229.0","631900.0"
"32970.0","13.0","32963.0","7025.0","","Week 13","6434.0","1926.0","1877.0","56737.0","","13.0","37199.0","27542.0","29106.0","688637.0"
"32977.0","14.0","32970.0","1942.0","","Week 14","1901.0","1851.0","2156.0","","","14.0","39100.0","29393.0","31262.0",""
"32984.0","15.0","32977.0","1883.0","","Week 15","2322.0","1876.0","1852.0","","","15.0","41422.0","31269.0","33114.0",""
"32991.0","16.0","32984.0","2213.0","","Week 16","2753.0","3963.0","1783.0","","","16.0","44175.0","35232.0","34897.0",""
"32998.0","17.0","32991.0","2386.0","","Week 17","7606.0","2456.0","1997.0","","","17.0","51781.0","37688.0","36894.0",""
"33005.0","18.0","32998.0","3234.0","","Week 18","2989.0","2176.0","1819.0","","","18.0","54770.0","39864.0","38713.0",""
"33012.0","19.0","33005.0","1968.0","","Week 19","2091.0","1697.0","1729.0","","","19.0","56861.0","41561.0","40442.0",""
"33019.0","20.0","33012.0","1769.0","","Week 20","3646.0","1841.0","1542.0","","","20.0","60507.0","43402.0","41984.0",""
"33026.0","21.0","33019.0","1774.0","","Week 21","2663.0","3125.0","1767.0","","","21.0","63170.0","46527.0","43751.0",""
"33033.0","22.0","33026.0","2072.0","","Week 22","7455.0","1725.0","1796.0","","","22.0","70625.0","48252.0","45547.0",""
"33040.0","23.0","33033.0","2892.0","","Week 23","3097.0","1686.0","2278.0","","","23.0","73722.0","49938.0","47825.0",""
