"Report date","Week #","Week ","VA","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19"
"32886.0","1.0","32879.0","15204.0","","Week 1","6474.0","5978.0","7329.0","46277.0","","1.0","6474.0","5978.0","7329.0","46277.0"
"32893.0","2.0","32886.0","7417.0","","Week 2","5854.0","5360.0","7112.0","112497.0","","2.0","12328.0","11338.0","14441.0","158774.0"
"32900.0","3.0","32893.0","6449.0","","Week 3","5916.0","7204.0","9541.0","147369.0","","3.0","18244.0","18542.0","23982.0","306143.0"
"32907.0","4.0","32900.0","8013.0","","Week 4","5624.0","5183.0","10099.0","104619.0","","4.0","23868.0","23725.0","34081.0","410762.0"
"32914.0","5.0","32907.0","6878.0","","Week 5","6781.0","5466.0","6352.0","82729.0","","5.0","30649.0","29191.0","40433.0","493491.0"
"32921.0","6.0","32914.0","5929.0","","Week 6","5652.0","5459.0","6692.0","72488.0","","6.0","36301.0","34650.0","47125.0","565979.0"
"32928.0","7.0","32921.0","6213.0","","Week 7","5508.0","5493.0","6178.0","59631.0","","7.0","41809.0","40143.0","53303.0","625610.0"
"32935.0","8.0","32928.0","7444.0","","Week 8","6174.0","4834.0","6129.0","52139.0","","8.0","47983.0","44977.0","59432.0","677749.0"
"32942.0","9.0","32935.0","6268.0","","Week 9","5933.0","5890.0","5686.0","44699.0","","9.0","53916.0","50867.0","65118.0","722448.0"
"32949.0","10.0","32942.0","5118.0","","Week 10","6382.0","5751.0","5118.0","39242.0","","10.0","60298.0","56618.0","70236.0","761690.0"
"32956.0","11.0","32949.0","5234.0","","Week 11","5981.0","4090.0","5470.0","23","","11.0","66279.0","60708.0","75706.0","23"
"32963.0","12.0","32956.0","5487.0","","Week 12","6922.0","7139.0","5289.0","","","12.0","73201.0","67847.0","80995.0",""
"32970.0","13.0","32963.0","6995.0","","Week 13","7155.0","6325.0","5007.0","","","13.0","80356.0","74172.0","86002.0",""
"32977.0","14.0","32970.0","5061.0","","Week 14","12051.0","5842.0","5449.0","","","14.0","92407.0","80014.0","91451.0",""
"32984.0","15.0","32977.0","8493.0","","Week 15","14840.0","10695.0","4649.0","","","15.0","107247.0","90709.0","96100.0",""
"32991.0","16.0","32984.0","5192.0","","Week 16","9155.0","9674.0","5732.0","","","16.0","116402.0","100383.0","101832.0",""
"32998.0","17.0","32991.0","6970.0","","Week 17","10555.0","10160.0","4768.0","","","17.0","126957.0","110543.0","106600.0",""
"33005.0","18.0","32998.0","4364.0","","Week 18","10490.0","7837.0","4467.0","","","18.0","137447.0","118380.0","111067.0",""
"33012.0","19.0","33005.0","4343.0","","Week 19","12207.0","4884.0","4455.0","","","19.0","149654.0","123264.0","115522.0",""
"33019.0","20.0","33012.0","4342.0","","Week 20","11787.0","5480.0","5239.0","","","20.0","161441.0","128744.0","120761.0",""
