"Report date","Week #","Week ","AK","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19"
"32886.0","1.0","32879.0","2781.0","","Week 1","1202.0","1788.0","1810.0","7847.0","","1.0","1202.0","1788.0","1810.0","7847.0"
"32893.0","2.0","32886.0","2134.0","","Week 2","1104.0","1762.0","1385.0","13774.0","","2.0","2306.0","3550.0","3195.0","21621.0"
"32900.0","3.0","32893.0","1839.0","","Week 3","956.0","2008.0","1584.0","14590.0","","3.0","3262.0","5558.0","4779.0","36211.0"
"32907.0","4.0","32900.0","1760.0","","Week 4","917.0","1756.0","3181.0","12007.0","","4.0","4179.0","7314.0","7960.0","48218.0"
"32914.0","5.0","32907.0","1919.0","","Week 5","1067.0","1559.0","2097.0","12201.0","","5.0","5246.0","8873.0","10057.0","60419.0"
"32921.0","6.0","32914.0","1811.0","","Week 6","1069.0","1615.0","1701.0","10313.0","","6.0","6315.0","10488.0","11758.0","70732.0"
"32928.0","7.0","32921.0","1241.0","","Week 7","992.0","1669.0","1893.0","8718.0","","7.0","7307.0","12157.0","13651.0","79450.0"
"32935.0","8.0","32928.0","1730.0","","Week 8","974.0","1558.0","1634.0","7807.0","","8.0","8281.0","13715.0","15285.0","87257.0"
"32942.0","9.0","32935.0","1584.0","","Week 9","1339.0","1455.0","1481.0","7741.0","","9.0","9620.0","15170.0","16766.0","94998.0"
"32949.0","10.0","32942.0","1331.0","","Week 10","1213.0","1443.0","1475.0","8152.0","","10.0","10833.0","16613.0","18241.0","103150.0"
"32956.0","11.0","32949.0","1288.0","","Week 11","1135.0","1342.0","1461.0","7452.0","","11.0","11968.0","17955.0","19702.0","110602.0"
"32963.0","12.0","32956.0","1059.0","","Week 12","2299.0","1525.0","1588.0","7081.0","","12.0","14267.0","19480.0","21290.0","117683.0"
"32970.0","13.0","32963.0","1766.0","","Week 13","1943.0","1365.0","1540.0","6797.0","","13.0","16210.0","20845.0","22830.0","124480.0"
"32977.0","14.0","32970.0","1424.0","","Week 14","1640.0","1363.0","1552.0","6757.0","","14.0","17850.0","22208.0","24382.0","131237.0"
"32984.0","15.0","32977.0","1403.0","","Week 15","1997.0","1363.0","1507.0","6467.0","","15.0","19847.0","23571.0","25889.0","137704.0"
"32991.0","16.0","32984.0","1226.0","","Week 16","1966.0","1330.0","1267.0","6124.0","","16.0","21813.0","24901.0","27156.0","143828.0"
"32998.0","17.0","32991.0","1343.0","","Week 17","1698.0","1318.0","2013.0","9572.0","","17.0","23511.0","26219.0","29169.0","153400.0"
"33005.0","18.0","32998.0","1494.0","","Week 18","1669.0","1175.0","1648.0","6606.0","","18.0","25180.0","27394.0","30817.0","160006.0"
"33012.0","19.0","33005.0","1453.0","","Week 19","1658.0","1164.0","1402.0","6069.0","","19.0","26838.0","28558.0","32219.0","166075.0"
"33019.0","20.0","33012.0","1236.0","","Week 20","1932.0","1203.0","1481.0","5195.0","","20.0","28770.0","29761.0","33700.0","171270.0"
"33026.0","21.0","33019.0","1119.0","","Week 21","1700.0","1162.0","1394.0","4822.0","","21.0","30470.0","30923.0","35094.0","176092.0"
"33033.0","22.0","33026.0","1132.0","","Week 22","1526.0","1108.0","1344.0","","","22.0","31996.0","32031.0","36438.0",""
"33040.0","23.0","33033.0","1049.0","","Week 23","1688.0","1143.0","1449.0","","","23.0","33684.0","33174.0","37887.0",""
"33047.0","24.0","33040.0","1119.0","","Week 24","1301.0","1113.0","1381.0","","","24.0","34985.0","34287.0","39268.0",""
"33054.0","25.0","33047.0","994.0","","Week 25","2038.0","1290.0","1346.0","","","25.0","37023.0","35577.0","40614.0",""
"33061.0","26.0","33054.0","1094.0","","Week 26","2824.0","1490.0","1317.0","","","26.0","39847.0","37067.0","41931.0",""
"33068.0","27.0","33061.0","1163.0","","Week 27","2103.0","1738.0","1151.0","","","27.0","41950.0","38805.0","43082.0",""
