"Report date","Week #","Week ","MA","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19"
"33222.0","49.0","33215.0","13801.0","","Week 49","","","11261.0","","","49.0","","","400725.0",""
"33229.0","50.0","33222.0","15852.0","","Week 50","","","11844.0","","","50.0","","","412569.0",""
"33236.0","51.0","33229.0","32951.0","","Week 51","","","15454.0","","","51.0","","","428023.0",""
"33243.0","52.0","33236.0","19022.0","","Week 52","","","15779.0","","","52.0","","","443802.0",""
"33250.0","1.0","33243.0","15813.0","","Week 53","","","11763.0","","","53.0","","","455565.0",""
"33257.0","2.0","33250.0","15240.0","","Week 54","","","22028.0","","","54.0","","","477593.0",""
"33264.0","3.0","33257.0","13017.0","","Week 55","","","16781.0","","","55.0","","","494374.0",""
"33271.0","4.0","33264.0","13172.0","","Week 56","","","14899.0","","","56.0","","","509273.0",""
"33278.0","5.0","33271.0","13289.0","","Week 57","","","14985.0","","","57.0","","","524258.0",""
"33285.0","6.0","33278.0","11349.0","","Week 58","","","12716.0","","","58.0","","","536974.0",""
"33292.0","7.0","33285.0","16390.0","","Week 59","","","12567.0","","","59.0","","","549541.0",""
"33299.0","8.0","33292.0","10381.0","","Week 60","","","13602.0","","","60.0","","","563143.0",""
"33306.0","9.0","33299.0","12217.0","","Week 61","","","12293.0","","","61.0","","","575436.0",""
"33313.0","10.0","33306.0","10879.0","","Week 62","","","15731.0","","","62.0","","","591167.0",""
"33320.0","11.0","33313.0","10095.0","","Week 63","","","12468.0","","","63.0","","","603635.0",""
"33327.0","12.0","33320.0","9385.0","","Week 64","","","12160.0","","","64.0","","","615795.0",""
"33334.0","13.0","33327.0","11264.0","","Week 65","","","11453.0","","","65.0","","","627248.0",""
"33341.0","14.0","33334.0","10531.0","","Week 66","","","10836.0","","","66.0","","","638084.0",""
"33348.0","15.0","33341.0","13640.0","","Week 67","","","9963.0","","","67.0","","","648047.0",""
"33355.0","16.0","33348.0","9356.0","","Week 68","","","10501.0","","","68.0","","","658548.0",""
"33362.0","17.0","33355.0","9562.0","","Week 69","","","9858.0","","","69.0","","","668406.0",""
"33369.0","18.0","33362.0","9775.0","","Week 70","","","9381.0","","","70.0","","","677787.0",""
"33376.0","19.0","33369.0","9134.0","","Week 71","","","13658.0","","","71.0","","","691445.0",""
"33383.0","20.0","33376.0","9437.0","","Week 72","","","9953.0","","","72.0","","","701398.0",""
"33390.0","21.0","33383.0","9073.0","","Week 73","","","10255.0","","","73.0","","","711653.0",""
"33397.0","22.0","33390.0","10182.0","","Week 74","","","9633.0","","","74.0","","","721286.0",""
"33404.0","23.0","33397.0","9866.0","","Week 75","","","9672.0","","","75.0","","","730958.0",""
"33411.0","24.0","33404.0","13744.0","","Week 76","","","7784.0","","","76.0","","","738742.0",""
"33418.0","25.0","33411.0","15506.0","","Week 77","","","9595.0","","","77.0","","","748337.0",""
"33425.0","26.0","33418.0","20460.0","","Week 78","","","8779.0","","","78.0","","","757116.0",""
"33432.0","27.0","33425.0","11809.0","","Week 79","","","9128.0","","","79.0","","","766244.0",""
"33439.0","28.0","33432.0","9882.0","","Week 80","","","13858.0","","","80.0","","","780102.0",""
"33446.0","29.0","33439.0","8934.0","","Week 81","","","14405.0","","","81.0","","","794507.0",""
"33453.0","30.0","33446.0","9218.0","","","","","","","","","","","",""
"33460.0","31.0","33453.0","9720.0","","","","","","","","","","","",""
"33467.0","32.0","33460.0","8174.0","","","","","","","","","","","",""
"33474.0","33.0","33467.0","8336.0","","","","","","","","","","","",""
"33481.0","34.0","33474.0","8026.0","","","","","","","","","","","",""
"33488.0","35.0","33481.0","8520.0","","","","","","","","","","","",""
"33495.0","36.0","33488.0","8588.0","","","","","","","","","","","",""
"33502.0","37.0","33495.0","8138.0","","","","","","","","","","","",""
"33509.0","38.0","33502.0","8135.0","","","","","","","","","","","",""
"33516.0","39.0","33509.0","9042.0","","","","","","","","","","","",""
"33523.0","40.0","33516.0","8507.0","","","","","","","","","","","",""
"33530.0","41.0","33523.0","8240.0","","","","","","","","","","","",""
"33537.0","42.0","33530.0","8407.0","","","","","","","","","","","",""
"33544.0","43.0","33537.0","9345.0","","","","","","","","","","","",""
"33551.0","44.0","33544.0","10737.0","","","","","","","","","","","",""
"33558.0","45.0","33551.0","9811.0","","","","","","","","","","","",""
"33565.0","46.0","33558.0","12012.0","","","","","","","","","","","",""
"33572.0","47.0","33565.0","14145.0","","","","","","","","","","","",""
"33579.0","48.0","33572.0","14526.0","","","","","","","","","","","",""
"33586.0","49.0","33579.0","12016.0","","","","","","","","","","","",""
"33593.0","50.0","33586.0","14810.0","","","","","","","","","","","",""
"33600.0","51.0","33593.0","34412.0","","","","","","","","","","","",""
"33607.0","52.0","33600.0","17909.0","","","","","","","","","","","",""
"33614.0","1.0","33607.0","15599.0","","","","","","","","","","","",""
"33621.0","2.0","33614.0","13528.0","","","","","","","","","","","",""
"33628.0","3.0","33621.0","11581.0","","","","","","","","","","","",""
"33635.0","4.0","33628.0","11437.0","","","","","","","","","","","",""
"33642.0","5.0","33635.0","12034.0","","","","","","","","","","","",""
"33649.0","6.0","33642.0","10434.0","","","","","","","","","","","",""
"33656.0","7.0","33649.0","13491.0","","","","","","","","","","","",""
"33663.0","8.0","33656.0","9187.0","","","","","","","","","","","",""
"33670.0","9.0","33663.0","10021.0","","","","","","","","","","","",""
"33677.0","10.0","33670.0","9218.0","","","","","","","","","","","",""
"33684.0","11.0","33677.0","9495.0","","","","","","","","","","","",""
"33691.0","12.0","33684.0","8445.0","","","","","","","","","","","",""
"33698.0","13.0","33691.0","8776.0","","","","","","","","","","","",""
"33705.0","14.0","33698.0","8420.0","","","","","","","","","","","",""
"33712.0","15.0","33705.0","8067.0","","","","","","","","","","","",""
"33719.0","16.0","33712.0","11372.0","","","","","","","","","","","",""
"33726.0","17.0","33719.0","7547.0","","","","","","","","","","","",""
"33733.0","18.0","33726.0","8126.0","","","","","","","","","","","",""
"33740.0","19.0","33733.0","7501.0","","","","","","","","","","","",""
"33747.0","20.0","33740.0","7477.0","","","","","","","","","","","",""
"33754.0","21.0","33747.0","7854.0","","","","","","","","","","","",""
"33761.0","22.0","33754.0","9438.0","","","","","","","","","","","",""
"33768.0","23.0","33761.0","7630.0","","","","","","","","","","","",""
"33775.0","24.0","33768.0","7934.0","","","","","","","","","","","",""
"33782.0","25.0","33775.0","13018.0","","","","","","","","","","","",""
"33789.0","26.0","33782.0","13642.0","","","","","","","","","","","",""
"33796.0","27.0","33789.0","10629.0","","","","","","","","","","","",""
"33803.0","28.0","33796.0","8326.0","","","","","","","","","","","",""
"33810.0","29.0","33803.0","7409.0","","","","","","","","","","","",""
"33817.0","30.0","33810.0","6833.0","","","","","","","","","","","",""
"33824.0","31.0","33817.0","7702.0","","","","","","","","","","","",""
"33831.0","32.0","33824.0","6450.0","","","","","","","","","","","",""
"33838.0","33.0","33831.0","6670.0","","","","","","","","","","","",""
"33845.0","34.0","33838.0","6026.0","","","","","","","","","","","",""
"33852.0","35.0","33845.0","7204.0","","","","","","","","","","","",""
"33859.0","36.0","33852.0","5990.0","","","","","","","","","","","",""
"33866.0","37.0","33859.0","6132.0","","","","","","","","","","","",""
"33873.0","38.0","33866.0","6461.0","","","","","","","","","","","",""
"33880.0","39.0","33873.0","6511.0","","","","","","","","","","","",""
"33887.0","40.0","33880.0","6848.0","","","","","","","","","","","",""
"33894.0","41.0","33887.0","5959.0","","","","","","","","","","","",""
"33901.0","42.0","33894.0","7372.0","","","","","","","","","","","",""
"33908.0","43.0","33901.0","7138.0","","","","","","","","","","","",""
"33915.0","44.0","33908.0","8771.0","","","","","","","","","","","",""
"33922.0","45.0","33915.0","7619.0","","","","","","","","","","","",""
"33929.0","46.0","33922.0","8458.0","","","","","","","","","","","",""
"33936.0","47.0","33929.0","9758.0","","","","","","","","","","","",""
"33943.0","48.0","33936.0","9210.0","","","","","","","","","","","",""
"33950.0","49.0","33943.0","9990.0","","","","","","","","","","","",""
"33957.0","50.0","33950.0","10920.0","","","","","","","","","","","",""
"33964.0","51.0","33957.0","13320.0","","","","","","","","","","","",""
"33971.0","52.0","33964.0","15603.0","","","","","","","","","","","",""
"33978.0","1.0","33971.0","14294.0","","","","","","","","","","","",""
"33985.0","2.0","33978.0","10000.0","","","","","","","","","","","",""
"33992.0","3.0","33985.0","9044.0","","","","","","","","","","","",""
"33999.0","4.0","33992.0","9544.0","","","","","","","","","","","",""
"34006.0","5.0","33999.0","9944.0","","","","","","","","","","","",""
"34013.0","6.0","34006.0","7920.0","","","","","","","","","","","",""
