"Report date","Week #","Week ","WA","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19"
"32886.0","1.0","32879.0","13741.0","","Week 1","9048.0","14118.0","13280.0","129909.0","","1.0","9048.0","14118.0","13280.0","129909.0"
"32893.0","2.0","32886.0","8995.0","","Week 2","7771.0","11210.0","11297.0","182849.0","","2.0","16819.0","25328.0","24577.0","312758.0"
"32900.0","3.0","32893.0","10705.0","","Week 3","8086.0","11207.0","10033.0","171252.0","","3.0","24905.0","36535.0","34610.0","484010.0"
"32907.0","4.0","32900.0","9886.0","","Week 4","8383.0","10585.0","9146.0","144455.0","","4.0","33288.0","47120.0","43756.0","628465.0"
"32914.0","5.0","32907.0","11380.0","","Week 5","8062.0","11134.0","11856.0","83475.0","","5.0","41350.0","58254.0","55612.0","711940.0"
"32921.0","6.0","32914.0","11447.0","","Week 6","7978.0","10911.0","10783.0","139505.0","","6.0","49328.0","69165.0","66395.0","851445.0"
"32928.0","7.0","32921.0","8664.0","","Week 7","7027.0","10225.0","8706.0","102216.0","","7.0","56355.0","79390.0","75101.0","953661.0"
"32935.0","8.0","32928.0","9209.0","","Week 8","7083.0","10520.0","7725.0","116210.0","","8.0","63438.0","89910.0","82826.0","1069871.0"
"32942.0","9.0","32935.0","8310.0","","Week 9","6515.0","10100.0","8268.0","","","9.0","69953.0","100010.0","91094.0",""
"32949.0","10.0","32942.0","7826.0","","Week 10","7328.0","10775.0","8670.0","","","10.0","77281.0","110785.0","99764.0",""
"32956.0","11.0","32949.0","7709.0","","Week 11","6979.0","10446.0","8580.0","","","11.0","84260.0","121231.0","108344.0",""
"32963.0","12.0","32956.0","7337.0","","Week 12","7091.0","10782.0","8300.0","","","12.0","91351.0","132013.0","116644.0",""
"32970.0","13.0","32963.0","9483.0","","Week 13","7956.0","9924.0","8106.0","","","13.0","99307.0","141937.0","124750.0",""
"32977.0","14.0","32970.0","7825.0","","Week 14","9243.0","12494.0","10091.0","","","14.0","108550.0","154431.0","134841.0",""
"32984.0","15.0","32977.0","7456.0","","Week 15","10966.0","12428.0","9219.0","","","15.0","119516.0","166859.0","144060.0",""
"32991.0","16.0","32984.0","7519.0","","Week 16","11528.0","10390.0","9014.0","","","16.0","131044.0","177249.0","153074.0",""
"32998.0","17.0","32991.0","7403.0","","Week 17","11387.0","10541.0","8233.0","","","17.0","142431.0","187790.0","161307.0",""
"33005.0","18.0","32998.0","7291.0","","Week 18","12013.0","11061.0","8389.0","","","18.0","154444.0","198851.0","169696.0",""
"33012.0","19.0","33005.0","7260.0","","Week 19","10567.0","10144.0","8198.0","","","19.0","165011.0","208995.0","177894.0",""
"33019.0","20.0","33012.0","7181.0","","Week 20","11255.0","10208.0","7829.0","","","20.0","176266.0","219203.0","185723.0",""
"33026.0","21.0","33019.0","6413.0","","Week 21","13477.0","10328.0","7812.0","","","21.0","189743.0","229531.0","193535.0",""
"33033.0","22.0","33026.0","7459.0","","Week 22","12763.0","10102.0","7039.0","","","22.0","202506.0","239633.0","200574.0",""
"33040.0","23.0","33033.0","7552.0","","Week 23","11468.0","9638.0","8244.0","","","23.0","213974.0","249271.0","208818.0",""
"33047.0","24.0","33040.0","8218.0","","Week 24","15184.0","9646.0","8183.0","","","24.0","229158.0","258917.0","217001.0",""
"33054.0","25.0","33047.0","7043.0","","Week 25","17714.0","10047.0","8620.0","","","25.0","246872.0","268964.0","225621.0",""
"33061.0","26.0","33054.0","9197.0","","Week 26","15508.0","11149.0","8223.0","","","26.0","262380.0","280113.0","233844.0",""
"33068.0","27.0","33061.0","9048.0","","Week 27","17256.0","11882.0","7718.0","","","27.0","279636.0","291995.0","241562.0",""
"33075.0","28.0","33068.0","7771.0","","Week 28","14500.0","14279.0","9360.0","","","28.0","294136.0","306274.0","250922.0",""
"33082.0","29.0","33075.0","8086.0","","Week 29","11088.0","13794.0","7380.0","","","29.0","305224.0","320068.0","258302.0",""
"33089.0","30.0","33082.0","8383.0","","Week 30","13068.0","14666.0","7798.0","","","30.0","318292.0","334734.0","266100.0",""
"33096.0","31.0","33089.0","8062.0","","Week 31","12478.0","16094.0","8341.0","","","31.0","330770.0","350828.0","274441.0",""
"33103.0","32.0","33096.0","7978.0","","Week 32","12348.0","16574.0","8450.0","","","32.0","343118.0","367402.0","282891.0",""
"33110.0","33.0","33103.0","7027.0","","Week 33","11016.0","14670.0","7858.0","","","33.0","354134.0","382072.0","290749.0",""
"33117.0","34.0","33110.0","7083.0","","Week 34","11323.0","14945.0","7681.0","","","34.0","365457.0","397017.0","298430.0",""
"33124.0","35.0","33117.0","6515.0","","Week 35","11979.0","18601.0","7876.0","","","35.0","377436.0","415618.0","306306.0",""
"33131.0","36.0","33124.0","7328.0","","Week 36","","","7727.0","","","36.0","","","314033.0",""
"33138.0","37.0","33131.0","6979.0","","Week 37","","","8142.0","","","37.0","","","322175.0",""
"33145.0","38.0","33138.0","7091.0","","Week 38","","","10549.0","","","38.0","","","332724.0",""
"33152.0","39.0","33145.0","7956.0","","Week 39","","","11473.0","","","39.0","","","344197.0",""
"33159.0","40.0","33152.0","9243.0","","Week 40","","","10664.0","","","40.0","","","354861.0",""
"33166.0","41.0","33159.0","10966.0","","Week 41","","","12378.0","","","41.0","","","367239.0",""
"33173.0","42.0","33166.0","11528.0","","Week 42","","","11883.0","","","42.0","","","379122.0",""
"33180.0","43.0","33173.0","11387.0","","Week 43","","","12597.0","","","43.0","","","391719.0",""
"33187.0","44.0","33180.0","12013.0","","Week 44","","","13799.0","","","44.0","","","405518.0",""
"33194.0","45.0","33187.0","10567.0","","Week 45","","","16599.0","","","45.0","","","422117.0",""
"33201.0","46.0","33194.0","11255.0","","Week 46","","","15423.0","","","46.0","","","437540.0",""
"33208.0","47.0","33201.0","13477.0","","Week 47","","","16505.0","","","47.0","","","454045.0",""
"33215.0","48.0","33208.0","12763.0","","Week 48","","","16221.0","","","48.0","","","470266.0",""
"33222.0","49.0","33215.0","11468.0","","Week 49","","","17782.0","","","49.0","","","488048.0",""
"33229.0","50.0","33222.0","15184.0","","Week 50","","","15535.0","","","50.0","","","503583.0",""
"33236.0","51.0","33229.0","17714.0","","Week 51","","","20743.0","","","51.0","","","524326.0",""
"33243.0","52.0","33236.0","15508.0","","Week 52","","","26075.0","","","52.0","","","550401.0",""
"33250.0","1.0","33243.0","17256.0","","Week 53","","","18627.0","","","53.0","","","569028.0",""
"33257.0","2.0","33250.0","14500.0","","Week 54","","","20136.0","","","54.0","","","589164.0",""
"33264.0","3.0","33257.0","11088.0","","Week 55","","","18184.0","","","55.0","","","607348.0",""
"33271.0","4.0","33264.0","13068.0","","Week 56","","","14377.0","","","56.0","","","621725.0",""
"33278.0","5.0","33271.0","12478.0","","Week 57","","","17507.0","","","57.0","","","639232.0",""
"33285.0","6.0","33278.0","12348.0","","Week 58","","","18325.0","","","58.0","","","657557.0",""
"33292.0","7.0","33285.0","11016.0","","Week 59","","","16336.0","","","59.0","","","673893.0",""
"33299.0","8.0","33292.0","11323.0","","Week 60","","","15957.0","","","60.0","","","689850.0",""
"33306.0","9.0","33299.0","11979.0","","Week 61","","","16592.0","","","61.0","","","706442.0",""
"33313.0","10.0","33306.0","11603.0","","Week 62","","","16811.0","","","62.0","","","723253.0",""
"33320.0","11.0","33313.0","10285.0","","Week 63","","","14690.0","","","63.0","","","737943.0",""
"33327.0","12.0","33320.0","10314.0","","Week 64","","","14347.0","","","64.0","","","752290.0",""
"33334.0","13.0","33327.0","11346.0","","Week 65","","","15599.0","","","65.0","","","767889.0",""
"33341.0","14.0","33334.0","12471.0","","Week 66","","","17298.0","","","66.0","","","785187.0",""
"33348.0","15.0","33341.0","12368.0","","Week 67","","","15981.0","","","67.0","","","801168.0",""
"33355.0","16.0","33348.0","12549.0","","Week 68","","","13549.0","","","68.0","","","814717.0",""
"33362.0","17.0","33355.0","10398.0","","Week 69","","","13641.0","","","69.0","","","828358.0",""
"33369.0","18.0","33362.0","9492.0","","Week 70","","","14288.0","","","70.0","","","842646.0",""
"33376.0","19.0","33369.0","9424.0","","Week 71","","","13445.0","","","71.0","","","856091.0",""
"33383.0","20.0","33376.0","9061.0","","Week 72","","","14209.0","","","72.0","","","870300.0",""
"33390.0","21.0","33383.0","8633.0","","Week 73","","","13046.0","","","73.0","","","883346.0",""
"33397.0","22.0","33390.0","9767.0","","Week 74","","","12890.0","","","74.0","","","896236.0",""
"33404.0","23.0","33397.0","9071.0","","Week 75","","","13852.0","","","75.0","","","910088.0",""
"33411.0","24.0","33404.0","9493.0","","Week 76","","","12275.0","","","76.0","","","922363.0",""
"33418.0","25.0","33411.0","9849.0","","Week 77","","","12961.0","","","77.0","","","935324.0",""
"33425.0","26.0","33418.0","9726.0","","Week 78","","","13606.0","","","78.0","","","948930.0",""
"33432.0","27.0","33425.0","11346.0","","Week 79","","","12380.0","","","79.0","","","961310.0",""
