"Report date","Week #","Week ","NY","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19"
"33215.0","48.0","33208.0","32662.0","","Week 48","","","26780.0","","","48.0","","","1043594.0",""
"33222.0","49.0","33215.0","33455.0","","Week 49","","","30097.0","","","49.0","","","1073691.0",""
"33229.0","50.0","33222.0","32804.0","","Week 50","","","28131.0","","","50.0","","","1101822.0",""
"33236.0","51.0","33229.0","32094.0","","Week 51","","","39732.0","","","51.0","","","1141554.0",""
"33243.0","52.0","33236.0","36252.0","","Week 52","","","32939.0","","","52.0","","","1174493.0",""
"33250.0","1.0","33243.0","47254.0","","Week 53","","","33105.0","","","53.0","","","1207598.0",""
"33257.0","2.0","33250.0","36434.0","","Week 54","","","30340.0","","","54.0","","","1237938.0",""
"33264.0","3.0","33257.0","29390.0","","Week 55","","","54805.0","","","55.0","","","1292743.0",""
"33271.0","4.0","33264.0","33829.0","","Week 56","","","52953.0","","","56.0","","","1345696.0",""
"33278.0","5.0","33271.0","34108.0","","Week 57","","","40521.0","","","57.0","","","1386217.0",""
"33285.0","6.0","33278.0","30721.0","","Week 58","","","33598.0","","","58.0","","","1419815.0",""
"33292.0","7.0","33285.0","26273.0","","Week 59","","","32975.0","","","59.0","","","1452790.0",""
"33299.0","8.0","33292.0","30736.0","","Week 60","","","36103.0","","","60.0","","","1488893.0",""
"33306.0","9.0","33299.0","29618.0","","Week 61","","","32148.0","","","61.0","","","1521041.0",""
"33313.0","10.0","33306.0","29517.0","","Week 62","","","28728.0","","","62.0","","","1549769.0",""
"33320.0","11.0","33313.0","27722.0","","Week 63","","","45209.0","","","63.0","","","1594978.0",""
"33327.0","12.0","33320.0","25955.0","","Week 64","","","33991.0","","","64.0","","","1628969.0",""
"33334.0","13.0","33327.0","28277.0","","Week 65","","","31775.0","","","65.0","","","1660744.0",""
"33341.0","14.0","33334.0","29073.0","","Week 66","","","28603.0","","","66.0","","","1689347.0",""
"33348.0","15.0","33341.0","27768.0","","Week 67","","","28390.0","","","67.0","","","1717737.0",""
"33355.0","16.0","33348.0","26191.0","","Week 68","","","27793.0","","","68.0","","","1745530.0",""
"33362.0","17.0","33355.0","25178.0","","Week 69","","","31374.0","","","69.0","","","1776904.0",""
"33369.0","18.0","33362.0","24572.0","","Week 70","","","38333.0","","","70.0","","","1815237.0",""
