"FL","Florida","36189.0","35024.0","34718.0","33347.0","35871.0","33176.0","34449.0","33570.0","33421.0","32262.0","32244.0","33728.0","35076.0","98921.0","339448.0","177021.0","540554.0","444561.0","1035207.0","2151108.0","529384.0","630640.0","966625.0","","8608066.0","8604277.0","8604277.0","8604277.0","8604277.0","8604277.0","8604277.0","8604277.0","8604277.0","8604277.0","8604277.0","8604277.0","8604277.0","8604277.0","8590846.0","8590846.0","8590846.0","8590846.0","8590846.0","8590846.0","8590846.0","8590846.0","8590846.0","","0.42","0.41","0.4","0.39","0.42","0.39","0.4","0.39","0.39","0.37","0.37","0.39","0.41","1.15","3.95","2.06","6.29","5.17","12.05","25.04","6.16","7.34","11.25"
"GA","Georgia","38704.0","47482.0","32079.0","28998.0","28332.0","26984.0","27317.0","26963.0","26958.0","25079.0","25352.0","27507.0","107877.0","360077.0","595418.0","611889.0","758856.0","885764.0","812913.0","790178.0","731762.0","754833.0","698154.0","","4353840.0","4373059.0","4373059.0","4373059.0","4373059.0","4373059.0","4373059.0","4373059.0","4373059.0","4373059.0","4373059.0","4373059.0","4373059.0","4373059.0","4388404.0","4388404.0","4388404.0","4388404.0","4388404.0","4388404.0","4388404.0","4388404.0","4388404.0","","0.89","1.09","0.73","0.66","0.65","0.62","0.62","0.62","0.62","0.57","0.58","0.63","2.47","8.23","13.57","13.94","17.29","20.18","18.52","18.01","16.67","17.2","15.91"
"HI","Hawaii","6813.0","7849.0","6623.0","6407.0","6070.0","6205.0","6121.0","6223.0","5951.0","6047.0","6204.0","6477.0","10997.0","32226.0","48305.0","72261.0","68637.0","88110.0","110922.0","145711.0","128081.0","124926.0","125408.0","","623074.0","621949.0","621949.0","621949.0","621949.0","621949.0","621949.0","621949.0","621949.0","621949.0","621949.0","621949.0","621949.0","621949.0","621474.0","621474.0","621474.0","621474.0","621474.0","621474.0","621474.0","621474.0","621474.0","","1.09","1.26","1.06","1.03","0.98","1.0","0.98","1.0","0.96","0.97","1.0","1.04","1.77","5.18","7.77","11.63","11.04","14.18","17.85","23.45","20.61","20.1","20.18"
"ID","Idaho","8854.0","11483.0","11931.0","11833.0","11337.0","11389.0","11334.0","11275.0","10587.0","10167.0","9336.0","7869.0","15523.0","35915.0","59139.0","67722.0","71416.0","71794.0","65478.0","60121.0","56692.0","51035.0","47779.0","","722812.0","727996.0","727996.0","727996.0","727996.0","727996.0","727996.0","727996.0","727996.0","727996.0","727996.0","727996.0","727996.0","727996.0","733499.0","733499.0","733499.0","733499.0","733499.0","733499.0","733499.0","733499.0","733499.0","","1.22","1.58","1.64","1.63","1.56","1.56","1.56","1.55","1.45","1.4","1.28","1.08","2.13","4.93","8.06","9.23","9.74","9.79","8.93","8.2","7.73","6.96","6.51"
"IL","Illinois","125348.0","136523.0","133967.0","131469.0","143239.0","130900.0","133765.0","131171.0","132123.0","136396.0","130293.0","125422.0","132058.0","263018.0","452826.0","569200.0","681002.0","695971.0","755912.0","733542.0","762367.0","719779.0","741738.0","","5902475.0","5910898.0","5910898.0","5910898.0","5910898.0","5910898.0","5910898.0","5910898.0","5910898.0","5910898.0","5910898.0","5910898.0","5910898.0","5910898.0","5914575.0","5914575.0","5914575.0","5914575.0","5914575.0","5914575.0","5914575.0","5914575.0","5914575.0","","2.12","2.31","2.27","2.22","2.42","2.21","2.26","2.22","2.24","2.31","2.2","2.12","2.23","4.45","7.66","9.62","11.51","11.77","12.78","12.4","12.89","12.17","12.54"
"IN","Indiana","20062.0","21524.0","21626.0","21366.0","22017.0","22212.0","22352.0","22913.0","22994.0","22586.0","21473.0","20778.0","28987.0","71737.0","147583.0","206386.0","253929.0","271248.0","285460.0","270385.0","253536.0","233869.0","221056.0","","3034091.0","3039304.0","3039304.0","3039304.0","3039304.0","3039304.0","3039304.0","3039304.0","3039304.0","3039304.0","3039304.0","3039304.0","3039304.0","3039304.0","3041986.0","3041986.0","3041986.0","3041986.0","3041986.0","3041986.0","3041986.0","3041986.0","3041986.0","","0.66","0.71","0.71","0.7","0.72","0.73","0.74","0.75","0.76","0.74","0.71","0.68","0.95","2.36","4.85","6.78","8.35","8.92","9.38","8.89","8.33","7.69","7.27"
"IA","Iowa","34549.0","34540.0","29625.0","30369.0","30890.0","30789.0","30799.0","30741.0","30516.0","29424.0","27816.0","26496.0","53650.0","91631.0","127332.0","150445.0","168971.0","179610.0","189643.0","184641.0","178559.0","162562.0","158268.0","","1529213.0","1530920.0","1530920.0","1530920.0","1530920.0","1530920.0","1530920.0","1530920.0","1530920.0","1530920.0","1530920.0","1530920.0","1530920.0","1530920.0","1531621.0","1531621.0","1531621.0","1531621.0","1531621.0","1531621.0","1531621.0","1531621.0","1531621.0","","2.26","2.26","1.94","1.98","2.02","2.01","2.01","2.01","1.99","1.92","1.82","1.73","3.5","5.99","8.31","9.82","11.03","11.73","12.38","12.06","11.66","10.61","10.33"
"KS","Kansas","11175.0","11431.0","10638.0","11182.0","12301.0","11809.0","11666.0","12003.0","11505.0","11003.0","9771.0","9973.0","17558.0","51425.0","78334.0","97478.0","119022.0","120701.0","117977.0","108565.0","104553.0","99948.0","91070.0","","1359781.0","1363114.0","1363114.0","1363114.0","1363114.0","1363114.0","1363114.0","1363114.0","1363114.0","1363115.0","1363114.0","1363114.0","1363114.0","1363114.0","1364944.0","1364944.0","1364944.0","1364944.0","1364944.0","1364944.0","1364944.0","1364944.0","1364944.0","","0.82","0.84","0.78","0.82","0.9","0.87","0.86","0.88","0.84","0.81","0.72","0.73","1.29","3.77","5.74","7.14","8.72","8.84","8.64","7.95","7.66","7.32","6.67"
"KY","Kentucky","22515.0","25124.0","24066.0","22874.0","23219.0","22937.0","23076.0","22623.0","23733.0","22770.0","22940.0","22328.0","24361.0","130151.0","182097.0","199030.0","260792.0","256317.0","253250.0","246865.0","244342.0","206005.0","197702.0","","1890475.0","1890475.0","1890475.0","1890475.0","1890475.0","1890475.0","1890475.0","1890475.0","1890475.0","1890475.0","1890475.0","1890475.0","1890475.0","1890475.0","1893451.0","1893451.0","1893451.0","1893451.0","1893451.0","1893451.0","1893451.0","1893451.0","1893451.0","","1.19","1.33","1.27","1.21","1.23","1.21","1.22","1.2","1.26","1.2","1.21","1.18","1.29","6.88","9.62","10.51","13.77","13.54","13.38","13.04","12.9","10.88","10.44"
"LA","Louisiana","16553.0","15957.0","16076.0","15500.0","16189.0","15051.0","15057.0","14640.0","15289.0","14199.0","13987.0","14143.0","58027.0","116690.0","217532.0","246296.0","300657.0","310013.0","325136.0","326504.0","328409.0","301598.0","305083.0","","1890973.0","1892522.0","1892522.0","1892522.0","1892522.0","1892522.0","1892522.0","1892522.0","1892522.0","1892522.0","1892522.0","1892522.0","1892522.0","1892522.0","1891334.0","1891334.0","1891334.0","1891334.0","1891334.0","1891334.0","1891334.0","1891334.0","1891334.0","","0.88","0.84","0.85","0.82","0.86","0.8","0.8","0.77","0.81","0.75","0.74","0.75","3.07","6.17","11.5","13.02","15.9","16.39","17.19","17.26","17.36","15.95","16.13"
