"Report date","Week #","Week ","ID","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19"
"32886.0","1.0","32879.0","4093.0","","Week 1","1736.0","1713.0","3474.0","13586.0","","1.0","1736.0","1713.0","3474.0","13586.0"
"32893.0","2.0","32886.0","2630.0","","Week 2","1828.0","2203.0","4545.0","32941.0","","2.0","3564.0","3916.0","8019.0","46527.0"
"32900.0","3.0","32893.0","2086.0","","Week 3","1931.0","2469.0","3108.0","30904.0","","3.0","5495.0","6385.0","11127.0","77431.0"
"32907.0","4.0","32900.0","2303.0","","Week 4","1203.0","2250.0","4240.0","18531.0","","4.0","6698.0","8635.0","15367.0","95962.0"
"32914.0","5.0","32907.0","2403.0","","Week 5","1472.0","1827.0","2808.0","13023.0","","5.0","8170.0","10462.0","18175.0","108985.0"
"32921.0","6.0","32914.0","1891.0","","Week 6","1201.0","1538.0","2809.0","8827.0","","6.0","9371.0","12000.0","20984.0","117812.0"
"32928.0","7.0","32921.0","2225.0","","Week 7","1186.0","1829.0","3201.0","7495.0","","7.0","10557.0","13829.0","24185.0","125307.0"
"32935.0","8.0","32928.0","2085.0","","Week 8","970.0","1508.0","2720.0","5795.0","","8.0","11527.0","15337.0","26905.0","131102.0"
"32942.0","9.0","32935.0","2251.0","","Week 9","1016.0","1561.0","2494.0","5800.0","","9.0","12543.0","16898.0","29399.0","136902.0"
"32949.0","10.0","32942.0","2076.0","","Week 10","967.0","2170.0","2202.0","4727.0","","10.0","13510.0","19068.0","31601.0","141629.0"
"32956.0","11.0","32949.0","1698.0","","Week 11","997.0","2236.0","2376.0","3646.0","","11.0","14507.0","21304.0","33977.0","145275.0"
"32963.0","12.0","32956.0","1595.0","","Week 12","1259.0","1921.0","2398.0","3953.0","","12.0","15766.0","23225.0","36375.0","149228.0"
"32970.0","13.0","32963.0","2270.0","","Week 13","1523.0","1926.0","1982.0","3631.0","","13.0","17289.0","25151.0","38357.0","152859.0"
"32977.0","14.0","32970.0","2056.0","","Week 14","1865.0","1321.0","2054.0","4285.0","","14.0","19154.0","26472.0","40411.0","157144.0"
"32984.0","15.0","32977.0","1746.0","","Week 15","1710.0","1663.0","2009.0","5417.0","","15.0","20864.0","28135.0","42420.0","162561.0"
"32991.0","16.0","32984.0","1563.0","","Week 16","1909.0","3295.0","1769.0","4924.0","","16.0","22773.0","31430.0","44189.0","167485.0"
"32998.0","17.0","32991.0","1779.0","","Week 17","2619.0","1633.0","2090.0","5458.0","","17.0","25392.0","33063.0","46279.0","172943.0"
"33005.0","18.0","32998.0","1095.0","","Week 18","2202.0","1366.0","1928.0","5687.0","","18.0","27594.0","34429.0","48207.0","178630.0"
"33012.0","19.0","33005.0","1013.0","","Week 19","3558.0","1679.0","1759.0","4703.0","","19.0","31152.0","36108.0","49966.0","183333.0"
"33019.0","20.0","33012.0","1650.0","","Week 20","2808.0","2002.0","1671.0","3607.0","","20.0","33960.0","38110.0","51637.0","186940.0"
"33026.0","21.0","33019.0","1843.0","","Week 21","2644.0","1932.0","1578.0","3250.0","","21.0","36604.0","40042.0","53215.0","190190.0"
