"Report date","Week #","Week ","MI","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19"
"32886.0","1.0","32879.0","59292.0","","Week 1","25320.0","18221.0","27523.0","128006.0","","1.0","25320.0","18221.0","27523.0","128006.0"
"32893.0","2.0","32886.0","41557.0","","Week 2","29544.0","18821.0","29358.0","304335.0","","2.0","54864.0","37042.0","56881.0","432341.0"
"32900.0","3.0","32893.0","37189.0","","Week 3","28909.0","10693.0","25391.0","388554.0","","3.0","83773.0","47735.0","82272.0","820895.0"
"32907.0","4.0","32900.0","37002.0","","Week 4","18435.0","15733.0","17845.0","222207.0","","4.0","102208.0","63468.0","100117.0","1043102.0"
"32914.0","5.0","32907.0","31117.0","","Week 5","16619.0","13588.0","16122.0","136707.0","","5.0","118827.0","77056.0","116239.0","1179809.0"
"32921.0","6.0","32914.0","24846.0","","Week 6","20293.0","11151.0","16557.0","82004.0","","6.0","139120.0","88207.0","132796.0","1261813.0"
"32928.0","7.0","32921.0","18495.0","","Week 7","15988.0","10962.0","13730.0","67399.0","","7.0","155108.0","99169.0","146526.0","1329212.0"
"32935.0","8.0","32928.0","17902.0","","Week 8","18306.0","13757.0","14313.0","55166.0","","8.0","173414.0","112926.0","160839.0","1384378.0"
"32942.0","9.0","32935.0","17919.0","","Week 9","12023.0","10110.0","12545.0","54460.0","","9.0","185437.0","123036.0","173384.0","1438838.0"
"32949.0","10.0","32942.0","16060.0","","Week 10","14818.0","14407.0","14781.0","","","10.0","200255.0","137443.0","188165.0",""
"32956.0","11.0","32949.0","13522.0","","Week 11","12102.0","12928.0","21481.0","","","11.0","212357.0","150371.0","209646.0",""
"32963.0","12.0","32956.0","15255.0","","Week 12","19432.0","12117.0","13821.0","","","12.0","231789.0","162488.0","223467.0",""
"32970.0","13.0","32963.0","16702.0","","Week 13","15836.0","18693.0","13958.0","","","13.0","247625.0","181181.0","237425.0",""
"32977.0","14.0","32970.0","14654.0","","Week 14","16828.0","54604.0","17441.0","","","14.0","264453.0","235785.0","254866.0",""
"32984.0","15.0","32977.0","12599.0","","Week 15","16478.0","38778.0","20384.0","","","15.0","280931.0","274563.0","275250.0",""
"32991.0","16.0","32984.0","11082.0","","Week 16","17125.0","20925.0","12282.0","","","16.0","298056.0","295488.0","287532.0",""
"32998.0","17.0","32991.0","11389.0","","Week 17","23066.0","12474.0","15520.0","","","17.0","321122.0","307962.0","303052.0",""
"33005.0","18.0","32998.0","12550.0","","Week 18","20781.0","11952.0","13581.0","","","18.0","341903.0","319914.0","316633.0",""
"33012.0","19.0","33005.0","12960.0","","Week 19","33937.0","12097.0","20218.0","","","19.0","375840.0","332011.0","336851.0",""
"33019.0","20.0","33012.0","11004.0","","Week 20","24757.0","14599.0","16320.0","","","20.0","400597.0","346610.0","353171.0",""
"33026.0","21.0","33019.0","9229.0","","Week 21","38410.0","12482.0","14440.0","","","21.0","439007.0","359092.0","367611.0",""
"33033.0","22.0","33026.0","11441.0","","Week 22","41395.0","16311.0","10311.0","","","22.0","480402.0","375403.0","377922.0",""
"33040.0","23.0","33033.0","11306.0","","Week 23","46871.0","12798.0","12666.0","","","23.0","527273.0","388201.0","390588.0",""
"33047.0","24.0","33040.0","11609.0","","Week 24","74634.0","10700.0","13982.0","","","24.0","601907.0","398901.0","404570.0",""
"33054.0","25.0","33047.0","14042.0","","Week 25","55086.0","18403.0","14445.0","","","25.0","656993.0","417304.0","419015.0",""
"33061.0","26.0","33054.0","20084.0","","Week 26","37408.0","20899.0","17705.0","","","26.0","694401.0","438203.0","436720.0",""
"33068.0","27.0","33061.0","25320.0","","Week 27","43537.0","20420.0","37790.0","","","27.0","737938.0","458623.0","474510.0",""
"33075.0","28.0","33068.0","29544.0","","Week 28","57020.0","19546.0","33219.0","","","28.0","794958.0","478169.0","507729.0",""
