"Report date","Week #","Week ","DE","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19","","Week","1990 Recession","2001 Recession","Great Recession","COVID-19"
"32886.0","1.0","32879.0","3242.0","","Week 1","725.0","670.0","1132.0","10776.0","","1.0","725.0","670.0","1132.0","10776.0"
"32893.0","2.0","32886.0","896.0","","Week 2","671.0","579.0","1566.0","19137.0","","2.0","1396.0","1249.0","2698.0","29913.0"
"32900.0","3.0","32893.0","972.0","","Week 3","2584.0","785.0","1246.0","18851.0","","3.0","3980.0","2034.0","3944.0","48764.0"
"32907.0","4.0","32900.0","892.0","","Week 4","861.0","573.0","3051.0","13258.0","","4.0","4841.0","2607.0","6995.0","62022.0"
"32914.0","5.0","32907.0","2894.0","","Week 5","624.0","1390.0","1331.0","9446.0","","5.0","5465.0","3997.0","8326.0","71468.0"
"32921.0","6.0","32914.0","916.0","","Week 6","680.0","748.0","1084.0","7947.0","","6.0","6145.0","4745.0","9410.0","79415.0"
"32928.0","7.0","32921.0","645.0","","Week 7","640.0","633.0","1243.0","6297.0","","7.0","6785.0","5378.0","10653.0","85712.0"
"32935.0","8.0","32928.0","658.0","","Week 8","611.0","648.0","1056.0","5197.0","","8.0","7396.0","6026.0","11709.0","90909.0"
"32942.0","9.0","32935.0","603.0","","Week 9","600.0","689.0","1011.0","5554.0","","9.0","7996.0","6715.0","12720.0","96463.0"
"32949.0","10.0","32942.0","551.0","","Week 10","604.0","802.0","1106.0","4651.0","","10.0","8600.0","7517.0","13826.0","101114.0"
"32956.0","11.0","32949.0","633.0","","Week 11","618.0","869.0","1589.0","3052.0","","11.0","9218.0","8386.0","15415.0","104166.0"
"32963.0","12.0","32956.0","504.0","","Week 12","631.0","2400.0","933.0","3037.0","","12.0","9849.0","10786.0","16348.0","107203.0"
"32970.0","13.0","32963.0","2607.0","","Week 13","693.0","1003.0","765.0","2516.0","","13.0","10542.0","11789.0","17113.0","109719.0"
"32977.0","14.0","32970.0","722.0","","Week 14","800.0","872.0","713.0","2797.0","","14.0","11342.0","12661.0","17826.0","112516.0"
"32984.0","15.0","32977.0","870.0","","Week 15","785.0","614.0","1393.0","2771.0","","15.0","12127.0","13275.0","19219.0","115287.0"
"32991.0","16.0","32984.0","572.0","","Week 16","858.0","1464.0","966.0","2791.0","","16.0","12985.0","14739.0","20185.0","118078.0"
"32998.0","17.0","32991.0","595.0","","Week 17","2917.0","988.0","969.0","3023.0","","17.0","15902.0","15727.0","21154.0","121101.0"
"33005.0","18.0","32998.0","534.0","","Week 18","1089.0","2254.0","800.0","","","18.0","16991.0","17981.0","21954.0",""
"33012.0","19.0","33005.0","549.0","","Week 19","739.0","836.0","1375.0","","","19.0","17730.0","18817.0","23329.0",""
"33019.0","20.0","33012.0","527.0","","Week 20","968.0","768.0","814.0","","","20.0","18698.0","19585.0","24143.0",""
"33026.0","21.0","33019.0","525.0","","Week 21","1019.0","753.0","810.0","","","21.0","19717.0","20338.0","24953.0",""
"33033.0","22.0","33026.0","678.0","","Week 22","2685.0","669.0","1445.0","","","22.0","22402.0","21007.0","26398.0",""
"33040.0","23.0","33033.0","861.0","","Week 23","1079.0","610.0","869.0","","","23.0","23481.0","21617.0","27267.0",""
"33047.0","24.0","33040.0","681.0","","Week 24","1495.0","936.0","656.0","","","24.0","24976.0","22553.0","27923.0",""
"33054.0","25.0","33047.0","498.0","","Week 25","1312.0","760.0","1064.0","","","25.0","26288.0","23313.0","28987.0",""
"33061.0","26.0","33054.0","779.0","","Week 26","1894.0","613.0","1383.0","","","26.0","28182.0","23926.0","30370.0",""
"33068.0","27.0","33061.0","2405.0","","Week 27","1568.0","763.0","1118.0","","","27.0","29750.0","24689.0","31488.0",""
"33075.0","28.0","33068.0","725.0","","Week 28","1280.0","620.0","1381.0","","","28.0","31030.0","25309.0","32869.0",""
"33082.0","29.0","33075.0","671.0","","Week 29","1304.0","780.0","816.0","","","29.0","32334.0","26089.0","33685.0",""
"33089.0","30.0","33082.0","2584.0","","Week 30","3236.0","898.0","1217.0","","","30.0","35570.0","26987.0","34902.0",""
"33096.0","31.0","33089.0","861.0","","Week 31","3010.0","2174.0","846.0","","","31.0","38580.0","29161.0","35748.0",""
"33103.0","32.0","33096.0","624.0","","Week 32","1133.0","953.0","966.0","","","32.0","39713.0","30114.0","36714.0",""
"33110.0","33.0","33103.0","680.0","","Week 33","946.0","995.0","916.0","","","33.0","40659.0","31109.0","37630.0",""
"33117.0","34.0","33110.0","640.0","","Week 34","2669.0","953.0","1047.0","","","34.0","43328.0","32062.0","38677.0",""
"33124.0","35.0","33117.0","611.0","","Week 35","795.0","817.0","1165.0","","","35.0","44123.0","32879.0","39842.0",""
"33131.0","36.0","33124.0","600.0","","Week 36","2825.0","712.0","1056.0","","","36.0","46948.0","33591.0","40898.0",""
"33138.0","37.0","33131.0","604.0","","Week 37","703.0","1198.0","1165.0","","","37.0","47651.0","34789.0","42063.0",""
"33145.0","38.0","33138.0","618.0","","Week 38","1023.0","","797.0","","","38.0","48674.0","","42860.0",""
"33152.0","39.0","33145.0","631.0","","Week 39","","","1526.0","","","39.0","","","44386.0",""
"33159.0","40.0","33152.0","693.0","","Week 40","","","1335.0","","","40.0","","","45721.0",""
"33166.0","41.0","33159.0","800.0","","Week 41","","","872.0","","","41.0","","","46593.0",""
"33173.0","42.0","33166.0","785.0","","Week 42","","","2111.0","","","42.0","","","48704.0",""
"33180.0","43.0","33173.0","858.0","","Week 43","","","1284.0","","","43.0","","","49988.0",""
"33187.0","44.0","33180.0","2917.0","","Week 44","","","992.0","","","44.0","","","50980.0",""
"33194.0","45.0","33187.0","1089.0","","Week 45","","","1255.0","","","45.0","","","52235.0",""
"33201.0","46.0","33194.0","739.0","","Week 46","","","1875.0","","","46.0","","","54110.0",""
"33208.0","47.0","33201.0","968.0","","Week 47","","","1124.0","","","47.0","","","55234.0",""
"33215.0","48.0","33208.0","1019.0","","Week 48","","","1412.0","","","48.0","","","56646.0",""
"33222.0","49.0","33215.0","2685.0","","Week 49","","","1450.0","","","49.0","","","58096.0",""
"33229.0","50.0","33222.0","1079.0","","Week 50","","","1344.0","","","50.0","","","59440.0",""
"33236.0","51.0","33229.0","1495.0","","Week 51","","","1708.0","","","51.0","","","61148.0",""
